店名,住所,電話番号,予約・お問い合わせ
猫ぱん,栃木県小山市東城南5-11-1 ,-,0285-28-3239
ゆず庵 小山店,栃木県小山市雨が谷新田字渡辺69-4 ,-,050-3138-4159
マクドナルド 自治医大かましん店（McDonald's）,栃木県下野市祇園1-1-5 かましん 自治医大店,-,-
どんさん亭 小山店,栃木県小山市駅南町4-26-1 ,-,0285-27-2121
和ダイニング 四六時中 イオン小山店,栃木県小山市中久喜1467-1 イオンモール小山 1F,-,0285-42-8282
麺堂イズム,栃木県小山市天神町2-3-5 丸源ハイツ 101,-,-
からやま  栃木小山店,栃木県小山市西城南2-3-1 ,-,-
喜作Light（喜作ライト【旧店名】喜作）,栃木県小山市立木1514-2 ,-,不明の為情報お待ちしております
バーミヤン 小山本郷店,栃木県小山市本郷町2-7-10 ,-,0285-30-2221
ジパング,栃木県小山市城北6-2-3 ,-,0285-24-2525
うどん・そば 活気,栃木県小山市出井1035-5 ,-,-
山田うどん 小山新4号バイパス店,栃木県小山市田間855-1 ,-,-
はなまるうどん 小山城南店,栃木県小山市西城南3-1-19 ,-,0285-31-3870
ウリソロ（URISORO）,栃木県小山市犬塚6-15-21 ,-,0285-35-6688
ビーハウス（BeeHouse）,栃木県小山市犬塚7-20-2 ,-,0285-31-3000
たる池,栃木県小山市中央町2-5-23 ,-,0285-23-6660
庄内そば旬,栃木県小山市出井1350-1 ,-,-
だるま,栃木県小山市中央町3-11-9 ,-,0285-25-3690
ラング・マハール,栃木県下野市祇園1-21-11 ,-,0285-40-5665
NOYER good meal（ノワイエ グッド ミール）,栃木県小山市神鳥谷1-1-17 ,-,0285-20-5630
シェフレ（Chez Fraise）,栃木県小山市喜沢647-23 ,-,0285-35-1561
ログガーデン ヴェルデ,栃木県小山市城山町3-9-22 ,-,0285-21-1881
ぷんぷくまる おやまゆうえんハーヴェストウォーク,栃木県小山市喜沢1475 おやまゆうえんハーヴェストウォーク 1F,-,-
一休 道の駅しもつけ店,栃木県下野市薬師寺41 ,-,-
韓国料理喜楽,栃木県小山市城北6-27-16 ,-,0285-25-5975
コッペパン専門店 コッペリ 小山店（コッペパン専門店 COPPERI）,栃木県小山市神山2-12-2 大地住建神山ビル 1F,-,0285-38-8108
ひかるん家,栃木県小山市城東7-12-1 ,-,0285-24-2418
山岡家 小山駅南町店（やまおかや）,栃木県小山市駅南町6-26-8 ,-,-
パンデパルク（Pan De Park）,栃木県下野市薬師寺41 道の駅しもつけ,-,-
バソップ チャイ（Prasob chai）,栃木県小山市城山町1-1-2 ,-,0285-24-1881
サンドサンド（SANDO×SANDO）,栃木県下野市医大前3-2-14 ,-,0285-32-7056
TERMINAL BY Cafe FUJINUMA（ターミナル バイ カフェ フジヌマ）,栃木県小山市城山町3-3-22 VAL 小山駅ビル 1F,-,-
いつもの処,栃木県小山市城山町3-6-37 ,-,0285-22-2506
ラーメン ヒカリ,栃木県小山市犬塚8-9-5 ,-,-
産直 ホルモン やまちゃん,栃木県小山市駅東通り1-2-17 1F,-,0285-23-0606
道の駅　思川,栃木県小山市大字下国府塚25-1 ,-,-
ステーキ宮 小山城東店,栃木県小山市城東3-23-21 ,-,-
幸楽苑 小山駅南店,栃木県小山市駅南町2-27-2 ,-,0285-28-4166
カフェ フジヌマ 小山ゆうえんハーヴェストウォーク店（Cafe FUJINUMA）,栃木県小山市喜沢1475 TSUTAYA内 ,-,0285-22-3556
DARBAAR Pakistani Restaurant（ダルバール パキスタン レストラン）,栃木県小山市塚崎1306 ,-,0285-39-6227
ラーメン山岡家 上三川店,栃木県河内郡上三川町五分一274-2 ,-,-
テン ピクニック テーブルス（10 picnic tables）,栃木県下野市国分寺821-1 ,-,-
かき氷 Cafe Symphony（カキゴオリ カフェ シンフォニー）,栃木県小山市城東7-18-2 ,-,-
キッチンでん,栃木県小山市神鳥谷2-19-5 ,-,0285-23-3653
小山温泉思川,栃木県小山市大字喜沢1475 ,-,-
麺屋　穂華（メンヤ　ホノカ）,栃木県下野市笹原59-7 ,-,-
らーめん　久兵衛,栃木県小山市間々田1198-1 ,-,-
熱烈中華 飛龍 イオンモール小山店,栃木県小山市中久喜1467-1 イオンモール小山 2F,-,-
ばんどう太郎 小山50号店（ばんどうたろう）,栃木県小山市下国府塚70-3 ,-,0285-38-0138
貝出汁らぁ麺 しらかし,栃木県小山市羽川474-3 ,-,不明の為情報お待ちしております
たまや,栃木県小山市田間763-1 ,-,0285-28-3782
ポンテヴェッキオ　（Pontevecchio）,栃木県小山市天神町2-3-5 丸源ハイツ1F,-,0285-24-9990
ファリーヌ（FARINE）,栃木県小山市東城南1-12-23 ,-,0285-27-1078
ジョイフル 小山店,栃木県小山市神鳥谷308-7 ,-,0285-30-3561
やきそば エンゼル,栃木県小山市城東6-25-5 ,-,0285-23-3315
カレーハウス,栃木県下都賀郡野木町丸林371-12 ,-,0280-57-3960
鉄板ビストロ GAKU,栃木県小山市東城南1-17-4 ,-,0285-39-6131
串之家 小山店（クシノヤ）,栃木県小山市中央町3-3-18 1F,-,0285-39-7773
丸亀製麺 小山店,栃木県小山市南町6-28-12 ,-,-
しゃぶしゃぶ・日本料理 木曽路 小山店,栃木県小山市西城南2-2-1 ,-,0285-31-3531
状元,栃木県小山市東間々田2-36-10 ,-,0285-45-8432
Cafe FUJINUMA（カフェ フジヌマ）,栃木県小山市城山町3-3-22 VAL 小山駅ビル 1F,-,-
ステーキのどん 小山犬塚店,栃木県小山市犬塚3-8-18 ,-,0285-20-0329
フォール オブ ザ リーフ（Fall of the leaf）,栃木県下野市駅東5-3-1 ,-,0285-39-7026
サンバンダ 野木店（SAMBANDHA）,栃木県下都賀郡野木町野木92-1 ,-,0280-57-1497
御食事処 小雪,栃木県下野市医大前2-6-11 ,-,0285-44-8104
セロチポ（SEROCHIPO）,栃木県下野市医大前3-2-14 ,-,0285-44-3329
和楽,栃木県下野市川中子3329-464 ,-,0285-44-7117
NEWラーメンショップ R4,栃木県下野市下坪山1906-6 ,-,-
Caferi Fuji（カフェリ フジ）,栃木県小山市犬塚4-10-15 ,-,0285-22-3988
鉄板焼 大（テッパンヤキ ダイ）,栃木県小山市城東1-18-13 ,-,0285-37-8288
蛸屋 本店工場直売店,栃木県小山市城東4-19-15 ,-,0285-25-1050
カフェキュー（Cafe Q）,栃木県小山市城東7-1-12 ,-,0285-25-4354
サイゼリヤ イオンモール小山店（Saizeriya）,栃木県小山市中久喜1467-1 イオンモール小山 1F,-,0285-30-3161
Noodle Kitchen 祿（ヌードル キッチン ロク）,栃木県小山市駅東通り1-8-6 ,-,-
ポモドーロ,栃木県小山市神鳥谷202 小山グランドホテル 1F,-,0285-24-5111
そば金,栃木県小山市西城南2-20-15 ,-,0285-28-2038
めん坊,栃木県小山市松沼642-3 ,-,0285-37-2800
NOODLE STUDIO STORY（ヌードル スタジオ ストーリー）,栃木県下都賀郡野木町丸林150-1 ,-,-
森のパン屋（もりのぱんや）,栃木県小山市東城南1-3-22 ,-,0285-28-0202
大戸屋 小山ゆうえんハーヴェストウォーク店,栃木県小山市喜沢1475 おやまゆうえんハーヴェストウォーク,-,0285-25-8170
蕎麦街道,栃木県下野市柴50-4 ,-,0285-40-6486
自家製手もみ麺 ラーメン赤松,栃木県下野市下坪山1896-4 ,-,-
鳥の店 いっちょう,栃木県小山市城山町3-17-6 ,-,0285-23-0172
手打ち蕎麦  永（とこしえ）,栃木県小山市向野581-1 ,-,-
モンテミローネ,栃木県小山市駅東通り1-35-17 ,-,0285-30-3377
藤ヱ門 小山駅ビル店,栃木県小山市城山町3-3-22 VAL 小山駅ビル 1F,-,-
柳水,栃木県小山市中央町3-5-20 カーサロブレA棟,-,0285-23-6277
亀山本店,栃木県小山市駅東通り1-6-1 1F,-,0285-37-7275
ステーキハウス 武蔵野（ムサシノ）,栃木県小山市三峯1-1-19 ,-,0285-27-6340
ダイニング若竹,栃木県小山市平和90-4 ,-,0285-39-8117
お米とろろ 和がや（WAGAYA）,栃木県小山市塚崎1507-3 ,-,0285-39-7976
はらぺこ,栃木県小山市土塔175-9 ,-,0285-28-7732
立川マシマシ 小山店,栃木県小山市駅南町4-19-7 ,-,-
博多鉄板焼肉 一八,栃木県小山市土塔247-64 ,-,不明の為情報お待ちしております
フライングガーデン 小山50号店,栃木県小山市萩島115-4 ,-,-
御菓子司 蛸屋 小山駅ビル店,栃木県小山市城山町3-3-22 VAL 小山駅ビル,-,-
アットグルマン,栃木県下野市緑2丁目13-10 ,-,0285-43-1122
スターバックスコーヒー 小山店,栃木県小山市東城南1-27-1 ,-,0285-31-0332
揚げ鳥 鶏亮,栃木県小山市城北6-1-4 ハイブリッド 1F,-,0285-37-9025
鰻の成瀬 小山店,栃木県小山市東城南5-28-1 ,-,090-6382-1717
ベスタ,栃木県小山市下泉字大境98 ,-,0285-38-1307
クロコダイル・ダイナー,栃木県小山市神鳥谷1-10-20 ,-,0285-38-8898
龍峰,栃木県小山市駅南町4-30-17 ,-,0285-27-3815
北昌,栃木県下野市緑2-13-9 ,-,0285-44-8010
魚藤,栃木県小山市大字下河原田1110 ,-,0285-38-0073
みや亭,栃木県小山市城東5丁目25-19 ,-,0285-24-1853
スシロー 小山店,栃木県小山市大字横倉1295-1 ,-,0285-31-0740
川西食堂,栃木県下野市川中子2576 ,-,0285-44-2842
いちご日和り,栃木県小山市小薬釜田70-2 ,-,-
ガスト 小山犬塚店,栃木県小山市犬塚2-6-1 ,-,0285-30-1104
宇味家 JR小山駅構内店,栃木県小山市城山町3-3-22 VAL 小山駅ビル 1F,-,-
今昔,栃木県小山市駅東通り1-5-5 ,-,0285-24-0117
博多屋 いっぽめ,栃木県小山市中央町3-11-5 ,-,0285-38-7180
小島屋,栃木県小山市中央町3-3-10 ロブレプラザ,-,0285-22-2883
道とん堀 小山店（どうとんぼり）,栃木県小山市西城南1-35-10 ,-,0285-38-6161
蕎麦切り わたなべ,栃木県下都賀郡野木町友沼4794-11 ,-,-
和膳 瑠莉,栃木県下都賀郡野木町友沼6509-17 ,-,不明の為情報お待ちしております
コロラド,栃木県小山市中央町3-6-17 ,-,-
一の坊,栃木県下都賀郡野木町丸林630-7 ,-,0280-57-1158
中村屋 野木店,栃木県下都賀郡野木町野木1898-1 ,-,-
富次郎 道の駅 しもつけ,栃木県下野市薬師寺41 道の駅 しもつけ内,-,0285-38-6783
牛愛（ギュウアイ）,栃木県小山市東城南3-12-6 ,-,0285-28-1181
小山食堂 さくら（SAKURA）,栃木県小山市大字下国府塚25-1 道の駅思川 食彩館,-,0285-39-7114
すき家 4号下野笹原店,栃木県下野市笹原83-1 ,-,-
トラベルスウィーツ　ブルージュ,栃木県下野市薬師寺41 道の駅しもつけ内,-,-
GABUKICHI （ガブキチ）,栃木県小山市中央町3-5-13 ,-,0285-38-6100
タイ料理 イムディー（Im Dee）,栃木県小山市城北2-22-15 ,-,-
iipan（イイパン）,栃木県小山市城山町2-7-24 ,-,0285-37-6861
レザンヌ,栃木県下野市柴271-8 ,-,0285-48-0101
とんかつ新宿さぼてん 小山駅前店,栃木県小山市城山町3-3-22 VAL 小山駅ビル 3F,-,0285-37-8680
居食亭 遊膳や（いしょくてい ゆうぜんや）,栃木県小山市神山2-8-15 ,-,0285-31-3557
和クォーレ（CUORE）,栃木県栃木市藤岡町大前1251-23 ,-,0282-62-1177
乙女屋 本店（おとめや）,栃木県小山市間々田1150 ,-,0285-45-0127
インテルヴァッロ（intervallo）,栃木県小山市雨ケ谷新田73-121 ,-,0285-29-0027
好好（ハオハオ）,栃木県小山市粟宮1-13-1 ,-,0285-30-5518
ラーメンショップ 城東店,栃木県小山市城東2-18-17 ,-,-
ガスト 自治医大前店,栃木県下野市祇園1丁目15-1 ,-,-
Quinze Choco（カーンズチョコ）,栃木県小山市大川島408 ,-,0285-39-6155
末っ子,栃木県小山市荒井2-2 ,-,0285-25-4611
小山竹末食堂,栃木県小山市東城南1-35-15 ,-,-
龍麺,栃木県小山市出井1777-8 ,-,-
博多 龍ノ髭 小山店,栃木県小山市神鳥谷1853-1 メゾンドロワール1F-D,-,0285-27-9090
そば処 季楽,栃木県小山市下国府塚710-1 ,-,0285-38-1866
とり七,栃木県小山市駅東通り1-4-3 駅東ビル 1F,-,0285-20-3707
げんこつ亭,栃木県小山市大字大本1660-3 ,-,-
地鶏・豆腐料理 くろまめや,栃木県小山市塚崎1507-1 ,-,0285-28-9633
竹亭,栃木県小山市出井1880-18 ,-,0285-22-8338
「七色の落書き」,栃木県下都賀郡野木町丸林408-1 ,-,-
チューズデイ コーヒー（Tuesday coffee）,栃木県小山市土塔234-1 ２Ｆ,-,0285-29-0405
小山に帰ってきた！きそば,栃木県小山市駅東通り2-34-9 小山東屋台村,-,-
天下一品 小山店,栃木県小山市駅東通り3-36-16 ,-,-
夕凪（【旧店名】てっぱち東口店）,栃木県小山市駅東通り1-5-3 2F,-,0285-25-7798
隠れ家,栃木県小山市城山町3-5-2 B1F,-,0285-21-1455
ティーズ・セルカジェ（T’s Serkage’）,栃木県小山市若木町2丁目9-40 ,-,0285-38-6860
スリーハンドレッドドットコム（300.com）,栃木県小山市駅東通り1-9-14 1F,-,0285-24-5101
カフェボヌール（cafe BONHEUR）,栃木県小山市武井433-5 ,-,不明の為情報お待ちしております
手打ちそば 大山,栃木県下野市小金井1-1-3 ,-,0285-44-4160
むさしの森珈琲 小山本郷店,栃木県小山市本郷町2-9-8 ,-,-
みた食堂,栃木県小山市卒島242 ,-,0285-37-0077
フレッシュロースター 珈琲問屋 小山店（フレッシュロースターコーヒートンヤ）,栃木県小山市西城南5-47-9 ,-,-
スターバックス・コーヒー 自治医科大学附属病院店,栃木県下野市薬師寺3311-1 自治医科大学附属病院内,-,-
AOYAカンパーニュ（アオヤカンパーニュ）,栃木県小山市萩島116-1 ,-,0285-39-7555
彩華 喜沢店,栃木県小山市喜沢740 ,-,0285-23-6678
モダンチャイニーズ ムサシ（Modern Chinese ムサシ）,栃木県小山市駅南町3-26-7 ,-,0285-28-0634
ボストンズカフェ 石窯ダイニング 小山雨ヶ谷店（Boston's CAFE 石窯ダイニング）,栃木県小山市雨ケ谷469-1 ,-,0285-38-7666
いっちょう 小山店,栃木県小山市横倉新田169 ,-,050-1722-5130
レストランラポ,栃木県下野市祇園2-36-3 ,-,0285-44-8956
ジパング軒,栃木県小山市喜沢1464-1 ,-,-
巴屋（ともえや）,栃木県下都賀郡野木町丸林200-2 ,-,-
ドラヤキワダヤ 間々田,栃木県小山市乙女3-30-27 ,-,0285-45-6780
コメダ珈琲店 自治医大店,栃木県下野市緑2-22-9 ,-,0285-40-5003
青柳川魚店,栃木県小山市城山町1-2-1 ,-,0285-22-0701
シャルル,栃木県小山市犬塚2-2-10 ,-,0285-25-5205
でん楽 小山店（でんらく）,栃木県小山市城山町3-2-14 ,-,0285-23-8080
らーめん 葉月,栃木県下都賀郡野木町友沼894 ,-,-
魚べい 西城南店,栃木県小山市西城南2-3-11 ,-,-
ラホーリーカーバーレストラン（LAHORI KHABA HALAL RESTAURANT）,栃木県小山市神鳥谷888-7 ,-,0285-36-3862
