店名,住所,電話番号,予約・お問い合わせ
Cheese Dining Zolo（チーズ ダイニング ゾロ）,福島県郡山市中町7-16 2F,024-954-7666,050-5594-8155
酒菜の隠れ家 月あかり 郡山駅前アーケード店,福島県郡山市駅前2-2-5 オーイズミ郡山ビル 1F,024-927-5977,050-5593-5651
味和居処えんむすび,福島県郡山市駅前2-6-16 横山プラザ1F,024-924-0301,050-5594-5474
CRAFT BEER&WINE 845 郡山駅前店,福島県郡山市駅前2-2-2 エリートパーク10角ハウス,070-2275-1192,050-5456-0664
白木屋 郡山駅前大通り店,福島県郡山市駅前1-4-8 さとうやビル　Ｂ１Ｆ,024-921-5988,050-5600-2533
丸新,福島県郡山市神明町15-4 ,-,024-922-1851
えぼし,福島県郡山市駅前2-5-1 和光ビル　１Ｆ,024-935-2816,050-5571-6308
Italian Kitchen VANSAN 郡山安積店,福島県郡山市安積3-5 ,024-953-7100,-
黒毛和牛専門店 もうもう亭,福島県郡山市朝日3-6-3 朝日レジデンス1F,024-923-9437,050-5872-6224
餃子のかっちゃん 郡山店,福島県郡山市駅前1-4-7 ,024-953-3075,050-5595-8426
かつや 福島郡山インター店,福島県郡山市字下亀田24-27 ,-,024-983-6160
ローマの太陽 大槻店,福島県郡山市大槻町字南反田18-3 ,-,024-983-5335
スシロー 須賀川店,福島県須賀川市北山寺町5 ,-,0248-63-7335
手作り肉まんの店 パオ（PAO）,福島県郡山市西ノ内2-10-26 ,-,024-954-9980
かずひろ,福島県郡山市安積町日出山字一本松212 ,-,024-943-2254
味噌担々麺 ばんかい,福島県郡山市島1-21-18 ,-,不明の為情報お待ちしております
オレンジペコ,福島県郡山市麓山1-16-17 21世紀記念公園とんがりふれあい館1F,-,024-934-0214
ゆり,福島県郡山市虎丸町21-6 ,-,024-922-9160
焼肉冷麺やまなか家 郡山さくら通り店,福島県郡山市長者3-1-10 ,-,024-927-1110
とん勝 みやま（とんかつ みやま）,福島県郡山市昭和2-126-2 ,-,024-943-1838
三万石 郡山南インター店,福島県郡山市安積町荒井字念仏段36 ,-,024-945-8800
めん処 成（せい）,福島県郡山市朝日1-7-12 ,-,-
肉汁うどん 自家製麺 まとや,福島県郡山市大槻町小金林24-19 ,-,090-3120-1489
考えた人すごいわ ブレッドパーク郡山店,福島県郡山市島2-49-40 ,-,024-973-6122
居酒屋しのや 郡山駅前本店,福島県郡山市中町11-1 クラブ第1ビル 1F,-,024-983-0081
蕎麦切り あなざわ（そばきり あなざわ）,福島県郡山市静町37-13 ,-,-
クッチーナ（Cucina）,福島県郡山市並木3-6-8 ,-,024-927-0665
平田屋 清水台本店,福島県郡山市清水台2-6-6 ,-,024-932-3499
べんとうや てっちゃん,福島県郡山市備前舘2-106 ,-,024-954-5799
フレンチシェフ たにかわ,福島県郡山市大町1丁目12-6 ,-,024-925-0251
そば処 蕎楽（きょうらく）,福島県郡山市亀田1-52-9 ,-,0249-07-2196
赤から 郡山富田店,福島県郡山市備前館2-101 ,-,024-927-5150
フルーツバーAOKI うすい店（アオキ）,福島県郡山市中町13-1 うすい百貨店,-,024-932-0001
わらび食堂,福島県郡山市大槻町仁池向10-1 ,-,024-946-3325
なか卯 郡山大町店,福島県郡山市大町1-3-18 SE大町ビル,-,-
大阪王将 郡山桑野店,福島県郡山市桑野4-2-13 ,-,-
キムチ屋,福島県郡山市安積4丁目170 ,-,024-946-4110
しょうふく,福島県郡山市三穂田町川田2-203-3 ,-,-
丸亀製麺 郡山店（まるがめせいめん）,福島県郡山市並木4-6-2 ,-,-
ゆとりろ磐梯熱海,福島県郡山市熱海町熱海5-18 ,-,024-984-2811
すし辰,福島県郡山市堤3丁目39 ,-,024-961-0793
レストランLapis,福島県郡山市山根町8-7 ベルヴィ郡山館,-,024-934-7733
とりの蔵（とりのくら）,福島県郡山市朝日3-3-12 ,-,024-927-8222
千広食堂,福島県郡山市不動前1-34 ,-,024-932-7370
寿司・鰻・天婦羅　松舞,福島県郡山市安積町荒井字石樋64 ,-,024-945-9856
バー ドゥ モボ（BAR de MOBO）,福島県郡山市駅前1-5-8 SHOUFUDO BUILDING 1F,-,024-935-5330
モスバーガー 郡山安積店,福島県郡山市安積町荒井字大久保29-1 ,-,024-947-0112
レストラン＆バル ラボ,福島県郡山市田村町金屋上川原116 ,-,080-2835-3326
元祖 ほるもん道場 郡山駅前店（ガンソ ホルモンドウジョウ）,福島県郡山市駅前2-6-14 ,-,024-925-8989
ヨシダベーゴー（YOSHIDA BAGEL）,福島県郡山市富久山町久保田字愛宕2-2 ,-,024-954-6263
富久栄珈琲 イオンタウン郡山店,福島県郡山市松木町2-88 おしゃれ館内,-,024-983-3788
信濃屋菓子店,福島県郡山市熱海町熱海1-94-2 ,-,024-984-2684
お菓子工房 ポンデフリュイ,福島県郡山市谷地本町68 ,-,024-954-7280
餃子専門店 皮と餡,福島県郡山市麗山2-12-20 ,-,024-953-5064
食の工房 大観（ダイカン）,福島県本宮市字荒井字青田原209-5 ,-,0243-36-6001
まねきの湯 郡山,福島県郡山市向河原町4-40 ,-,-
ブレハ（BREHA）,福島県郡山市清水台1-6-18 八幡第一ビル１Ｆ,-,-
デザート王国 郡山,福島県郡山市燧田195 エスパル郡山店 1Ｆ　FOOD BAZAAR内,-,024-925-6646
ホルモン食堂食樂 郡山駅前店,福島県郡山市駅前2-8-20 駅前柳内ビル 1F,-,024-983-0158
ステーキ宮 郡山コスモス通り店,福島県郡山市谷地本町70 ,-,-
フルーツショップ青木 八山田本店（フルーツショップ aoki）,福島県郡山市八山田5-405 ,-,024-932-0190
磯陣,福島県郡山市駅前2-6-2 ,-,024-934-7252
メガセンタートライアル 郡山八山田店（TRIAL）,福島県郡山市富久山町八山田土布池11-7 ,-,-
CoCo壱番屋 郡山うねめ通店（ココイチバンヤ）,福島県郡山市並木1-1-17 ,-,024-990-2622
かんのや 郡山駅おみやげ館,福島県郡山市燧田195 エスパル郡山店 1F,-,-
郡山大勝軒,福島県郡山市富田町字乙路後18-1 ,024-935-4262,-
酪王乳業,福島県郡山市大槻町古屋敷80-1 ,-,024-951-7731
こまち,福島県郡山市中町13-1 うすい百貨店,-,024-933-9111
Ristorante Martello（リストランテ マルテッロ）,福島県郡山市富田東1-368 ,-,024-973-8611
福豆屋 2号売店（フクマメヤ）,福島県郡山市字燧田 JR郡山駅 新幹線上り13番線ホーム,-,-
すき家 ザ･モール郡山店,福島県郡山市長者1-1-56 ザ･モール郡山,-,非公開
沖縄ダイニング　な美ら,福島県郡山市豊田町4-16 ,-,024-927-8417
らぁめんキッチンけんけん（らぁめんkitchenけんけん）,福島県郡山市安積町長久保3-2-13 ,-,-
大高屋,福島県郡山市大槻町三角田3-4 ,-,-
まるやま 郡山本店,福島県郡山市安積町荒井1-39 ,-,024-937-2280
ＤＯＮＱ 郡山うすい店（ドンク）,福島県郡山市中町13-1 うすい百貨店 B1F,-,024-927-1258
ふたばや,福島県郡山市堂前町25-21 ,-,024-932-1095
ホテルハマツ,福島県郡山市虎丸町3-18 ,-,024-935-1111
すし茶屋 わび如（わびすけ）,福島県郡山市神明町13-18 ,-,024-934-8338
郡山ビューホテル,福島県郡山市中町3-1 ,-,024-924-1111
おみやげ処 あさか野,福島県郡山市燧田195 郡山駅 2F,-,-
日吉丸,福島県郡山市菜根5丁目18-18 ,-,-
ドトールコーヒーショップ 郡山中央通り店,福島県郡山市中町11-1 ,-,-
自家製麺 工藤,福島県郡山市神明町17-13 ,-,-
パン工房 ブォーノブォーノ 安積店,福島県郡山市安積4-3-1 ,-,024-983-5831
ガスト 郡山八山田店,福島県郡山市喜久田町字下双又16-6 ,-,-
若大将チェーン 本店,福島県郡山市田村町金屋二本木69-2 ,-,024-944-5513
スターバックス・コーヒー 郡山モルティ店,福島県郡山市駅前2-11-1 ビッグアイ2階,-,-
ASOLA BERRY（あそらベリー）,福島県郡山市三穂田町鍋山字行人原1-4 ,-,不明の為情報お待ちしております
沖縄料理しゅう,福島県郡山市台新2-29-2 ,-,024-905-7245
飛鳥,福島県郡山市名郷田1-14 ,-,024-931-6733
千代乃や食堂,福島県須賀川市柱田字中地193 ,-,-
新川（シンカワ【旧店名】備前舘 そばや万祥）,福島県郡山市備前舘2-22-2 ,-,024-954-5757
〇助,福島県郡山市大町1-4-15 第二増子ビル 1F,-,024-925-8110
みかど チャイニーズレストラン,福島県郡山市方八町2-19-10 ,-,024-944-8338
アーマ テラス あぐりあ店,福島県郡山市安積町成田1-20-1 ,-,-
あたみ食堂,福島県郡山市熱海町熱海2-74 ,-,-
"ロム・エン（Rom-jen,）",福島県郡山市深沢2-10-9 ,-,024-934-7448
Beer Hop（ビア・ホップ）,福島県郡山市駅前1-4-3 陣屋ＳＳポートビル,-,024-922-1844
横浜家系ラーメン 龍 郡山桑野店,福島県郡山市桑野3-18-20 ,-,-
たけや,福島県郡山市堂前町18-3 ,024-932-5862,-
幸楽苑 富田店,福島県郡山市富田町備前館2-122 ,-,-
ギャラリー 芋銭（ウセン）,福島県郡山市逢瀬町河内字藤田51-2 1F,-,不明の為情報お待ちしております
鉄板焼 大山,福島県郡山市土瓜1-82 ,-,024-966-2989
椿ラーメンショップ 新さくら通り店（つばきらーめんしょっぷ）,福島県郡山市島2-42-20 ,-,-
一福（ひとふく）,福島県郡山市中町9-6 ロンデン駅前ビル 2F,-,024-927-1766
ガーデンハウス,福島県郡山市日和田町字小原1 イオン郡山フェスタ,-,-
リングツリー（Ring Tree）,福島県郡山市桑野3-13-12 ,-,024-983-4101
レパコ エイトタウン本宮店,福島県本宮市荒井字久保田132 ,-,0243-24-7011
そば家やまき,福島県郡山市熱海町中山字太田103-10 ,-,024-983-6608
十八番,福島県郡山市大町1-13-19 ,-,-
まゆちゃん,福島県郡山市中町11-4 ,-,-
仙台屋菓子舗,福島県郡山市安積二丁目22番地 ,-,024-945-4259
バール・イルチェントロ,福島県郡山市朝日3-5-16 イルチェントロあさかビル 1F,-,024-927-5685
中華麺飯パーク 蝦夷,福島県郡山市開成2-7 ,-,-
天くう,福島県郡山市大町1-4-3 ワタナベビル 1F,-,024-973-5558
カフェテラス四季,福島県郡山市桑野3-15-22 ,-,024-973-7673
天然温泉極楽湯 福島郡山店,福島県郡山市富久山町八山田字南広谷20-1 ,-,024-934-4126
水國（ミクニ）,福島県郡山市清水台1-4-14 ,-,024-922-2357
ラーメン　一石,福島県須賀川市木之崎字寺前70-1 ,-,0248-68-2784
鮨家 だるま,福島県郡山市細沼町8-18 ,-,不明の為情報お待ちしております
あさかのたまご工房 コッコらん,福島県郡山市大槻町美女池北85 安積野養鶏たまご直売店内,-,024-962-0411
一平（いっぺい）,福島県郡山市中町10-1 ,-,024-931-7355
いしむしろそば 熱海本店,福島県郡山市熱海町熱海3-48 ,-,-
家族亭十々（ジュウジュウ）,福島県郡山市富久山福原陣場193-15 ,-,024-922-4103
春木屋 郡山分店（はるきや）,福島県郡山市桑野2-16-13 ,-,-
辰美（タツミ）,福島県郡山市中町12-8 ,-,-
焼き鳥専門店 かぎや,福島県郡山市駅前2-1-14 ,-,024-931-0305
そば処 勇屋,福島県郡山市喜久田町四十坦8-37 ,-,024-922-1450
モーニング LIVIN郡山店,福島県郡山市長者1-1-56 ザ・モール郡山 1F,-,-
BAR NAMU（バー ナム）,福島県郡山市駅前2-6-16 横山プラザビル B1F,-,024-932-9932
定食家 母,福島県郡山市清水台1-7-16 ヒロハイツ清水台 1F,-,024-925-8320
酒蔵　金寳,福島県郡山市駅前1-9-9 ,-,024-933-2959
石水,福島県郡山市山崎305-102 ,-,024-922-7657
和泉,福島県郡山市駅前2-1-3 ,-,024-932-8328
えびすや,福島県郡山市久留米6-160-1 ,-,024-946-0135
ホテルルートイン 郡山南（HOTEL ROUTE INN）,福島県郡山市南1-55 ,-,024-925-3313
ホテル・アルファ－ワン 郡山（α-1）,福島県郡山市長者1-2-16 ,-,024-925-0002
そばの神田,福島県郡山市駅前1-9-6 ,-,-
平禄寿司 福島郡山八山田店,福島県郡山市喜久田町四十坦12 1F,-,024-991-8550
スターバックス コーヒー 郡山コスモス通り店（STARBUCKS COFFEE）,福島県郡山市堤2-41 ,-,024-962-9357
よしの食堂,福島県田村郡三春町下舞木石崎40 ,-,024-956-2021
ポムの樹 モルティ郡山店（ポムノキ）,福島県郡山市駅前2-11-1 モルティ　５Ｆ,-,024-935-3955
口福堂 ショッピングモールフェスタ店,福島県郡山市日和田町字小原1 ショッピングモールフェスタ 1F,-,不明の為情報お待ちしております
ドン・モナミ,福島県郡山市赤木町13-12 ,-,024-933-2465
Sugar（シュガー）,福島県郡山市日和田町高倉高倉114 ,-,-
麺家 くさび 郡山富田店,福島県郡山市新屋敷2-129 ,-,-
麺屋かわせみ,福島県郡山市田村町栃本樋ノ口161-4 ,-,-
サーティワンアイスクリーム 西部プラザ店,福島県郡山市西ノ内2-11-35 西部プラザ 1F,-,024-931-7831
回転寿司とっぴ～ 郡山安積店（【旧店名】廻転ずし とっぴ～）,福島県郡山市巳六段208 ,-,024-937-1161
ふくえもん（【旧店名】福笑門）,福島県郡山市七ツ池町1-14 グリーンコーポ 1F,-,080-5517-8208
ビアードパパ エスパル郡山店,福島県郡山市燧田195 エスパル郡山店 中2F,-,-
桜華,福島県郡山市桑野2-39-22 ,-,024-923-7440
ドトールコーヒーショップ エッソ郡山美術館通り店,福島県郡山市向河原町4-65 ,-,-
味の串天,福島県郡山市大町1-12-19 ,-,024-922-6963
マクドナルド 郡山駅西口店（McDonald's）,福島県郡山市駅前1-2 ,-,-
きくち,福島県郡山市細沼町6-17 ,-,024-933-9558
フルカワ食堂,福島県郡山市大槻町字新池下56-3 ,-,024-952-4152
吉野家 49号線郡山桑野店,福島県郡山市桑野4-47-1 ,-,024-991-1896
すずや食堂,福島県郡山市富田町大十内85-35 ,-,-
菜々家 朝日店,福島県郡山市朝日1-3-2 ,-,-
リベル（洋食堂リベル）,福島県郡山市島2-8-30 1F,-,024-921-9111
宝来軒,福島県郡山市並木3-5-20 ,-,-
ホテル グローバルビュー郡山（【旧店名】ホテルロイヤル郡山）,福島県郡山市中町11-2 ,-,024-932-3232
居酒堂々 さくら,福島県郡山市久留米4-168-11 ,-,024-945-2586
ドライブイン幸華（こうか）,福島県郡山市熱海町安子島字反畑65-7 ,-,-
中華 太陽（たいやん【旧店名】中国四川料理 太陽）,福島県郡山市大槻町字菅田55-5 ,-,024-951-9098
金光老麪,福島県本宮市下樋52 1F,-,-
喜龍,福島県郡山市田村町金屋新家34-1 ,-,-
バーミヤン 郡山桑野店,福島県郡山市桑野1-21-4 ,-,-
スターバックスコーヒー 郡山並木店（STARBUCKS COFFEE）,福島県郡山市並木1-12-17 ,-,024-973-6433
福味,福島県郡山市虎丸町5-10 ,-,024-923-6677
おうせ茶屋,福島県郡山市逢瀬町河内字東長倉1-3 ,-,-
和幸 エキナカ郡山駅店（わこう）,福島県郡山市燧田195 エスパル郡山店 2F,-,024-927-5586
牛たん炭焼 利久 郡山駅前店,福島県郡山市駅前1-6-10 ダイワロイネットホテル郡山駅前 2F,-,024-983-3250
ラーメン亭 三番,福島県郡山市桑野3-20-30 ,-,-
京都ラーメン 森井,福島県郡山市若葉町11-20 佐藤ビル,-,-
菊屋茶舗,福島県郡山市大町1丁目2-21 ,-,-
BAKERY BAMBI（ベーカリー バンビ）,福島県郡山市三穂田町川田2丁目204-4 ,-,024-946-2001
ステーキハウス ハマ 郡山店,福島県郡山市虎丸町3-18 ホテル　ハマツ　９Ｆ,-,024-935-1182
ふく家（ふくや）,福島県郡山市大町1-6-13 ,-,024-934-2889
横浜たんめんDa栖（ダックス）,福島県郡山市西ノ内1-11-8 ,-,-
ヴィ・ド・フランス 郡山店,福島県郡山市字燧田195 S-PAL郡山店 1F,-,024-923-5678
大衆食堂 みどりや商店,福島県郡山市富田東3-213 ,-,-
RESTAURANT SPOON (郡山ビューホテルアネックス)（【旧店名】casual dining spoon）,福島県郡山市中町10-10 郡山ビューホテルアネックス 1F,-,024-939-1129
麺屋 正遊（しょうゆう）,福島県郡山市熱海町高玉字二渡69-1 ,-,-
クリスパマハル 郡山店（【旧店名　Curry Mahal　カレー マハル】）,福島県郡山市桑野3-14-4 クローネ郡山1F,-,024-954-5434
フルーツピークス ザ・モール郡山店（Fruiits peaks）（【旧店名】ル・ヴェルジェ ）,福島県郡山市長者1-1-56 ザ・モール郡山 1F,-,-
旅館源平,福島県郡山市開成3-4-3 ,-,024-922-2496
マヤデビ 郡山店（MAYADEVI）,福島県郡山市安積3丁目301-1F ,-,024-947-1605
どさん子 郡山日和田4号店,福島県郡山市日和田町高倉字大口原1-280 ,-,024-958-2833
丹波家柿羊羹本舗 咲田本店,福島県郡山市咲田2-9-2 ,-,024-933-2497
来夢 郡山北店,福島県郡山市喜久田字四十坦6-13 ,-,-
手作りパンの店　「チロル」,福島県郡山市菜根1-24-11 ,-,024-922-2912
磐梯熱海観光物産館（ほっとあたみ）,福島県郡山市熱海町熱海2-15-1 ,-,024-953-5408
ロッテリア 郡山開成店（LOTTERIA）,福島県郡山市開成2-40-13 ,-,-
カルビ大将 郡山安積店,福島県郡山市南2-66 ,-,024-947-5678
大山食堂,福島県郡山市富久山町福原泉崎12 ,-,024-933-8104
ミスタードーナツ 郡山フェスタショップ（misterDonut）,福島県郡山市日和田町字小原1 ,-,不明の為情報お待ちしております
エクセルシオールカフェ 郡山桑野店,福島県郡山市桑野下亀田16-16 ,-,-
サイゼリヤ 郡山城清水店,福島県郡山市字城清水140-1 ,-,024-934-9731
幸楽苑 郡山駅東店,福島県郡山市向河原町4-63 ,-,024-941-3911
ローレルバレイ,福島県須賀川市守屋字南高松22-35 ゴルフ場,-,0248-65-3131
左馬,福島県郡山市中町7-8 ,-,-
喜楽堂,福島県郡山市開成4-2-16 ,-,024-922-2986
ヱビスヤ,福島県郡山市日和田町字千峯坦61-1 ,-,-
ラオタオ,福島県田村郡三春町上舞木字宮の前7 ,-,024-942-0606
横浜家系ラーメン 喜多見家 郡山店,福島県郡山市芳賀1-34-2 ,-,-
富久栄珈琲（Fukuei Coffee Roasters）,福島県郡山市亀田1-51-19 ,-,024-953-7035
らぁ麺 おかむら,福島県郡山市大槻町字小金林24-1 ,-,-
若竹食堂,福島県郡山市堂前町24-12 ,-,024-933-3418
吉野家 郡山さくら通り店,福島県郡山市虎丸9-15 ,-,024-991-9252
MILK DO dore iku? 郡山店（ミルクドドレイク）,福島県郡山市駅前1-6-15 エリート1 1F,-,050-8884-9890
OGURA（オグラ）,福島県郡山市駅前2-6-2 ,-,024-932-1132
焼きたて屋 カインズホーム郡山富田店,福島県郡山市富田町字上田向25-7 カインズホーム郡山富田店,-,090-3440-2369
小粋（koiki）,福島県郡山市清水台1-6-9 八幡プラザ 1F,-,024-983-5227
蕎麦彩膳 隆仙坊（りゅうせんぼう）,福島県郡山市清水台2-6-5 ,-,024-932-0194
もぐら,福島県郡山市中町7-14 おのやビル 1F,-,024-953-4140
春こま食堂,福島県郡山市小原田4-14-3 ,-,-
梅の花 郡山店,福島県郡山市鳴神1-30-2 ,-,024-962-7338
かんのや 本店文助,福島県郡山市西田町大田字宮木田39 ,-,-
角さん（かくさん）,福島県郡山市駅前2-8-16 ,-,024-924-0254
松屋 エイトタウン本宮店,福島県本宮市荒井字久保田132-8-5 ,-,-
炭焼うまいもん 虎々（スミヤキウマイモン トラトラ）,福島県郡山市中町10-6 ,-,024-983-9777
びっくりドンキー 桑野店,福島県郡山市字下亀田9-3 ,-,024-927-1131
マクドナルド ザ・モール郡山店,福島県郡山市長者町1-1-56 ザ・モール郡山,-,024-927-5133
和伊んや,福島県郡山市安積3-157 ,-,024-973-7234
バカ増しの里 ジャンクラーメン じおん,福島県郡山市安積町日出山一本松100-7 ,-,-
Voix de Coeur,福島県郡山市富田東5-7 ,-,024-973-6603
すき家 4号郡山安積店,福島県郡山市安積3-43 ,-,非公開
大串,福島県郡山市駅前2-6-7 ウィンザービル 2F,-,024-923-9164
エンゼル洋菓子店,福島県郡山市大槻町字広町48 ,-,024-952-1144
龍宮城 西ノ内店（リユウグウジヨウ）,福島県郡山市西ノ内1-13-9 ,-,024-939-4649
羅布乃瑠沙羅英慕 郡山店（ロブノオルサラエボ）,福島県郡山市並木4-6-19 ,-,024-990-0881
カフェドベトナム 澤上商店（Cafe de Viet Nam）,福島県郡山市中町6-14 ,-,024-983-0606
麦まる 郡山ザ・モール店,福島県郡山市長者1-1-56 ザ・モール郡山 1F,-,-
舞木ドライブイン,福島県郡山市舞木宮ノ前42-1 ,-,-
開成茶屋,福島県郡山市開成3-5-2 ,-,024-923-3532
旬菜肴房　善舞,福島県郡山市安積町笹川字西長久保154 1F,-,024-926-0625
せせらぎ,福島県郡山市田村町山中鬼越316-1 ,-,024-955-5366
api（アピ）,福島県郡山市安積北井2-82 ,-,024-954-6337
五百川食堂,福島県本宮市荒井陳場37 ,-,-
郡山駅弁,福島県郡山市燧田195 JR郡山駅 1F,-,不明の為情報お待ちしております
かに徳 郡山本館（かにとく）,福島県郡山市亀田2-18-16 ,-,024-931-2188
ほっともっと 郡山富田店,福島県郡山市町東1-201 ,-,024-962-0131
なごみ一席 成庵（セイアン）,福島県郡山市深沢2-1-7 ,-,024-923-4999
ドトールコーヒーショップ イオンタウン郡山店,福島県郡山市松木町2-88 イオンタウン郡山,-,024-941-2237
庵ぐら 郡山店,福島県郡山市中町7-16 ,-,024-924-3755
ジョリーパスタ 郡山富田店（Jolly Pasta）,福島県郡山市備前館2-107 ,-,-
どんどん（Don Don）,福島県郡山市横塚2-203-1 ,-,024-941-5501
一心,福島県郡山市中田町下枝久保210 ,-,-
だいこくや,福島県本宮市白岩字柳内61-1 ,-,0243-44-3178
すき家 郡山鳴神店,福島県郡山市鳴神3-238 ,-,非公開
柏屋 開成店（開成柏屋）,福島県郡山市朝日1丁目13-5 ,-,024-922-5533
あさひ食堂,福島県郡山市安積町荒井柴宮山55-85 ,-,024-945-4958
和の菓子たけだ,福島県郡山市大槻町字上西田42-7 ,-,024-952-8381
カフェ　ナルマリ（cafe narumari）,福島県田村郡三春町大字上舞木字明部作38-29 ,-,024-973-5841
椿ラーメンショップ 八山田店,福島県郡山市八山田6-207 ,-,-
焼肉レストラン 安楽亭 コスモス店,福島県郡山市御前南2-119 ,-,024-961-2929
常鮨,福島県郡山市久留米2-142-4 ,-,024-946-2456
そば処 森（そばどころ もり）,福島県郡山市熱海町高玉北梨子平55 ,-,-
三万石 郡山駅おみやげ館店,福島県郡山市燧田195 エスパル郡山店,-,-
みよし堂,福島県郡山市麓山2-12-23 ,-,024-995-3440
神楽や（かぐらや）,福島県郡山市安積町日出山3-281 ,-,024-956-5510
フルーツピークス エスパル郡山店（【旧店名】ルヴェルジェ）,福島県郡山市燧田195 エスパル郡山 おみやげ館 1F,-,024-926-0333
デニーズ 郡山東口店,福島県郡山市横塚2-5-2 ,-,-
シズク カフェ＆スクール（SHIZUKU CAFE＆SCHOOL）,福島県郡山市田村町金屋字上川原97 ,-,-
平安食堂,福島県郡山市大槻町土瓜49-1 ,-,024-951-3703
