店名,住所,電話番号,予約・お問い合わせ
とんとこ豚,茨城県つくば市天久保2-18-4 ,029-856-6515,050-5890-9182
つくば 樓外樓 学園店（楼外楼 ツクバロウガイロウ）,茨城県つくば市吾妻1-5-3 ＭＯＧ　３Ｆ,029-856-3737,050-5869-2494
伊太利亜台所,茨城県つくば市下原481-2 ,029-839-1566,050-5594-0645
韓国家庭料理　済州（チェジュ）,茨城県つくば市松野木176-7 ,029-836-7511,050-5869-1525
ランチ＆バー 花菜（Ｈａｎａｎａ）,茨城県つくば市竹園3-21-2 竹園ショッピングセンター内,029-858-8887,050-5872-2725
Spice curry TRIGGER（スパイス カレー トリガー）,茨城県つくば市天久保2-6-1 ベストランドIV 1F,-,-
貴楽 魚と野菜,茨城県つくば市天久保1-5-2 第一柴原ビル 103,029-855-7570,050-5868-5335
ワインとピザ ビストロ ポリッツァ,茨城県つくば市吾妻1-8-10 BiVi 2F,029-893-4310,050-5868-6061
お菜屋 わだ家 つくば店,茨城県つくば市研究学園5-8-4 ホテルベストランド 1F,029-863-1567,050-5596-1643
鳥すき 研究学園店,茨城県つくば市研究学園5-5-3 2号室,029-846-2505,050-5596-2044
目利きの銀次 つくばデイズタウン店,茨城県つくば市竹園1-9-1 デイズタウンアネックスA棟 1F,029-852-7788,050-5872-6580
全席個室居酒屋 忍家 つくば研究学園駅前店,茨城県つくば市研究学園5-8-3 坂和ビル　3F,-,050-1807-8506
カリビアンカフェ つくば店（CARIBBEAN CAFE）,茨城県つくば市竹園1-9-2 デイズタウン B1F,029-875-9770,050-5589-7057
レストラン セリーナ（【旧店名】カメリア）,茨城県つくば市吾妻1-1364-1 ホテル日航つくば本館 2F,029-896-3261,050-5868-7330
炭火やきとり 煮込み ラーメン あっぱれ つくば店,茨城県つくば市竹園1-9-2 デイズタウン 1F,029-859-8044,050-5456-1557
City Harbor（シティハーバー）,茨城県つくば市研究学園1-3-4 ,029-869-7858,050-5600-4874
obbligazioni（オブリガッツィオーニ）,茨城県つくば市花室1612-1 ,029-869-7106,050-5595-8428
もつ鍋 鉄鍋餃子 鳥炭火焼き 九州酒場 丸九 研究学園店（【旧店名】札幌ラム屋台 ジンギスカンとハイボール ラム吉）,茨城県つくば市研究学園5-1-7 ,029-875-5979,050-5457-9359
目利きの銀次 研究学園北口駅前店,茨城県つくば市研究学園 5-13-11 ,029-859-8188,050-5872-5487
握りと串天ぷら 六（ROKU）,茨城県つくば市吾妻1-8-10 BiViつくば 3F,029-828-6166,050-5457-6813
産直鮮魚とおばんざい 魚こめ屋 イオンモールつくば店,茨城県つくば市稲岡66-1 イオンモールつくば 1F,029-846-2227,050-5872-4102
本通り（HonDori）,茨城県つくば市筑穂3-1-5 つくばフロンティアビル 2F,029-804-3950,050-5595-6010
Bettei（ベッテイ）,茨城県つくば市天久保1-8-6 103,029-875-4844,050-5456-4399
魚民 研究学園北口駅前店,茨城県つくば市研究学園D17街区6画地 坂和ビル　２Ｆ,029-858-5388,050-5600-2589
南房総 やまと寿司 つくば店（【旧店名】スーパー回転寿司 やまと）,茨城県つくば市館野6-1 ,029-863-7309,050-5594-8069
福鮨 つくば店（ふくずし）,茨城県つくば市研究学園5-8-4 ホテルベストランド　２Ｆ,029-896-5550,050-5594-5478
La Porta （ラ ポルタ ）,茨城県つくば市研究学園5-8-4 ホテルベストランド　１F,029-849-2211,050-5593-6104
中国料理 桃李（トウリ【旧店名】桃花林）,茨城県つくば市吾妻1-1364-1 ホテル日航つくば 別館 2F,029-852-6001,050-5868-8329
Agato（【旧店名】ラ・フランドル）,茨城県つくば市二の宮2-15-21 ,029-896-8889,050-5872-2731
焼肉せんりゅう つくば店,茨城県つくば市上横場1976 ,029-836-6529,050-5868-6966
鳥吉 大穂店,茨城県つくば市筑穂3-1-8 ,029-879-1252,050-5590-3083
ホワイトバジル,茨城県つくば市桜2-51-5 ,029-857-8573,050-5593-4405
つくば肉研究所,茨城県つくば市研究学園5-8-3 ,029-875-9118,050-5595-1318
サイノ,茨城県つくば市吾妻1-6-1 つくばクレオスクエア キュート 3F,029-856-2353,050-5596-4752
ボン・グー（Bon Gout）,茨城県つくば市二の宮2-2-22 つくば横丁会,029-893-4966,050-5594-5479
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 つくば研究学園駅前店,茨城県つくば市研究学園5-13-4 わいわいビル 2F,029-886-6887,050-5590-7818
青木商店（アオキショウテン）,茨城県桜川市本木1642 ,-,0296-58-6228
麺処 明り,茨城県つくば市柴崎1050-1 ,-,-
ドロール ダイナー（DROOL DINER）,茨城県つくば市手子生924-7 ,-,029-896-8691
加波山市場,茨城県桜川市鍬田527-1 ,-,0296-71-6831
kitchen soya（キッチン ソイヤ）,茨城県つくば市東光台3-14-6 ,-,029-847-7470
煎餅屋仙七 真壁店,茨城県桜川市真壁町白井833-1 ,-,0296-23-8822
エスニックカレー KaLaK（カラク）,茨城県つくば市柴崎1050-1 アヤカリ亭,-,不明の為情報お待ちしております
徳樹庵 つくば研究学園店（トクジュアン）,茨城県つくば市研究学園7-44-21 ,-,029-886-3172
そば処　竹前,茨城県つくば市筑穂1-13-13 ,-,029-864-3199
DORF（ドルフ）,茨城県つくば市天久保3-8-6 ,-,029-845-7434
ゆにろーず つくば店,茨城県つくば市大字小田4781 ,-,-
すき家 桜土浦IC店,茨城県つくば市下広岡字向山1055-321 ,-,非公開
八木製菓,茨城県つくば市木俣394-14 ,-,029-847-2641
焼とり 天照,茨城県つくば市天久保2-9-2 リッチモンド2番街 A105,-,090-8798-0622
大栄閣（ＤＡＩＥＩＫＡＫＵ）,茨城県つくば市天久保1-12-7 ,-,029-851-2989
吉野家 つくば天久保店,茨城県つくば市天久保2-15-1 ,-,-
フォルノ ア レーニャ パネッツァ（Forno a legna Panezza）,茨城県石岡市弓弦688 ,-,0299-51-5401
ウィーン菓子 シーゲル（Sieger）,茨城県つくば市千現2-13-2 ,-,029-852-5777
煎餅屋 仙七 つくば店,茨城県つくば市学園の森3-21-1 ,-,029-875-3317
キッチン JUJU（ジュジュ）,茨城県つくば市上横場2286-1 ,-,050-1722-2766
ピアチェーレ（piacere）,茨城県つくば市みどりの中央11-3 ウィングマルシェみどりの,-,080-6323-7581
とこぱん,茨城県つくば市苅間1495 ,-,不明の為情報お待ちしております
つくば蕎麦物語,茨城県つくば市吾妻1-8-10 BiViつくば 2F,-,029-886-8066
吉野家 つくば大境店,茨城県つくば市西大橋593-1 ,-,029-860-6155
WITH CHEESE（ウィズチーズ）,茨城県つくば市赤塚685-13 ,-,029-893-3808
リンガーハット イーアスつくば店,茨城県つくば市研究学園C50街区1 イーアスつくば 3Fフードコート内,-,029-868-7131
中華そば 陽なた,茨城県桜川市岩瀬228-3 ,-,-
えるふ農国,茨城県つくば市稲岡66-1 ,-,-
メゾン コートダジュール（MAISON COTE D'AZURL）,茨城県つくば市研究学園3-25 ,-,029-869-4890
田舎の台所 零壱（イナカノダイドコロ ゼロイチ）,茨城県つくば市手子生1061-1 ,-,-
フレッシュベーカリー ラムール,茨城県土浦市乙戸南3-12-12 ,-,029-842-1426
うなぎ村山,茨城県つくば市小田1892-2 ,-,029-867-1268
東京油組総本店 つくば谷田部組,茨城県つくば市台町2-2-14 ,-,-
ラーメン異国龍,茨城県つくば市天久保2-20-7 ,-,-
山田うどん 岩瀬店,茨城県桜川市上野原地新田146-1 ,-,-
ビアードパパ イーアスつくば店,茨城県つくば市研究学園5-19 イーアスつくば1F,-,-
cafe de しっぽな（カフェ・ド・シッポナ）,茨城県つくば市北中島424-6 ,-,029-836-6596
マイカリー食堂 つくば西大通り店,茨城県つくば市春日4-1-5 ,-,-
スターバックス・コーヒー つくば店,茨城県つくば市稲荷前12-2 ,-,-
明神 角ふじ（みょうじん かどふじ）,茨城県つくば市上横場2192-1 ,-,-
馬肉の一九,茨城県つくば市研究学園5-15-14 ,-,029-869-7729
樓外樓 別館（ロウガイロウ）,茨城県つくば市吾妻1-8-10 BiViつくば 3F,-,029-828-6188
つつじヶ丘レストハウス,茨城県つくば市筑波1 ,-,029-866-0918
ヘラディワ（heladiwa ）,茨城県つくば市天久保1-8-6 グリーン天久保 2F,-,029-893-4442
茅,茨城県つくば市国松2938-1 ,-,029-866-1653
定越食堂（sadagoe shokudo）,茨城県つくば市金田2144-2 ,-,029-869-8219
POTATO'S CAFE craftfries（ポテト カフェ クラフトフライス）,茨城県つくば市松代2-7-1 パークサイドマリッチ 1F,-,080-6595-1134
麺屋とみよし,茨城県つくば市天久保1-16-7 さくらビル1F,-,-
鎌倉パスタ イオンモールつくば店,茨城県つくば市稲岡66-1 イオンモールつくば 1F,-,029-839-2309
わかたろう,茨城県つくば市天久保3-21-3 ,-,0298-75-9891
がんこや かるがん つくば店,茨城県つくば市赤塚635-9 ,-,-
インデアンレストラン  ニューミラ,茨城県つくば市天久保2-16-10 誠和ビル1Ｆ,-,-
レストラン イイノ（restaurant iino）,茨城県つくば市みどりの中央82-6 みどりのグランデプラザII,-,不明の為情報お待ちしております
ラ チッチャ,茨城県つくば市小野崎433-1 ,-,0298-28-7071
ヴォーノ・イタリア つくば学園店,茨城県つくば市二の宮2-1-1 ,-,-
麺や 小五郎,茨城県つくば市桜1-12-1 ,-,不明の為情報お待ちしております
旅人カフェ トイ ボックス（旅人cafe TOY BOX）,茨城県桜川市真壁町真壁152-3 ,-,029-648-7111
筑波国際カントリークラブ　レストラン,茨城県つくば市平沢1257 ,-,029-867-1731
ChuChu Cafe（チュチュ カフェ）,茨城県つくば市二の宮2-5-36 ,-,029-850-0575
スターバックス・コーヒー トナリエキュート つくば店,茨城県つくば市吾妻1-6-1 トナリエキュート 2F,-,-
肉蕎麦 究,茨城県つくば市館野101-2 ,-,-
赤から つくば研究学園店,茨城県つくば市研究学園5-15-6 ,-,029-875-8448
バケット イーアスつくば店,茨城県つくば市研究学園C50街区1 イーアスつくば 1F,-,-
安楽亭 つくば店,茨城県つくば市赤塚705-4 ,-,029-836-4129
特級中華蕎麦 洋介,茨城県つくば市上横場244-1 ,-,-
特級中華蕎麦 洋介 2号店,茨城県つくば市天久保2-3-1 ホソダビル,-,-
つけめん まぜそば むじゃき,茨城県つくば市天久保2-10-19 ,-,-
PATISSERIE  ＭＡＧＮＯＬＩＡ（パティスリー　マグノリア）,茨城県つくば市竹園2-13-3 オリゾンテ　101,-,029-858-5788
ミルフルール（Mille Fleur）,茨城県つくば市栗原3893-1 ,-,029-863-5006
フレスタプラス＠あらの珈琲,茨城県つくば市並木4-4-2 並木ショッピングセンター 105,-,029-879-5856
岩瀬桜川ゴルフクラブ,茨城県桜川市門毛2150 岩瀬桜川ゴルフクラブ内,-,0296-75-5511
スターバックス・コーヒー 筑波大学中央図書館店,茨城県つくば市天王台1-1-1 ,-,029-860-3131
紅虎餃子房 イオンモールつくば,茨城県つくば市稲岡66-1 イオンモールつくば 1F,-,-
ラ ボーロ（LA VORO）,茨城県つくば市学園の森1-37-2 プローバ 1F,-,029-875-8345
ファイヤービーフ,茨城県つくば市東光台1-7-14 ,-,029-886-9552
丸長（まるちょう）,茨城県つくば市春日4-12-3 ,-,-
お食事処 満福,茨城県つくば市作谷764-2 ,-,029-869-0547
クジラ食堂,茨城県つくば市天久保1-5-4 くいだおれビル 1F,-,-
四季彩（しきさい）,茨城県つくば市古来1385-5 ,-,029-857-8711
BAKERY125（ベーカリーイチニーゴー）,茨城県つくば市北条5047-2 ,-,-
特製飯屋 Highway（ハイウェイ）,茨城県つくば市天久保2-9-2 リッチモンド2番街,-,0298-11-6768
アオイオト（WithGarden French Cafe 'aoioto'）,茨城県つくば市研究学園5-19 イーアスつくば アウトモール,-,070-8995-3657
鳥吉 谷田部店,茨城県つくば市上横場2011-19 ,-,029-838-1827
蓮屋権左衛門,茨城県つくば市吾妻1-5-7 ダイワロイネットホテル つくば1F,-,029-811-6010
えん弥,茨城県つくば市桜1-13-7 ,-,029-857-1618
とんかつ笹,茨城県つくば市真瀬1512-44 ,-,029-837-1435
めしや益さん,茨城県つくば市天久保3-14-11 ,-,029-897-3105
サザコーヒー つくば駅前店（SAZA COFFEE）,茨城県つくば市吾妻1-8-10-17 BiVi 1F,-,-
焼肉トラジ つくば店,茨城県つくば市吾妻1-6-1 トナリエつくばスクエア Q’t 3F,-,029-860-2929
くしやバル えちぜん 研究学園,茨城県つくば市研究学園5-14-10 ,-,不明の為情報お待ちしております
かつ花,茨城県つくば市松代1-18-5 ,-,029-852-3929
めをと茶屋,茨城県つくば市筑波 ,-,-
パエリアダイニング ポコ・ロコ（Paella Dinning Poco Loco）,茨城県つくば市竹園1-9-2 デイズタウン 1Ｆ,-,029-893-5558
鳥吉 研究学園店,茨城県つくば市苅間1223 研究学園D12街区6D12-107,-,029-855-7858
ＢＡＲ ＵＮＩＴＥＤ（ユナイテッド）,茨城県つくば市竹園2-8-6 つくしビル 2Ｆ,-,029-858-6611
そば おがわ,茨城県つくば市館野473-1 ,-,050-3749-2712
すぎのや本陣 牛久インター店,茨城県つくば市西大井字池向1693-3 ,-,029-870-2666
李厨房  小野崎店,茨城県つくば市小野崎308-15 ,-,029-851-1413
串焼やどりや,茨城県つくば市竹園3-18-2 竹園ショッピングセンター内,-,029-858-9489
バンザイ ナポリタン（Banzai naporitan）,茨城県つくば市桜3-8-4 アグレアーブル 1F,-,029-896-3394
Maru（マル）,茨城県つくば市大角豆2012-811 ,-,029-852-7878
いやどうも,茨城県つくば市野畑786-3 ,-,029-847-7270
コマ展望台レストラン,茨城県つくば市筑波1 ,-,-
トラットリア セレーノ（TRATTORIA sereno）,茨城県つくば市倉掛1034-1 ,-,029-819-1239
ミスタードーナツ トナリエキュートショップ（mister Donut）,茨城県つくば市吾妻1-6-1 トナリエ つくばスクエア tonarie Q't 1F,-,029-850-3211
シャフラン,茨城県つくば市上横場2174 ,-,029-836-4935
アイニーズ（Ainey's）,茨城県つくば市研究学園7-43-3 ピュアグレイン1F,-,029-886-3137
イタリアン カフェレストラン アペティート（Appetite【旧店名】WINDS GARDEN）,茨城県つくば市松代1丁目3-6 ,-,029-859-5757
べんべら庵,茨城県桜川市真壁町源法寺636-2 ,-,-
かつ善（かつぜん）,茨城県つくば市東新井2-2 ,-,029-851-2874
ゆきむら亭 岩瀬店,茨城県桜川市青柳433 ,-,0296-76-5789
さつき食堂,茨城県桜川市真壁町田49-1 ,-,0296-55-1821
ピジョンポスト（Pigeon Post）,茨城県つくば市研究学園2-7-4 ,-,029-858-0013
星乃珈琲店 つくば店,茨城県つくば市西大橋748-2 ,-,-
虹縁（こより）,茨城県つくば市上野702-5 ,-,不明の為情報お待ちしております
田上売店,茨城県つくば市筑波1 筑波山山頂,-,不明の為情報お待ちしております
大地食堂 イーアスつくば店,茨城県つくば市研究学園C50街区 イーアスつくば 3F,-,-
鴨亭（かもてい）,茨城県桜川市真壁町椎尾2527 ,-,0296-54-1122
ヤタベ コーヒー（YATABE COFFEE）,茨城県つくば市谷田部2417-45 ,-,-
すき家 つくば上横場店,茨城県つくば市上横場2289-3 ,-,非公開
ウッディーキャロット アンド モモコハウス（WOODY CARROT＆Momoko house ）,茨城県つくば市谷田部2774-1 ,-,029-836-9370
鎌倉パスタ  イーアスつくば店（カマクラパスタ）,茨城県つくば市研究学園C50街区1 イーアスつくば インモール 1F,-,029-868-7328
つくばの湯（【旧店名】つくば湯）,茨城県つくば市筑波64-9 ,-,029-866-2983
ステーキ食堂 肉の番人,茨城県つくば市筑穂1-1-13 ,-,-
クーロンヌつくば（CouronneTSUKUBA）,茨城県つくば市松野木字中山152-40 ,-,029-860-2636
鮨司 吉竹,茨城県つくば市竹園3-18-2 竹園ショッピングセンター1F,-,029-852-2727
まこと食堂,茨城県つくば市上広岡482-7 ,-,-
珍来 茎崎店,茨城県つくば市大井1609-17 ,-,-
地中海のごはんとおやつ サカナ（Sakhana）,茨城県つくば市上郷2761-3 ,-,070-4441-7454
ハートランド,茨城県つくば市島名3584-11 ,-,0298-75-4775
からあげ専門店 たまちゃん,茨城県つくば市桜3-10-1101 ,-,029-896-6269
蛇の目寿司,茨城県つくば市天久保3-15-1 ヤマサビル,-,029-851-9555
スターバックス・コーヒー イーアスつくば店,茨城県つくば市研究学園C50街区1 イーアスつくば,-,-
珈琲Chip in（コーヒーチップイン）,茨城県つくば市研究学園5-2-7 OSテナント 2F,-,不明の為情報お待ちしております
松のや つくば東大通り店,茨城県つくば市天久保4-6-8 ,-,-
ジャーナルカフェ（JOURNAL CAFE）,茨城県つくば市今鹿島4869-1 ,-,029-896-6842
ラグー（Ragout）,茨城県桜川市上野原地新田204-3 ,-,0296-76-2226
珈琲屋　かたみ,茨城県つくばみらい市台665 ,-,0297-52-3963
ほしまるカフェ,茨城県つくば市吾妻2-9 ,-,-
魔法のパんプキン（マホウノパンプキン）,茨城県つくば市上ノ室455-1 ,-,0298-57-6331
TABLE（ターブル）,茨城県つくば市千現2-1-6 つくば研究支援センター,-,029-855-8088
Boulangerie nico,茨城県つくば市松代2-16 ,-,029-828-5780
天丼屋 ふくすけ（てんどんや ふくすけ）,茨城県つくば市柴崎1050-1 ,-,-
天下一品 つくば店,茨城県つくば市小野崎281-1 ,-,-
カフェ・ポステン,茨城県つくば市北条183 ,-,-
トラットリア エ ピッツェリア アミーチ（TRATTORIA E PIZZERIA AMICI）,茨城県つくば市手代木286-1 ,-,029-852-5885
MATSUSHIROBURGER and CAFE（マツシロバーガー アンド カフェ）,茨城県つくば市松代4-200-1 松代ショッピングセンター,-,-
あづまや,茨城県つくば市西高野876 ,-,029-865-0159
クラレット,茨城県つくば市天久保3丁目10-8 ,-,029-852-0425
コート・ダジュール イオンつくば店,茨城県つくば市稲岡66-1 イオンモールつくば 1F,-,029-839-1270
地鶏と酒肴　音音（ネネ）,茨城県つくば市二の宮1-1-10 101,-,029-852-3187
北京老飯店 本店,茨城県つくば市研究学園5-13-8 アドヴァンスつくばテナント 101,-,-
呑み喰い処 くぼ家,茨城県つくば市松代2-7-1 ,-,-
あじ彩,茨城県つくば市天久保2-9-2 リッチモンド2番街A 1F,-,029-852-0050
サンマルクカフェ  イーアスつくばショッピングセンター店,茨城県つくば市研究学園C50街区1 イーアスつくば 3F,-,-
海鮮居酒屋 豊しん（カイセンイザカヤ トヨシン）,茨城県つくば市天久保2-2-4 サンライズビル 1F,-,029-852-6639
食事処おきた,茨城県つくば市酒丸50 ,-,029-847-3160
三笠（ミカサ）,茨城県桜川市本木1 ,-,0296-54-5009
COFFEE HOUSE とむとむ つくば店（コーヒーハウス トムトム）,茨城県つくば市高野台2-9-8 ,-,029-839-1206
麺屋 たかはし,茨城県つくば市二の宮1-1-10-105 ,-,-
らぁめん 喜乃壺（きのこ）,茨城県つくば市稲岡728-13 ,-,-
北京老飯店 みどりの店,茨城県つくば市みどりの中央11-3 ウィングマルシェみどりの 1F,-,029-897-3981
本格中華・薬膳火鍋 源（MINAMOTO）,茨城県つくば市研究学園4-2-14 エビスタウン 2F,-,080-7090-3663
金沢カレー研究所 つくば店,茨城県つくば市研究学園5-15-6 ,-,029-875-8448
ばんどう太郎 みどりの店,茨城県つくば市上萱丸343-1 ,-,029-846-1761
台北大飯店,茨城県つくば市天久保1-1-6 天久保ショッピングセンター内,-,029-851-5878
一喜,茨城県桜川市真壁町古城240-2 ,-,0296-55-3737
お好み焼 鉄板焼 ひだか,茨城県つくば市二の宮2-2-22 ,-,070-9086-1141
大衆おでん・やきとり 酒場はなび,茨城県つくば市竹園1-9-2 デイズタウンつくば B1F,-,029-875-6690
寿司処やぐら 本店（ヤグラ）,茨城県つくば市竹園1-8-8 ,-,029-852-6222
煮干中華ソバ イチカワ,茨城県つくば市天久保2-9-2 A101,-,-
ZEYO.（ぜよ）,茨城県つくば市天久保2-6-1 ベストランドⅣ　１Ｆ,-,029-854-1778
はりけんラーメン 本店,茨城県つくば市栗原2857-8 ,-,-
レストセンター筑波館,茨城県つくば市筑波723 ,-,029-866-0019
Twin Peaks Mountain Brewing（ツインピークス マウンテン ブリューイング）,茨城県つくば市東新井18-8 ,-,029-828-8577
そば処 砂武縞,茨城県つくば市柴崎771-1 ,-,029-857-3488
ラーメン屋　壱番亭 つくば店,茨城県つくば市上横場2162-4 ,-,-
らんぷ,茨城県つくば市天久保3-10-17 ,-,029-851-4812
丸忠,茨城県つくば市神郡367 ,-,029-867-0581
筑前,茨城県つくば市上横場2573-43 ,-,029-838-2077
プラスワンカフェガーデン（PLUS-1  CAFE  GARDEN）,茨城県つくば市桜3-15-3 ,-,029-857-3810
ビッグシェフ亭 つくば店,茨城県つくば市稲岡754-1 ,-,-
ホワイト餃子 つくば店,茨城県つくば市下平塚311-2 ,-,029-851-4049
とろりん茶房,茨城県つくば市小野崎303-13 ,-,-
ニュー高根,茨城県つくば市北条2293 ,-,029-867-2481
しゃぶしゃぶ・日本料理 木曽路 つくば店（キソジ）,茨城県つくば市小野崎92-5 ,-,029-858-3781
翁屋 つくば竹園店（おきなや）,茨城県つくば市竹園2-14-1 グランデュール竹園　１Ｆ,-,029-855-4300
興ちゃん亭（コウチャンテイ）,茨城県桜川市富士見台1-18 ,-,0296-75-2900
沼田屋 本店,茨城県つくば市沼田1400 ,-,029-866-0036
東京純豆腐 イーアスつくば店（トウキョウスンドゥブ）,茨城県つくば市研究学園C50街区1 イーアスつくば 1F,-,029-893-2315
居酒屋 壽家（コトブキヤ）,茨城県つくば市研究学園5-15-2 1F,-,029-875-5101
cafe&Dine つくば並木店（カフェアンドダイン）,茨城県つくば市並木4-3-2 ブランデつくば並木店,-,029-875-5232
らーめん ICHI（一）,茨城県つくば市天久保1-6-15 ,-,-
松屋 つくば西大通り店,茨城県つくば市春日4丁目1-5 ,-,080-5928-0951
みつお万寿 つくば松代店,茨城県つくば市松代1-16-1 102,-,-
肉八や,茨城県つくば市館野5-1 ,-,029-856-2989
担担麺ロシュー,茨城県つくば市天久保2-10-3 ,-,-
サンマルクカフェ イオンモールつくば店（ST-MARC CAFE）,茨城県つくば市稲岡66-1 ,-,-
花まさ 松代店,茨城県つくば市松代2-14-4 つくばセントラルホテル 1F,-,不明の為情報お待ちしております
築地 銀だこ つくば谷田部ドライブイン店,茨城県つくば市台町2-2-14 ,-,-
木の家（kinoya）,茨城県つくば市神郡364-1 ,-,029-846-3346
割烹たから,茨城県つくば市沼田1022-3 ,-,029-867-3361
ペンギン,茨城県桜川市真壁町塙世560-1 ,-,0296-54-1193
ガスト つくばテクノパ－ク桜店,茨城県つくば市桜1-12-4 ,-,029-863-0255
かね喜廻鮮寿司 つくば梅園店,茨城県つくば市稲荷前13-7 ,-,029-850-5511
エヌズ カフェ（N's cafe）,茨城県つくば市天久保3-13-3 ,-,029-846-2007
Rocket Base（ロケット ベース）,茨城県つくば市吾妻2-9 つくばエキスポセンター,-,不明の為情報お待ちしております
魚丼屋 トナリエキュートつくば店,茨城県つくば市吾妻1-6-1 トナリエ・キュート 1F,-,-
花むろ,茨城県つくば市花室578-5 ,-,029-875-6318
常陸,茨城県つくば市上原300-2 ,-,029-838-2787
カフェ ブーランジェリー タケゾノ つくば竹園店（Café Boulangerie Takezono）,茨城県つくば市竹園1-13-2 デュオヒルズつくばセンチュリー敷地内,-,029-846-5780
豚飯坊屋,茨城県つくば市天久保2-6-26 ,-,-
サーティワンアイスクリーム イーアスつくば店,茨城県つくば市研究学園5-19 3F,-,029-893-3231
百香亭 本店（ヒャッコウテイ）,茨城県つくば市東平塚894-1 ,-,029-852-8166
仁寺洞（インサドン）,茨城県つくば市天久保1-1-6 ,-,029-856-2234
魚べい つくばみどりの店,茨城県つくば市みどりの2-39-2 ,-,-
ラーメン北川,茨城県つくば市谷田部204-1 ,-,-
中華そば ひしお,茨城県つくば市北中島359-1 ,-,-
ニューヨーク ステーキハウス（NEWYORK STEAKHOUSE）,茨城県つくば市吾妻1-6-1 ,-,-
小菊,茨城県つくば市竹園2-11-12 ,-,029-852-3158
カフェ ポエティカ（cafe poetica）,茨城県つくば市栗原5157-1 ,-,029-898-9534
中華料理 中華第一麺,茨城県つくば市天久保2-6-26 1F,-,不明の為情報お待ちしております
いいだ,茨城県つくば市北条3844-3 ,-,-
自家製麺 名無し,茨城県つくば市北条4093 ,-,-
花水木　本店,茨城県つくば市二の宮4-14-4 ,-,029-856-5575
いばらき地酒バー つくば（IBARAKI JIZAKE BAR）,茨城県つくば市吾妻2-128 ,-,-
