店名,住所,電話番号,予約・お問い合わせ
なかまや,群馬県高崎市新紺屋町26 1F,027-377-3204,050-5869-6503
SALLY TABLE（サリィ テーブル）,群馬県高崎市上中居町1542-1 ,027-350-7684,050-5570-8502
asiana茶廊,群馬県高崎市浜尻町222-6 ,027-364-2836,050-5595-6020
備長扇屋 高崎上中居店,群馬県高崎市上中居町字前屋敷770-4 ,027-330-3301,050-5600-2840
牛角 高崎問屋町店,群馬県高崎市問屋町2-3-4 ,027-370-8929,050-5596-0602
海鮮市場 からっ風,群馬県高崎市八島町263 セントラルホテル高崎 1F,027-326-3439,050-5595-7848
やきとりの扇屋 群馬町店,群馬県高崎市棟高町83-5 ,027-350-3515,050-5600-3366
プロント 高崎モントレー店（PRONTO）,群馬県高崎市八島町222 高崎モントレー コンコース,027-386-9505,050-5594-4845
小料理 寿美（スミ）,群馬県高崎市問屋町西1-9-4 TCOMFORT 1F,027-388-0731,050-5595-1334
レストランエキリーブレ,群馬県高崎市栄町2-18 ,027-386-6452,050-5596-2057
焼肉酒家 てっしん。 高崎本店,群馬県高崎市あら町65 ,027-386-8629,050-5570-7821
焼肉 伽倻の家 高崎店（カヤノイエ）,群馬県高崎市上大類町750 ,027-352-7155,050-5595-0873
しゃぶしゃぶ金光,群馬県高崎市栄町1-1 LABI1 LIFE SELECT高崎 5F,027-323-4129,050-5595-3723
炙りや 笑多 高崎駅前店（ショウタ）,群馬県高崎市八島町29-9 TWINS OKUI 2F,027-388-0033,050-5596-2060
LA UEHARA ITALICO（ラ ウエハラ イタリコ）,群馬県高崎市南大類町996-1 ,027-381-6339,050-5594-2899
新時代 高崎駅前店,群馬県高崎市連雀町134 サファリビル 1F,027-388-8562,050-5596-2059
海鮮 イタリアンバル ルチアーノ,群馬県高崎市通町43 ウィズスクエア 2F,027-381-5930,050-5594-8596
SHOGUN BURGER TAKASAKI（ショーグン バーガー）,群馬県高崎市緑町4-2-4 ,-,-
euro dining claret（ユーロダイニングクラレット）,群馬県高崎市旭町33 NODE-33-101,027-386-9775,050-5869-2529
バル レオン（BAR LEON ）,群馬県高崎市連雀町138 ＦＡＣＥ-Ｒビル 1F,027-327-0086,050-5590-6070
わぎゅう専科 焼肉屋,群馬県高崎市栄町1-1 ヤマダ電機 5F,027-386-2942,050-5593-6731
陳麻家 高崎駅西口店,群馬県高崎市八島町222 高崎駅ビル 1Ｆ,027-321-9970,050-5592-7088
Chee's cafe dining（チーズ カフェ ダイニング）,群馬県高崎市箕郷町下芝531-4 ,027-395-0029,050-5593-7226
さわ,群馬県高崎市八島町265 イノウエビル B1F,027-327-1738,050-5890-7117
弥助鮨 本町店,群馬県高崎市本町103 ,027-326-3633,050-5590-1205
目利きの銀次 高崎西口駅前店,群馬県高崎市鶴見町3-1 西口サウスパークビル 1F,027-321-8988,050-5872-5490
炭火焼肉 千味庭（senmitei）,群馬県高崎市下小鳥町67-14 ,027-365-2626,050-5593-0240
魚民 高崎西口駅前店,群馬県高崎市鶴見町3-1 西口サウスパークビル　１Ｆ,027-321-8788,050-5600-2942
酒ト肴・〆うどん あかり,群馬県高崎市栄町19-17 ,027-326-6100,050-5457-8940
旬鮮魚菜 くじら,群馬県高崎市東貝沢町4-4-13 ,027-370-5800,050-5596-2055
串揚げ きりん,群馬県高崎市連雀町122 連雀町店舗ビル 2F,080-2933-9151,050-5456-0282
カフェレスト（Ｃａｆｅｒｅｓｔｏ）,群馬県高崎市栄町1-1 LABI1 LIFE SELECT高崎 5F,027-321-0333,050-5595-3725
Different World R 肉バル（ディファレント ワールド アールニクバル）,群馬県高崎市鞘町59-2 セントラル高崎 1F,070-9092-3577,050-5600-4941
ホルモンオールスターズ（【旧店名】ユウ ザ ホルモン）,群馬県高崎市上大類町718-4 ,-,027-395-4129
焼肉トラジ 高崎店,群馬県高崎市八島町46-1 高崎オーパ 8F,027-310-2929,050-5872-5235
レストランいしだ,群馬県高崎市八千代町1-12-5 仲沢ビル 2F,027-323-5040,050-5590-9768
焼肉食べ放題 俺の店 高崎西口駅前店,群馬県高崎市鶴見町3-1 西口サウスパークビル 1F,027-321-7588,050-5600-3621
PERFECT BEER KITCHEN 高崎店（パーフェクト ビア キッチン）,群馬県高崎市旭町37-6 アーキビル 2F,-,050-8892-9980
香ノ酉 -KOUNOTORI-（コウノトリ）,群馬県高崎市江木町566-5 ,027-381-8850,050-5590-3845
全席完全個室 鶏と海鮮居酒屋 九州 鶏うお 高崎店,群馬県高崎市八島町58-1 ウエストワンビル B1F,027-310-1550,050-5595-1341
ほでり,群馬県高崎市栄町19-17 ,027-326-6000,050-5868-5347
野菜肉捲き串 葉伽梵 高崎本店（ばかぼん）,群馬県高崎市連雀町4-3 ,027-322-2115,050-5589-3694
きべなん,群馬県高崎市栄町26-25 関口ビル 1F,090-6902-1004,050-5594-2896
オイスターハウス（OYSTER HOUSE）,群馬県高崎市通町42 八幡ビル 1F,027-386-6603,050-5890-2814
高崎手ぶらBBQ ザ・テラス,群馬県高崎市鞘町13 ,080-4476-7214,050-5456-3060
ビアバー ベアー（BEER BAR BEAR）,群馬県高崎市八島町29  TWINSビル 2F,027-381-6864,050-5592-7368
ファン・ダルクオーレ（FAN×DALCUORE）,群馬県高崎市竜見町10-8 ,027-328-1212,050-5872-8096
燻製バル ブライアン,群馬県高崎市嘉多町40 ハットリビル 1F,027-384-4645,050-5594-9618
Missa Marina produced by SORRISO（ミッサ マリーナ プロデュース バイ ソリッソ【旧店名】ミッサマリーナ）,群馬県高崎市上並榎町320-4 ,027-395-0778,050-5595-1332
Shrimp Bar 海老寿（シュリンプ バー エビス）,群馬県高崎市通町140-14 のら猫ビル 1F,027-386-8004,050-5593-4648
マンゴリアン,群馬県高崎市八島町70-49 ラ・メルセ１F,027-395-4056,050-5600-6302
高崎 甲羅本店,群馬県高崎市問屋町西1-11-10 ,027-364-0091,050-5456-0676
がってん食堂 大島屋 高崎緑町店,群馬県高崎市緑町4-8-6 ,027-388-8998,050-5589-6446
Beef Laboratory,群馬県高崎市飯塚町381-1 ,027-384-3629,050-5869-9895
廣新米穀 高崎駅前店（【旧店名】京都 銀ゆば）,群馬県高崎市八島町232-8 アパホテル高崎駅前 3F,027-310-6681,050-5589-9597
Chicken Dining owl 高崎総本店（チキン ダイニング アウル）,群馬県高崎市通町42 八幡ビル 2F,027-384-4940,050-5592-7370
韓国キッチン ヨギヨポチャ 高崎店,群馬県高崎市八島町29-9 TWINS OKUI 1F,027-386-6022,-
美加和,群馬県佐波郡玉村町角渕5113 ,-,0270-64-1182
上州濃厚激辛うどん 麺蔵,群馬県高崎市栄町2-3 ,-,027-327-9188
ロッテリア 高崎ウニクス店,群馬県高崎市飯塚町1150-5 ,-,0120-070-612
ガスト 群馬新町店,群馬県高崎市新町2432-1-1 ,-,-
石うす,群馬県高崎市根小屋町434-2 ,-,027-346-6240
麺工房　菜の花,群馬県高崎市下小鳥町173-1 ,-,-
薄利多賣半兵ヱ 高崎駅前店,群馬県高崎市八島町110-6 ,-,027-310-5008
メゾン・ド・ジルコ（Maison de Jillco）,群馬県高崎市通町2-3 安藤ビル 1F,-,027-329-6444
サイゼリヤ 高崎高関店,群馬県高崎市高関町372 ,-,027-321-2105
丸直,群馬県高崎市新町587-1 ,-,0274-42-0956
鉄板焼 龍見泰正,群馬県高崎市羅漢町18-1 チェルキオ羅漢 1F,-,070-2810-1684
ダンニャバード（【旧店名】アシィルバード）,群馬県高崎市冷水町186-1 ,-,027-372-8180
Bar Keizo（バー ケイゾウ）,群馬県高崎市嘉多町23-1-2 ,-,027-341-6549
ミニワン イーサイト高崎店（MiniOne）,群馬県高崎市八島町222 イーサイト高崎 2F,-,027-393-6669
蔵之助,群馬県高崎市嘉多町43 ,-,027-327-3988
ハノイクアン（Hà Nội Quán）,群馬県高崎市飯塚町1398-2 ,-,不明の為情報お待ちしております
三杉屋,群馬県高崎市榛名山町177-1 ,-,-
素敵亭（ステキテイ）,群馬県高崎市緑町3-9-2 ,-,027-363-3949
菜の花,群馬県高崎市倉渕町三ノ倉1588-1 ,-,027-378-2624
とり鶴,群馬県高崎市鶴見町5-11 ,-,027-322-1050
シンキチ醸造所,群馬県高崎市若松町2-11 ,-,080-6629-2017
冷めんの店 たかひ 高関店,群馬県高崎市高関町407 ,-,-
高崎 芸術野菜とイタリアンピッツァ マーロ,群馬県高崎市中泉町123-2 ,-,027-384-2099
ガスト 高崎店,群馬県高崎市飯塚町32-1 ,-,027-360-3037
横浜家系ラーメン 矢中家,群馬県高崎市矢中町2-1 ,-,-
からゐ屋（カライヤ）,群馬県高崎市下小鳥町67-5 ,-,-
辛麺屋 桝元 高崎インター店,群馬県高崎市島野町976-1 ,-,-
料亭 暢神荘（ちょうじんそう）,群馬県高崎市椿町33 ,-,027-322-4511
自家製ラーメン大者（DAIJA）,群馬県高崎市貝沢町1282-1 ,-,-
丸亀製麺 イーサイト高崎店,群馬県高崎市八島町222 イーサイト高崎 1F,-,-
ステーキ宮 高崎東店,群馬県高崎市上大類町884-1 ,-,-
そば処馬車屋,群馬県高崎市京目町48-3 ,-,-
和ダイニング だんべ。,群馬県高崎市八島町62 松栄堂ビル　１F,-,027-386-3585
大和屋 高崎本店,群馬県高崎市筑縄町66-22 ,-,027-362-5911
珈琲館 高崎小鳥町店（コーヒーカン）,群馬県高崎市下小鳥町453-1 ,-,027-363-5351
田舎うどん吾作,群馬県高崎市中泉町66-2 ,-,-
とり弁鶏 前橋川曲店,群馬県前橋市川曲町208-1 ,-,027-212-7117
ビストロクー（Bistro　Queux）,群馬県高崎市中居町1-7-5 ,-,027-333-5690
GARDEN PARTY cafe + kitchen（ガーデンパーティー）,群馬県高崎市栄町15-15 NOAビル 1F,027-329-6755,050-5594-2677
イタリアン バール ラ ファミーリア（Italian Bar La Famiglia）,群馬県高崎市八島町58-1 高崎ウエストワンビル 2F,-,027-381-6600
六曜館,群馬県高崎市南大類町1045-3 ,-,027-352-1001
そば盛,群馬県高崎市金古町1348 ,-,027-373-7353
藤岡ゴルフクラブ レストラン,群馬県藤岡市白石2925 ,-,-
cafe あすなろ（カフェアスナロ）,群馬県高崎市鞘町73 ,-,027-384-2386
小塙,群馬県高崎市上小鳥町525 ,-,不明の為情報お待ちしております
エッグチキン（フレンチ食堂エッグチキン）,群馬県高崎市宮元町25 ,-,090-3247-1315
バリエ,群馬県高崎市元島名町519-5 ,-,027-352-4312
遊楽亭,群馬県高崎市八島町222 高崎モントレー 5F,-,027-310-2941
ラ ラ スウィーツ（La La Sweets）,群馬県高崎市飯塚町382 ,-,027-362-9966
和食処 板さんち,群馬県高崎市箕郷町上芝389-7 ,-,027-371-5856
ニパー,群馬県高崎市成田町2-39 ,-,027-384-2286
ココス 高崎店（COCO’S）,群馬県高崎市請池町11-62 ,-,027-320-1533
高崎パスタ専門店 パスタール（PASTAR）,群馬県高崎市中泉町609-1 ,-,027-372-8456
魚べい 高崎問屋町店,群馬県高崎市問屋町2-11-4 ,-,-
中華料理　同源 高崎店,群馬県高崎市浜尻町206-4 ,-,027-364-5177
麺処 めの娘 高崎問屋町店（メンドコロ メノコ）,群馬県高崎市問屋町1丁目11-32 ,-,-
やきとり処杉菜,群馬県高崎市羅漢町32 ,-,027-328-2622
サーティワンアイスクリーム イオンモール高崎店,群馬県高崎市棟高町1400 イオンモール高崎 1F,-,027-310-9068
雨云（あうん）,群馬県高崎市栄町12-8 田村店舗 1F,-,027-388-9890
ドンレミーアウトレット 高崎店（Domremy Outlet）,群馬県高崎市東町5 ココパルク800 １Ｆ,-,-
ハンプティーダンプティー 高崎上中居店（HUMPTY DUMPTY）,群馬県高崎市上中居町400-1 ,-,027-326-1985
酉番,群馬県高崎市あら町223 ,-,027-327-1977
日本茶喫茶・蔵のギャラリー 棗（なつめ）,群馬県高崎市檜物町13 ,-,027-326-1167
丸駒製麺,群馬県安中市板鼻67-1 ,-,-
麺処 風人,群馬県高崎市貝沢町741 新井ビル 1F,-,-
鮨　松もと,群馬県高崎市本町30-1 ,-,027-395-0995
トラットリア・バンビーナ 筑縄店（Trattoria bambina）,群馬県高崎市筑縄町13-8 ,-,-
Dining SALUTE（ダイニング サルーテ）,群馬県高崎市岩押町12-13 ,-,027-384-4138
がってん寿司 高崎上大類店（がってんずし）,群馬県高崎市上大類町776 ,-,-
MANIACTION（マニアクション）,群馬県高崎市新町1435-11 ,-,0274-50-9389
菊寿司,群馬県高崎市上豊岡町295 ,-,027-323-9466
そば三昧 高崎店,群馬県高崎市栄町1-1 LABI1高崎 5F,-,027-322-8008
生そば あずま 高崎店,群馬県高崎市下小鳥町67-9 ,-,-
コメダ珈琲店 イオンモール高崎店,群馬県高崎市棟高町1400 イオンモール高崎 1F,-,-
たこ顔 江木店（タコズラ）,群馬県高崎市江木町986 ,-,027-388-8981
すき家 高崎緑町店,群馬県高崎市緑町1-29-9 ,-,非公開
ホワイトイン高崎,群馬県高崎市赤坂町94 ,-,027-325-5858
プチ・ボヌール（Petit　Bonheur）,群馬県高崎市中居町4-1-1 YOUビル 1F,-,027-381-5616
鮨 おかだ,群馬県高崎市大橋町251-1 ,-,027-325-0084
居酒屋 とと炉,群馬県高崎市砂賀町32-3 サニービル 1F,-,027-384-3559
ドゥミール（Du Meal）,群馬県高崎市中大類町407-7 ,-,027-335-6129
ハイファイブ（HIGH FIVE）,群馬県高崎市塚田町212-1 ,-,027-373-7337
ブレッドファクトリー,群馬県高崎市八島町46-1 高崎オーパ 1F,-,-
都○（TOMARU）,群馬県高崎市上大類町904-2 ,-,027-395-0162
モスバーガー 群馬町店,群馬県高崎市菅谷町1243-14 ,-,027-373-7727
台湾料理　長楽 高崎店,群馬県高崎市並榎町56-9 ,-,027-364-5085
チャイナはうす・龍,群馬県高崎市石原町3316 ,-,027-326-2528
焼肉あらじん,群馬県高崎市嘉多町32 ,-,027-324-5654
我流 与志田,群馬県高崎市あら町6-1 1F,-,027-387-0125
快庵,群馬県高崎市上滝町499-3 ,-,-
久華,群馬県高崎市石原町543-5 ,-,027-323-3852
東京油組総本店 高崎組,群馬県高崎市浜尻町1175 ,-,-
ワッフル専門店 レスト,群馬県高崎市井野町178-16 ,-,027-381-5905
骨付き鳥 あゆちゃん,群馬県高崎市宮元町205 ザウルスワンビル,-,027-328-1717
ディッソルートクッチーナ（Dissoluto CUCINA）,群馬県高崎市田町106-5 ,-,027-384-6070
ホルモン大学 高崎店,群馬県高崎市砂賀町47 ,-,027-345-8787
りんご畑（Apple Field）,群馬県藤岡市上戸塚99-15 ,-,0274-22-8199
環七ラーメン 周麺（しゅうめん）,群馬県高崎市鞘町35-1 ,-,-
鞘町酒場 頂喜（【旧店名】海旬酒場 頂喜）,群馬県高崎市鞘町20-1 ,-,080-7361-1221
むぎなわ,群馬県高崎市片岡町3-2-3 ,-,027-325-5156
杉乃家,群馬県富岡市七日市480-2 ,-,0274-62-1734
創作中華料理 名采,群馬県高崎市八島町46-1 高崎オーパ 8F,-,027-388-8171
醸しや 大澤（カモシヤ オオサワ）,群馬県高崎市棟高町1184-2 ,-,027-373-2234
たこやき 凪,群馬県高崎市上大類町878-9 東側店舗,-,090-4369-8080
吉野家 高崎環状線上豊岡店,群馬県高崎市上豊岡町833-1 ,-,027-340-7223
甘楽亭,群馬県藤岡市藤岡1673-5 ,-,0274-22-0244
観音山 風車,群馬県高崎市石原町2211-4 ,-,027-322-7289
リッシュ,群馬県高崎市飯塚町1259-3 ,-,027-364-1400
群馬の台所（峠の釜めし本舗 おぎのや 群馬の台所）,群馬県高崎市八島町222 イーサイト高崎 2F,-,027-329-5656
IRUKA 高崎店（海豚）,群馬県高崎市飯塚町742-1 ,-,-
魚辰（うおたつ）,群馬県高崎市住吉町1 ,-,027-327-0474
おおぎやラーメン 高崎上豊岡店,群馬県高崎市上豊岡町288 ,-,-
PIZZA MUHU（ピッツァ ムフ）,群馬県高崎市上大類町718 ,-,080-5208-6262
たこ顔 高崎店,群馬県高崎市飯塚町32-1 ,-,027-364-8824
やはたや,群馬県高崎市山名町178-3 ,-,027-347-4711
農園レストラン Nofu（ノーフ）,群馬県高崎市柴崎町1642-2 ,-,027-335-8207
レストラン ラ・コンテ,群馬県高崎市飯塚町800 ヴィラ・デ・マリアージュ高崎,-,027-365-4122
マクドナルド 高崎モントレー店,群馬県高崎市八島町222 高崎モントレー 1F,-,-
サイゼリヤ LABI1高崎店,群馬県高崎市栄町1-1 ヤマダ電機LABI1高崎 5F,-,027-330-1501
弥助鮨 高崎 四ツ屋店（ヤスケズシ）,群馬県高崎市四ツ屋町14-1 ,-,027-322-7771
たこ焼 べんてん 高崎本店,群馬県高崎市棟高町130-2 ,-,不明の為情報お待ちしております
彩月（さつき）,群馬県高崎市飯塚町367-4 ,-,-
焼肉きんぐ 高崎インター店,群馬県高崎市上大類町西宅地1010-2 ,-,027-350-1133
HANADAN CAFE（ハナダンカフェ）,群馬県前橋市川曲町20-6 ,-,027-212-8622
Trattoria Ume（トラットリア ウメ）,群馬県高崎市請地町19-1 ,-,027-395-0338
Bedford Market（ベッドフォードマーケット）,群馬県高崎市八島町222 高崎モントレー 5F レストラン街,-,027-386-6363
和食 神楽,群馬県高崎市本町114 ,-,027-386-2554
nano stand（ナノ スタンド）,群馬県高崎市大橋町37 ,-,027-381-6466
サン・フレッシュ 髙島屋高崎店（生ジューススタンド）,群馬県高崎市旭町45 高崎タカシマヤ B1F,-,-
洋食 ACERO（アチェロ）,群馬県高崎市下小鳥町61-4 ,-,027-386-3900
Di PUNTO  イーサイト高崎店（ディプント）,群馬県高崎市八島町222 イーサイト高崎 1F,-,027-387-0139
R Baker mini 高崎店（アールベイカーミニ）,群馬県高崎市金古町2377-1 ,-,-
シルクロード 石原店,群馬県高崎市石原町3220‐1 ,-,027-323-3821
小ざくら,群馬県高崎市通町4 ,-,027-325-9733
月白茶菓,群馬県高崎市並榎町147 ,-,不明の為情報お待ちしております
いっちょう 高崎問屋町店,群馬県高崎市飯塚町367-4 ,-,050-1808-7609
すき家 高崎上中居店,群馬県高崎市上中居町190-1 ,-,0120-498-007
パティスリー サンクトロワ（Patisserie Cinqtrois）,群馬県佐波郡玉村町大字角渕4338-1 ,-,0270-55-2477
ヤキニクガーデン 肉男（ヤキニクガーデン ミートマン）,群馬県高崎市飯塚町381-4 ,-,027-387-0209
中華酒場 龍翔（【旧店名】龍翔飯店）,群馬県高崎市緑町1-12-5 ,-,027-364-1288
ポンチ軒,群馬県高崎市栄町12-3 ,-,027-395-4548
まじヤバくない？,群馬県高崎市飯塚町487 ,-,027-381-8027
すき家 玉村上之手店,群馬県佐波郡玉村町大字上之手1628-2 ,-,非公開
ルリアン（Le*Lien）,群馬県高崎市栄町14-11 きむらビル1 1F,-,090-6949-4669
ココス 高崎中居店,群馬県高崎市中居町4-23-2 ,-,027-360-5622
和食料理 和ごころ いなほ,群馬県高崎市筑縄町10-23 ,-,027-384-2799
大黒屋 下小鳥店,群馬県高崎市下小鳥町460-3 ,-,-
萬家 矢中店,群馬県高崎市矢中町317-24 ,-,050-1726-0259
すかや 玉村支店,群馬県佐波郡玉村町板井832 ,-,-
ル・パン 観音山（Le Pain Kannonyama）,群馬県高崎市八千代町1-12-5 ,-,027-386-3488
福久郎 群馬いろは販売所（フクロウ）,群馬県高崎市八島町222 高崎駅 E'site高崎 2F,-,-
Cafe Capable（カフェ カパーブル）,群馬県高崎市下小鳥町92-4 ,-,027-363-6377
横浜らーめん田村家 高崎店,群馬県高崎市小八木町859-1 ,-,-
小田原屋（オダワラヤ）,群馬県高崎市あら町1-10 ,-,027-322-2540
さんびきのこぶた,群馬県藤岡市本動堂141-3 ,-,0274-24-2671
アベニュー（AVENUE）,群馬県高崎市田町86-3 ,-,027-327-3060
中華居酒屋らいち,群馬県高崎市上中居町369-3 ,-,027-388-0899
から好し 高崎江木店,群馬県高崎市江木町1681 ,-,027-310-5066
わさび,群馬県高崎市中紺屋町31 ,-,027-327-1101
栄鵬,群馬県高崎市中泉町127-4 ,-,-
かめや,群馬県高崎市若田町1-5 ,-,027-343-7151
はなまるうどん 高崎店,群馬県高崎市緑町4-2-3 ,-,-
キッチン ムロオカ,群馬県高崎市剣崎町847-5 ,-,027-368-0901
エルフリオ（el julio）,群馬県高崎市宮元町206番地 ,-,027-321-4785
スシロー 高崎飯塚店,群馬県高崎市飯塚町349 ,-,027-370-1066
スターバックスコーヒー 高崎上中居店（STARBUCKS COFFEE）,群馬県高崎市上中居町1379 ,-,-
Restaurant Cafe CARO 高崎高島屋店（レストラン カフェ カーロ）,群馬県高崎市旭町45 高崎タカシマヤ 6F,-,027-327-1111
WABI やまどり,群馬県高崎市東町3-5 ホテルココグラン高崎1階 1F,-,027-345-7377
スターバックスコーヒー イーサイト高崎店,群馬県高崎市八島町 222 E'site 高崎,-,-
佐平次,群馬県高崎市八島町19-25 ,-,0273-33-4809
すかや 鶴見支店,群馬県高崎市八島町93-1 ,-,027-323-1170
DEKO（デコ）,群馬県高崎市東貝沢町4-15-8 ,-,027-365-5639
らーめん ともや 玉村店,群馬県佐波郡玉村町角渕4357-18 ,-,-
The Red Lion Takasaki（ザ レッドライオン タカサキ）,群馬県高崎市通町33-2 ,-,027-325-1405
日本一,群馬県高崎市本町3-73 ,-,-
大恵鮨,群馬県高崎市倉賀野町407 ,-,027-346-3326
上州長屋酒房 一福,群馬県高崎市通町47 ,-,027-386-3356
笹や,群馬県高崎市九蔵町103 ,-,027-325-1659
遊彩食（ユウサイショク）,群馬県高崎市旭町45 高崎タカシマヤ 6F,-,027-328-0129
観音茶屋,群馬県高崎市石原町2709 ,-,-
冨士久食堂,群馬県高崎市中里見町121-2 ,-,027-374-0343
うどん 四方吉 高崎店（うどん　しほきち）,群馬県高崎市江木町1507 ,-,-
伝蔵 問屋町店（デンゾウ）,群馬県高崎市緑町4-2-2 ,-,027-386-8998
羅珈亜樹（らかあじゅ）,群馬県高崎市白銀町17 ,-,027-327-4401
味菜屋（あじさいや）,群馬県高崎市東貝沢町2-3-6 ,-,-
中華料理 成都,群馬県高崎市嘉多町45 ,-,027-381-6520
ナポリの食卓 高崎店,群馬県高崎市西国分町158-1 ,-,027-360-6344
アルカ ロカ（arca roca）,群馬県高崎市筑縄町10-24 ,-,027-384-4358
スイートガーデン 半熟屋 イーサイト高崎店（Sweet Garden HANJYUKU-YA）,群馬県高崎市八島町222 イーサイト高崎 2F,-,027-395-0350
酒悦 七（NANA）,群馬県高崎市通町66 ,-,027-327-0571
リトルライトコーヒー（Little Light Coffee）,群馬県高崎市上中居町418-1 ,-,080-1985-4324
ラーメン キングジョー,群馬県高崎市貝沢町1320-1 ,-,-
酒場 にのせん,群馬県高崎市寄合町48 ,-,0273-35-6167
スパゲッティー専科 はらっぱ 本店,群馬県高崎市上中居町1679-1 ,-,-
甘楽カントリークラブレストラン,群馬県甘楽郡甘楽町天引1955 ,-,0274-74-5151
めら蔵,群馬県高崎市八島町222 イーサイト高崎 2F,-,027-329-5656
くら田 燎（カガリビ）,群馬県高崎市通町51-1 ,-,027-388-0181
しゃぶしゃぶ・日本料理 木曽路 高崎店,群馬県高崎市上大類町830-1 ,-,027-310-7830
天松,群馬県高崎市寄合町48 ,-,-
コメダ珈琲店 カインズ前橋川曲店,群馬県前橋市川曲町513-1 ,-,-
