店名,住所,電話番号,予約・お問い合わせ
baru Publo（バルパブロ）,群馬県前橋市元総社町1-3-11 ,-,027-212-2105
プロント アクエル前橋店（PRONTO）,群馬県前橋市表町2-30-8 アクエル前橋 1F,027-212-2069,050-5594-4846
SHIROIYA the LOUNGE,群馬県前橋市本町2-2-15 白井屋ホテル ヘリテージタワー 1F,-,027-231-4618
豚さんち 前橋店,群馬県前橋市上小出町1-31-3 ,027-234-1029,050-5589-8963
串焼き のらごりら,群馬県前橋市古市町471 ,-,050-8884-8850
やきとりの扇屋 伊勢崎宮子店,群馬県伊勢崎市宮子町274 ,0270-50-8175,050-5600-3365
串カツ田中 前橋三俣店,群馬県前橋市三俣町2-27-6 ,027-226-5394,050-5594-7693
博多大衆酒場 幸ちゃん 前橋本店,群馬県前橋市南町3-10-4 2F,-,050-1720-9544
天津楼 菜々久,群馬県前橋市石倉町3-12-2 ,027-226-0122,050-5596-2151
ノーチェアズール,群馬県前橋市本町2-1-7 ,027-226-1878,050-5593-4445
Curry & Pizza Cafe You's Dining（【旧店名】JUNO）,群馬県前橋市石倉町3-12-2 ホテル サンダーソン 1F,027-251-5222,050-5592-6131
LOTUS YAKINIKU&VIETNAM DINER（ロータス ヤキニクアンドベトナムダイナー）,群馬県前橋市三河町2-5-12 ,027-226-6929,050-5594-2543
元祖普通系ラーメン 石川商店（【旧店名】上州麵処 石川商店）,群馬県前橋市城東町3-6-11 ,027-212-2750,-
加わ畔（かわはん）,群馬県前橋市石倉町3-12-2 ホテルサンダーソン内,027-253-4855,050-5592-6130
Lokahi（ロカヒ）,群馬県前橋市上新田町638-12 ,027-289-0200,-
矢内,群馬県前橋市千代田町4-13-1 ,-,027-231-3768
Dining～月兎～（ダイニング ゲット）,群馬県前橋市山王町78 ,027-289-5815,050-5571-4574
喜和美家（きわみや）,群馬県前橋市本町1-3-2 ホテルサンカント 1F,027-243-8194,050-5868-4340
大衆居酒屋 道場 その弐,群馬県前橋市千代田町5-11-1 サン観光ビル 2F,027-234-0429,050-5600-5369
ステーキ・ハンバーグどんさん亭 前橋店,群馬県前橋市文京町2-20-43 ,027-226-6229,050-5597-9145
白木屋 前橋南口駅前店,群馬県前橋市南町3-10-4 カーリーグ前橋駅南ビル　１Ｆ,027-224-4088,050-5600-2944
ソウル飯店,群馬県前橋市千代田町5-13-6 ,027-234-0711,050-5457-5986
焼肉食べ放題 ぷるぷるホルモン 元総社本店,群馬県前橋市元総社町2-31-3 ,027-254-2626,050-5868-9600
月の鐘（tsuki no kane）,群馬県前橋市千代田町2-7-20 ,027-212-0212,050-5594-0667
はなの舞 前橋北口店,群馬県前橋市表町2-29-16 JR両毛線高架下,027-226-7033,050-5593-2744
韓国キッチン ソウル市場 前橋東店,群馬県前橋市朝倉町4-2-2 ,027-289-9633,050-5456-3468
ウレシイ餃子バル リバール（【旧店名】グンマーネオ酒場 リバール。）,群馬県前橋市千代田町4-3-10 ,027-289-8777,050-5597-4884
くいもの屋わん フォレストモール新前橋店,群馬県前橋市古市町180-1 フォレストモール新前橋 1Ｆ,-,027-280-6700
千年の宴 前橋北口駅前店,群馬県前橋市表町2-18-14 コンフォートホテル前橋 １Ｆ,027-221-4388,050-5869-2931
Bello（ベロー）,群馬県前橋市千代田町2-5-5 C's PORTE 2F,027-288-0760,050-5595-4132
cepages（cépages/セパージュ）,群馬県前橋市千代田町5-9-1 まえばしガレリア 1F,027-212-2990,050-5600-9768
韓国キッチン ヨギヨポチャ 前橋店（ネオン系韓国酒場）,群馬県前橋市表町2-1-8 第一マルイビル 1F,027-226-6906,050-5593-4311
SHIROIYA the RESTAURANT,群馬県前橋市本町2-2-15 SHIROIYA HOTEL 1F,-,027-231-4618
湯の道 利久,群馬県北群馬郡吉岡町大字大久保974 ,-,0279-54-5000
もつ鍋処良寛,群馬県前橋市城東町3-20-10 ,-,027-235-0880
焼肉きんぐ 前橋店,群馬県前橋市元総社町106 ,-,027-256-9550
グラン･ヴァン前橋（Grand Vin Maebashi）,群馬県前橋市表町2-30-8 アクエル前橋 1F,-,027-212-9797
奈加禅,群馬県前橋市青柳町594-2 ,-,027-233-6114
伊香保グリーン牧場,群馬県北群馬郡吉岡町大久保364-1 ジョイホンパーク吉岡 1F,-,080-1340-8643
聖ヒジリ（聖hijiri）,群馬県前橋市城東町2-2-9 1F,-,027-288-0429
フライングガーデン 前橋文京町店,群馬県前橋市文京町3-132-4 ,-,-
そば三昧,群馬県前橋市西善町765-2 ,-,027-266-8000
ぼんくらカフェ,群馬県前橋市朝日町3-26-9 ,-,027-243-8180
CoCo壱番屋 前橋日吉店（ココイチバンヤ）,群馬県前橋市日吉町4-41-13 ,-,027-235-6810
たこ顔 前橋駒形店,群馬県前橋市東善町42-1 ,-,-
マクドナルド 前橋けやきウォーク店,群馬県前橋市文京町2-1-1 けやきウォーク前橋 1F,-,-
ポムの樹 イオンモール高崎店,群馬県高崎市棟高町1400 イオンモール高崎 1F,-,027-386-3443
市場食堂 前橋生鮮食料品総合卸売市場,群馬県前橋市東片貝町398 前橋生鮮食料品総合卸売市場,-,-
ラーメン ぶた壱,群馬県前橋市小相木町578-1 ,-,-
ふくさ,群馬県前橋市南町3-40-7 ,-,027-224-0883
うめむら,群馬県前橋市上小出町1-32-3 ハイツ敷島　１F,-,027-232-5747
ミスタードーナツ ジョイホンパーク吉岡ショップ（mister Donut）,群馬県北群馬郡吉岡町大久保364-1 ジョイホンパーク吉岡 2F フードコート,-,0279-26-2205
スターバックス・コーヒー イオンモール高崎店,群馬県高崎市棟高町1400 イオンモール高崎,-,027-310-9051
まりをねっと,群馬県前橋市北代田町486-7 ,-,027-235-3852
とんとら 前橋天川大島町店,群馬県前橋市天川大島町128 ,-,027-263-1800
しおん家（シオンチ）,群馬県前橋市山王町5-11 ,-,不明の為情報お待ちしております
モスバーガー 前橋南店,群馬県前橋市文京町2-28-17 ,-,027-224-2128
Tonchinkan（頓珍館）,群馬県北群馬郡吉岡町大久保1972-1 ,0279-55-0419,-
なんでも屋,群馬県前橋市河原浜町722-23 ,-,027-283-6672
ソコノカフェ（sokonocafe）,群馬県前橋市大手町2-5-15 ,-,不明の為情報お待ちしております
すき家 前橋野中町店,群馬県前橋市野中町50-1 ,-,非公開
たこ顔 前橋関根店,群馬県前橋市関根町320-3 ,-,027-237-1419
やすらぎの湯,群馬県高崎市金古町1767 ,-,027-372-4126
イルクオーレ 前橋川原店,群馬県前橋市川原町1-28-7 ,-,027-219-0500
鮨 万両,群馬県前橋市千代田町4-6-2 ,-,027-231-2543
おひつごはん四六時中 イオン高崎店,群馬県高崎市棟高町1440 イオンモール高崎 1F,-,-
空っ風家,群馬県前橋市柏倉町2691-4 ,-,027-283-3773
かまくら亭,群馬県前橋市上細井町2311-10 ,-,027-233-0707
築地銀だこ ジョイホンパーク吉岡店,群馬県北群馬郡吉岡町大久保364-1 ジョイホンパーク吉岡 2F,-,0279-26-9696
島田屋 本店,群馬県前橋市天川大島町1-33-10 ,-,-
あおい食堂,群馬県前橋市千代田町4-17-2 ,-,027-233-6722
ハイマウント M（エム）,群馬県前橋市上泉町685-4 ,-,-
青木旅館本館,群馬県前橋市富士見町赤城山8 ,-,027-287-8511
ラーメン餃子 江春,群馬県前橋市粕川町深津1614-3 ,-,-
パティスリー アン（Pâtisserie un）,群馬県前橋市西片貝町5-19-6 ,-,027-888-6036
ザ コロネーション（THE CORONATION）,群馬県前橋市青梨子町1339-1 ,-,027-257-3686
海鮮料理 東海（【旧店名】海鮮料理 大心）,群馬県前橋市古市町1-57 ,-,027-252-0400
スターバックス コーヒー けやきウォーク前橋店,群馬県前橋市文京町2-1-1 けやきウォーク前橋,-,-
マムタージ,群馬県前橋市文京町2-21-17 ,-,027-224-2500
ケンタッキーフライドチキン ベイシア前橋みなみモール店,群馬県前橋市新堀町188 ,-,027-210-0410
荒牧大衆酒場 オヤジサーカス（荒牧大衆酒場 OYAJI CIRCUS）,群馬県前橋市荒牧町4-10-31 ,-,027-289-8281
担担麺専門 たんさゐぼう,群馬県前橋市上小出町1-8-27 ,-,-
こーぼ屋 122g,群馬県佐波郡玉村町藤川45-5 ,-,不明の為情報お待ちしております
デニーズ 前橋下小出店,群馬県前橋市下小出町1-8-3 ,-,不明の為情報お待ちしております
ココス 前橋大渡店,群馬県前橋市大渡町2-3-29 ,-,027-290-1668
赤城箕嶺,群馬県前橋市富士見町赤城山2202 ,-,027-287-8810
ラーメン白翁,群馬県前橋市富士見町時沢1900-9 ,-,-
麺場 田所商店 前橋東店,群馬県前橋市東片貝722-4 ,-,-
欧州料理レストラン ヴォレ・シーニュ（Voler Cygne）,群馬県前橋市大手町1-1-1 群馬県庁 31F,-,027-220-1600
ぱん卓,群馬県前橋市前箱田町291-5 ,-,027-251-7831
タリーズコーヒー 前橋みなみモール店（TULLY'S CAFFEE）,群馬県前橋市新堀町33 蔦屋書店前橋みなみモール店内,-,-
ブレッドキャスト 前橋店（BREADCAST）,群馬県前橋市表町2-29 JR前橋駅,-,027-212-2766
バンボッシュ,群馬県前橋市西片貝町3-282-1 ,-,027-223-7168
信州そば処 小木曽製粉所 イオンモール高崎3階店,群馬県高崎市棟高町1400 イオンモール高崎 3F,-,-
茂兵衛（モヘイ）,群馬県前橋市駒形町102-5 ,-,027-266-5347
上州 もつ次郎 前橋総社町店,群馬県前橋市総社町総社2905-6 ,-,-
そらの森珈琲 前橋大友店（【旧店名】コーヒーファクトリー 宮の森）,群馬県前橋市大友町2-25-9 ,-,027-289-8538
辛麺屋 桝元 前橋県庁南店,群馬県前橋市紅雲町1-5-10 ,-,027-212-2718
てんぺい,群馬県前橋市荒牧町1-21-9 ,-,027-235-1186
ぶちの店,群馬県前橋市敷島町247-12 ,-,-
花,群馬県前橋市表町2-9-1 旅館安太夫 1F,-,027-243-2350
タンポポ スズラン前橋店（tanpopo）,群馬県前橋市千代田町2-12-3 スズラン前橋店本館 B1F,-,027-233-1111
キッチン大和,群馬県前橋市岩神町3-11-2 ,-,027-234-1230
中華料理 東東（トントン）,群馬県前橋市元総社町3-4-2 ,-,027-251-0990
スターサンジ けやきウォーク前橋店（STAR SANJI）,群馬県前橋市文京町2-1-1 けやきウォーク前橋 1F,-,027-212-7760
政次郎のパン,群馬県前橋市六供町1221-2 ,-,不明の為情報お待ちしております
炭火焼肉ホルモンしま田 大友店（ホルモンシマタ）,群馬県前橋市大友町1-7-4 城田ビル 1F,-,027-888-6147
HUTTE HAYASHI RESTAURANT（ヒュッテ ハヤシ レストラン）,群馬県前橋市田口町36 道の駅まえばし赤城 フードコート,-,027-212-2493
ビーガーデン,群馬県前橋市今井町687-1 ,-,027-268-0399
東京餃子軒 イオンモール高崎店,群馬県高崎市棟髙町1400 イオンモール高崎 3F フードコート,-,-
もつ煮屋 日の出 駒形店,群馬県前橋市駒形町1456-1 ,-,-
ニューガネーシャ 前橋店,群馬県前橋市山王町1-2-7 ,-,027-888-8948
中華料理 春き（中華料理 春囍）,群馬県前橋市下新田町66-8 ,-,-
三度 力丸店（みたび）,群馬県前橋市力丸町222-3 ,-,027-265-6126
八重垣,群馬県前橋市問屋町2-13-14 産業ビル１階,-,027-252-4186
観光農園あかぎおろし,群馬県前橋市柏倉町909-5 ,-,027-212-8039
天壇（テンダン【旧店名】天壇大食堂）,群馬県前橋市昭和町3-34-26 ,-,027-237-3437
らーめん 高橋,群馬県前橋市富田町1175-2 ,-,不明の為情報お待ちしております
TRY ON?（トライ オン?）,群馬県前橋市昭和町3-33-5 ,-,027-212-0875
肉処しま,群馬県前橋市千代田町4-3-22 1F,-,027-226-6336
手打ちそばやさん うどんやさん 白虎 大友町 本店,群馬県前橋市大友町1-7-5 シロタホテル 1F,-,-
麺屋 双喜（めんや そうき）,群馬県前橋市総社町総社2014-5 大山マンション 1F,-,-
珈琲館 前橋南部大橋店,群馬県前橋市南町2-49-1 ,-,027-223-6386
和楽,群馬県前橋市朝倉町251-1 ,-,027-226-1551
ブレッテリア（Breateria）,群馬県前橋市川原町2-1-5 ,-,-
温井製麺,群馬県前橋市大渡町1-11-12 ,-,027-251-3046
そば処 はせ川,群馬県前橋市東片貝町291-1 ,-,-
道の駅まえばし赤城,群馬県前橋市田口町36 ,-,-
景勝軒 けやきウォーク前橋店,群馬県前橋市文京町2-1-1 けやきウォーク前橋 2F フードコート,-,-
サンマルクカフェ けやきウォーク前橋店,群馬県前橋市文京町2-1-1 けやきウォーク前橋 2F,-,-
うな久,群馬県前橋市総社町総社2843-6 ,-,-
魚彩,群馬県高崎市棟高町1049 ,-,027-373-3410
三番ホルモン,群馬県前橋市城東町1-28-13 ,-,027-234-6753
武本庵,群馬県前橋市文京町4-12-3 ,-,-
はとぽっぽ,群馬県前橋市中内町56-1 ,-,027-266-6434
日の出屋 片貝店（ひのでや）,群馬県前橋市西片貝町5-3-4 ,-,027-224-0270
ふぐまる,群馬県前橋市千代田町4-1-19 パル千代田ビル 1F,-,027-231-1729
ステーキ宮 前橋下小出店,群馬県前橋市下小出町3-13-1 ,-,-
トマトスパゲティ専門店 Tomati（トマティ）,群馬県前橋市東片貝町417-1 ,027-289-5881,050-5890-7100
肉のヤマ牛 けやきウォーク前橋店（【旧店名】肉のヤマキ商店）,群馬県前橋市文京町2-1-1 けやきウォーク前橋 2F フードコート,-,027-224-5666
本町一丁目カフェ,群馬県前橋市本町1-1-7 ,-,-
サポーリ ディ ノモト,群馬県前橋市古市町1-46-1 ,-,027-253-2024
英新ラーメン,群馬県前橋市千代田町5-7-7 ,-,027-234-1030
みやたや,群馬県前橋市本町1-3-8 ,-,-
居魚屋ちひろ,群馬県前橋市千代田町5-20-7 ,-,027-289-4622
つけ麺 三峰,群馬県前橋市日吉町3-30-6 あけぼのハイツ 1F,-,-
ラーメンハウス蘭蘭,群馬県前橋市上小出町3-47-7 ,-,027-234-6870
築地銀だこ けやきウォーク前橋店,群馬県前橋市文京町2-1-1 けやきウォーク前橋 2F フェスティブコート内,-,027-220-5155
ハニー ポット（Honey Pot）,群馬県前橋市小相木町543-1 ,-,027-252-8381
鶏だしらーめん蒼生（トリダシラーメン アオイ）,群馬県北群馬郡吉岡町大久保1292-1 ,-,-
ステーキ瀧,群馬県前橋市六供町1-19-1 ,-,027-224-0789
ふじみラウンジ（FUJIMI LOUNGE）,群馬県前橋市富士見町小暮2444-4 ,-,不明の為情報お待ちしております
みほ鮨,群馬県前橋市堀越町357-8 ,-,027-283-2180
バーガーキング ジョイホンパーク吉岡店（BURGER KING）,群馬県北群馬郡吉岡町大久保364-1 ジョイホンパーク吉岡 2Fフードコート,-,0279-26-9266
大川食堂,群馬県前橋市富士見町小暮506-1 ,-,027-288-2281
ビストロ セレニテ（Bistro serenite）,群馬県前橋市西大室町3026-3 ,027-288-0629,050-5597-4885
SHOP CAFE Qu（ショップ カフェ キュー）,群馬県前橋市田口町36 道の駅まえばし赤城,-,027-288-0109
あつあつ弁当 山王店,群馬県前橋市山王町1-13-1 ,-,027-266-6128
亀甲,群馬県前橋市千代田町4-3-12 ,-,027-212-0367
エブリパン,群馬県前橋市川原町1-21-9 JINS PARK,-,-
チーズ工房 スリー ブラウン 松島農園（Three Brown）,群馬県前橋市粕川町中之沢384-96 ,-,027-285-6862
ラーメンハウス 春華,群馬県前橋市古市町1-2-2 ,-,027-251-2830
いいあんばい,群馬県前橋市大渡町2-3-33 ,-,027-210-5061
モミリーウィッチ 前橋店（Momiry Witch）,群馬県前橋市川原町2-8-1 ,-,不明の為情報お待ちしております
ジェノヴァ,群馬県前橋市大友町2-25-11 ,-,-
真樹,群馬県前橋市大友町3-15-28 ,-,027-253-6624
支那そばメンフジミ,群馬県前橋市富士見町時沢100-1 ,-,-
つるつるうどん 西片貝店,群馬県前橋市西片貝町4-21-18 ,-,027-223-7557
イタリア亭 前橋青柳店,群馬県前橋市青柳町198 ハンプティーダンプティー前橋本店内,-,027-233-0377
海鮮 革（Arata）,群馬県前橋市大友町2-23-8 ,-,027-289-6807
中華　いちとら,群馬県北群馬郡吉岡町大字漆原170-4 ,-,0279-55-1638
南国食堂 ちむどんどん,群馬県前橋市六供町2-51-1 ,027-220-4848,050-5597-2215
パティスリー ラメールブルー（patisserie la mer bleu）,群馬県前橋市元総社町1715-1 ,-,027-257-6632
お食事処 なごみ,群馬県前橋市鶴光路町316-1 湯の道利久前橋南店,-,027-225-2641
Sweets Shop YOSHIDA,群馬県前橋市朝倉町2-4-7 ,-,027-226-6019
焼肉レストラン松姫,群馬県前橋市富士見町時沢1884-5 ,-,027-288-8854
ホルモン番長,群馬県前橋市大友町3-5-28 ,-,027-251-2989
カフェルーエ,群馬県前橋市富士見町小暮227-1 ,-,027-288-2824
中華料理桃園,群馬県前橋市古市町479-2 ,-,不明の為情報お待ちしております
やよい軒 前橋大友町店,群馬県前橋市大友町1-7-8 ,-,027-256-9356
パルメナーラ イオンモール高崎店（Parmenara）,群馬県高崎市棟高町1400 イオンモール高崎 3F,-,-
フレッシュロースター珈琲問屋 前橋店,群馬県前橋市大手町2-2-17 ,-,027-220-4151
魚べい パワーモール前橋みなみ店,群馬県前橋市新堀町49 パワーモール前橋みなみ店敷地内,-,-
孫平治,群馬県前橋市鶴光路町150-2 ,-,027-265-2448
炭火やきとり山水 千代田町2丁目本店,群馬県前橋市千代田町2-7-12 ビューティーライフビル 1F,-,090-2209-7031
高原やきとうもろこし,群馬県前橋市富士見町赤城山2034-1 ,-,-
オレンジ３５３ 富士見店,群馬県前橋市富士見町石井1233 ,-,-
pack’n dining えびすや（パックンダイニング・エビスヤ）,群馬県前橋市荒牧町1-22-7 ,-,027-235-1168
デニーズ 前橋東善町店（Denny's）,群馬県前橋市東善町127-1 ,-,不明の為情報お待ちしております
地産地消食堂 アカギメシ,群馬県前橋市田口町36 道の駅まえばし赤城 フードコート,-,-
ぱんや やまの如く,群馬県前橋市北代田町290-5 ,-,不明の為情報お待ちしております
そばいち,群馬県前橋市南町3-63-6 ,-,027-224-1498
KANSAI 前橋荒牧店（かんさい）,群馬県前橋市荒牧町829-1 ,-,027-260-7033
いるく食堂,群馬県前橋市富士見町小沢322-1 ,-,-
ファーロ ブランコ カフェ（faro blanco cafe）,群馬県前橋市茂木町1155-5 ,027-257-2892,050-5456-0434
南大門 ホルモン館,群馬県前橋市下小出町1-2-2 ,-,027-235-2741
Ｇ.Ｇ.C. 前橋駒形店,群馬県前橋市下大島町1151-1 ,-,-
Botanical cafe KING-GOD（ボタニカル カフェ キング ゴッド）,群馬県前橋市田口町36 道の駅まえばし赤城 フードコート,-,-
ミスタードーナツ けやきウォーク前橋ショップ,群馬県前橋市文京町2-1-1 けやきウォーク前橋,-,027-243-7767
ガスト 前橋西店,群馬県前橋市大友町3-14-3 ,-,-
和粋（ワスイ）,群馬県前橋市千代田町2-4-14 ,-,027-888-9060
千石食堂,群馬県佐波郡玉村町飯塚243 ,-,0270-65-2885
そば処 久田屋,群馬県前橋市文京町1-30-15 ,-,027-224-2137
かぶら屋 葡呑,群馬県前橋市古市町1-44-13 ,-,不明の為情報お待ちしております
一汁五穀 イオンモール高崎店（イットゴコク）,群馬県高崎市棟高町1400 イオンモール高崎,-,-
吉野家 17号線前橋関根町店,群馬県前橋市関根町2-380-9 ,-,-
ひょうたん,群馬県北群馬郡吉岡町大久保1976-1 ,-,0279-55-1123
鰻の成瀬 前橋店,群馬県前橋市総社町総社1640-6 ,-,027-212-5575
はま寿司 前橋元総社店,群馬県前橋市元総社町字小見1712 ,-,027-280-3005
たけ花,群馬県前橋市三河町1-5-8 ,027-289-3557,050-5456-5642
本格手打ち 鉄鍋うどん 白虎 問屋町店,群馬県前橋市問屋町2-15-6 ,-,027-254-0747
道の駅 ぐりーんふらわー牧場・大胡,群馬県前橋市滝窪町1369-1 ,-,-
シジャン 高崎イオンモール店,群馬県高崎市棟高町1400番地 イオンモール高崎 1F,-,027-310-9066
麺や Co粋（メンヤ コイキ）,群馬県前橋市天川大島町1-4-23 ,-,-
はっぴーすまいる,群馬県前橋市二之宮町1386-1 ,-,-
レストラン水芭蕉,群馬県前橋市昭和町3-39-15 群馬大学病院 1F,-,027-234-4681
柿の実焼肉ハウス,群馬県前橋市昭和町3-12-13 ,-,-
かつはな亭 前橋文京店,群馬県前橋市文京町2-24-14 ,-,027-220-1755
ばら園前食堂,群馬県前橋市敷島町246-18 ,-,027-232-2101
景勝軒 ジョイホンパーク吉岡店,群馬県北群馬郡吉岡町大字大久保字片貝382-1 ジョイホンパーク吉岡 2F フードコード,-,-
松屋,群馬県前橋市国領町2-1-12 ,-,027-231-5159
モスバーガー 北前橋店,群馬県前橋市上小出町2-40-12 ,-,027-231-1881
ゆで太郎 前橋文京店,群馬県前橋市天川原町1-8-2 ,-,-
チェント（BAR AND GRILL CENTO）,群馬県前橋市下小出町2-54-6 ,-,027-219-0101
UNPEU（アンプ）,群馬県前橋市元総社町3-5-29 ,-,027-254-0015
宇迦の穂,群馬県前橋市上泉町105-3 ,-,027-212-4803
パパサンドのお店 はとぽ（Hatopo）,群馬県前橋市住吉町2-8-1 ウエノ写真場ビル 1F,-,027-289-3170
TSURUYA 吉岡店（ツルヤ）,群馬県北群馬郡吉岡町大久保538-1 ,-,-
わがきん ラーメン部,群馬県前橋市千代田町4-1-12 ,-,-
farmers cafe minttan（ファーマーズ カフェ ミントタン）,群馬県前橋市江木町992-12 ,-,027-212-4110
タンマイ,群馬県前橋市下小出町1-20-5 ,-,027-212-8071
天天天（テンサン）,群馬県前橋市千代田町5-5-7 ,-,027-212-9802
高原飯店（コウゲンハンテン）,群馬県前橋市文京町4-18-20 ,-,-
立花家（たちばなや）,群馬県前橋市文京町4-1-25 ,-,027-221-3421
レストランカリーノ,群馬県北群馬郡吉岡町大久保157-2 ,-,0279-55-1026
串モン 二合目（クシモン ニゴウメ）,群馬県前橋市本町2-8-9 ,-,027-221-8315
エメ・ポテト（Aimer potato）,群馬県前橋市上小出町2-1-4 メゾンエリカワ 1F,-,027-215-1538
Cafe Maemi（カフェ マエミ）,群馬県前橋市南町3-34-11 玉井ビル 1F,-,027-212-3622
ヒッチ ハイカーズ バーガー スタンド（HITCH HIKERS BURGER STAND）,群馬県前橋市三俣町3-27-3 吉田コーポ 1F,-,027-888-6401
そば処大橋屋,群馬県前橋市駒形町1258-2 ,-,027-266-4761
KANSAI 前橋元総社店（かんさい）,群馬県前橋市元総社町923-65 ,-,027-210-8175
焼肉あぐり朝日庵,群馬県前橋市朝日町1-26-9 ,-,027-223-8929
聞香茶点（モンコウチャテン）,群馬県前橋市江田町636-1 ,-,027-253-0236
前橋とんこつ 味楽留（みらくる）,群馬県前橋市総社町総社2882-2 ,-,027-251-2969
一粒の麦（ヒトツブノムギ）,群馬県前橋市日吉町3-39-4 杉本ハイツ 1F,-,027-235-2402
焼肉ホルモン ぶんぶく苑,群馬県前橋市新前橋町17-23 ,-,027-212-9813
幸楽苑 パワーモール前橋みなみ店,群馬県前橋市新堀町25-6 ,-,027-290-3117
ぶーたぶーた（Boota-Boota）,群馬県前橋市西片貝町4-23-8 ,-,027-243-4832
味処みずほ,群馬県前橋市上泉町1406-3 ,-,027-269-4266
すしめん処大京 吉岡店（【旧店名】源氏家族）,群馬県北群馬郡吉岡町大久保891‐1 ,-,0279-55-6205
うどん屋 小相木店,群馬県前橋市小相木町578-1-305 ,-,-
ドーミーイン 前橋,群馬県前橋市表町2-24-7 ,-,027-220-5489
サンドウィッチ サークル,群馬県前橋市若宮町2-12-13 ,-,027-233-1279
雷門,群馬県前橋市天川大島町3-1-18 ,-,-
だんごの美好 本町支店,群馬県前橋市本町2-1-19 ,-,-
お饂飩鍋 馳走 てん幻（てんげん）,群馬県前橋市天川大島町49-1 ,-,-
ベッカライ カッツェ（Backrei Katze）,群馬県前橋市下小出町1-28-18 ,-,-
大龍,群馬県前橋市元総社町593-21 ,-,027-251-2230
会席そば 草庵（そうあん）,群馬県前橋市荻窪町1230-1 ,-,027-269-0936
ハム工房ぐろーばる,群馬県渋川市北橘町上箱田800 ,-,0279-52-3746
ジンギスカン＆カフェ JINJIN（ジンジン）,群馬県前橋市南町2-6-7 ,-,-
バーミヤン 前橋広瀬店,群馬県前橋市天川大島町14-1 ,-,027-290-2298
そば処 石墨（いしずみ）,群馬県前橋市天川原町2-3-5 ,-,027-243-2443
職人醤油 前橋本店,群馬県前橋市西片貝町5-4-8 ,-,027-225-0012
ROYAL 駒寄パーキングエリア店（ロイヤル）,群馬県北群馬郡吉岡町大久保521-1 関越自動車道 駒寄パーキングエリア 下り線,-,-
うどんちゅう,群馬県前橋市平和町1-13-18 ,-,080-6520-3298
餃子の王将 前橋駒形店,群馬県前橋市東善町109 ,-,027-266-8144
ＣｏＣｏ壱番屋 伊勢崎宮子町店（ココイチバンヤ）,群馬県伊勢崎市宮子町3427-1 ,-,0270-26-3362
ステーキ。山 駒形店,群馬県前橋市駒形町64-1 ,027-267-7035,050-5590-6066
フレッシュネスバーガー アトイスコート前橋店,群馬県前橋市天川原2-41-1 アトイスコート１Ｆ,-,-
ボンファム,群馬県前橋市元総社町523-10 ,-,027-254-5299
前橋赤城鮮魚センター,群馬県前橋市田口町36 道の駅まえばし赤城,-,-
