店名,住所,電話番号,予約・お問い合わせ
欧風食堂 Tout Va Bien（トゥバビアン）,茨城県水戸市中央1-8-4 サウサリート中央１Ｆ,029-232-8800,050-5868-8327
ザ・ドランケン・ダック 水戸店,茨城県水戸市中央1-6-9 ,029-232-3999,050-5872-6233
Tommy Bird（トミー バード）,茨城県水戸市見川町2131-2599 ,029-241-1194,050-5590-4143
韓国屋台料理ポチャ 水戸店,茨城県水戸市宮町1-7-33 水戸サウスタワー,029-246-5186,050-5600-2485
全席個室居酒屋 忍家 水戸駅南本店,茨城県水戸市桜川1-3-20 小端ビル 1F,029-231-8868,050-5456-4330
常陸野ブルーイング 水戸（【旧店名】トゥルー・ブルー）,茨城県水戸市宮町1-7-31 エクセルみなみ 4F,029-306-7575,050-5596-7027
魚民 水戸城南店,茨城県水戸市城南2-8-10 城南テナント 1F,029-224-6088,050-5600-3236
ヴェッキオアルベロ（VecchioAlbero）,茨城県水戸市笠原町887-24 ,029-277-1971,050-5570-6912
くいもの屋わん 水戸店,茨城県水戸市南町1-2-26 たんぽぽビル　２Ｆ,-,029-300-6200
常陸牛きくすい,茨城県水戸市西原2-16-5 ,029-255-1710,050-5594-2254
益益 イオンモール水戸内原前店（マスマス）,茨城県水戸市内原1-220 ,029-259-3567,050-5456-4363
本格ロティサリーチキンバル サンダーバード 水戸オーパ店,茨城県水戸市宮町1-7-33 水戸OPA 9F,029-350-7217,050-5589-5384
魚民 赤塚南口駅前店,茨城県水戸市河和田1-1 フレスポ赤塚　１Ｆ,029-251-4388,050-5600-2556
魚民 水戸北口駅前店,茨城県水戸市宮町1-3-38 中村ビル 3F,029-221-7288,050-5600-3092
割烹 魚政（うおまさ）,茨城県水戸市大工町2-1-23 ,029-221-3317,050-5868-9328
Dining Kitchen Life,茨城県水戸市双葉台4-559-8 ,029-350-8448,050-5872-3337
茨城串や まる久（MARUKYU【旧店名】俺ん侍の海鳥）,茨城県水戸市南町1-3-11 塔里苑ビル 1F,029-232-3109,050-5594-6641
しゃぶしゃぶみと,茨城県水戸市栄町1-1-2 ,029-224-5760,050-5595-1313
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 水戸駅北口店,茨城県水戸市宮町2-4-35 水戸ビル 101,029-291-7400,050-5589-5537
うなぎや東條,茨城県水戸市河和田2-6-1 ,029-291-5744,050-5590-1351
九州屋台 九太郎 水戸店,茨城県水戸市南町1-2-26 ,-,029-297-1881
回転すし まるくに 青柳店,茨城県水戸市青柳町4268-2 ,-,-
ゆで太郎 水戸見川町店（YUDETARO）,茨城県水戸市見川町2280-1 ,-,-
中華そば 浜田屋 本店,茨城県水戸市浜田2-247-4 ,-,-
時代屋（ジダイヤ）,茨城県水戸市見川町2131-979 ,-,029-243-7817
樂（cafe raku）,茨城県水戸市常磐町1-3-3 偕楽園 好文亭 西塗縁,-,029-221-6570
オーグランセードル（Au Grand Ceder）,茨城県水戸市宮町2-4-11 ,-,029-350-4642
麺's ら.ぱしゃ 水戸店（メンズラパシャ）,茨城県水戸市中央2-6-10 斉藤ビル １F,-,-
蕎麦処 まち庵 水戸エクセル店（ソバドコロ マチアン）,茨城県水戸市宮町1-1-1 水戸駅ビル エクセル 6F,-,029-291-8738
パティスリーシャロン,茨城県東茨城郡茨城町桜の郷600-26 ,-,-
菓匠にいつま ハナレ（菓匠にいつま hanare）,茨城県水戸市堀町2160-3 ,-,-
らーめん はなはな（HANA HANA）,茨城県水戸市鯉淵町4015-5 ,-,-
ステーキ＆かつ　富勝　倭,茨城県水戸市開江町652-3 ,-,029-251-3700
金魚,茨城県水戸市宮町2-2-3 宮下ビル3号館 1F,-,不明の為情報お待ちしております
すき焼亭,茨城県水戸市栄町1-5-8 ,-,029-231-4181
串屋 晴,茨城県水戸市宮町2-5-6 宮下ビル 6号館3号,-,029-210-1911
水戸プラザホテル,茨城県水戸市千波町2078-1 水戸プラザホテル,-,029-305-8111
ヴィーガン カフェ テラ（Vegan cafe terra）,茨城県水戸市南町2-3-32 西洋倶楽部ビル 1F,-,029-228-3731
環翠,茨城県水戸市宮町2-1-18 ,-,029-221-4832
うなぎ斎藤（さいとう）,茨城県水戸市大足町1050-1 ,-,029-259-5353
サザコーヒー 水戸駅店,茨城県水戸市宮町1-7-31 水戸駅ビル エクセルみなみ 3F,-,-
洋麺屋五右衛門 水戸店,茨城県水戸市笠原町302-1 2F,-,029-303-5252
コッカ（Cocca）,茨城県水戸市大塚町2004-58 ,-,-
CHINESE DINING 瑞（MIZUKI）,茨城県東茨城郡茨城町小鶴81 ,-,029-353-7592
チャイニーズレストラン滬（ふう）,茨城県水戸市城南2-2-2 プレジデントホテル水戸 12F,-,029-300-1112
うなぎ ぬり家 本店,茨城県水戸市本町3-14-10 ,-,029-221-4296
ダイワロイネットホテル 水戸（Daiwa Roynet Hotel）,茨城県水戸市宮町1-7-44 ,-,029-303-3311
囲炉裏焼と蕎麦の店 うえ田,茨城県水戸市千波町1147 ,-,029-232-0141
ねぎ亭,茨城県水戸市南町2-2-8 ,-,029-228-2520
田村川魚店,茨城県水戸市若宮町518-1 ,-,029-226-9359
伊呂葉食堂,茨城県水戸市堀町1067-3 ,-,029-233-7035
吉野家 水戸駅店,茨城県水戸市宮町1-1-1 ,-,-
回転すし まるくに 河和田店,茨城県水戸市河和田町1076-1 ,-,-
ル・ポワロン,茨城県水戸市泉町2-2-35 ,-,029-231-4787
いなせ庵 イオンモール水戸内原店,茨城県水戸市内原2-1 イオンモール水戸内原 3F,-,029-259-1387
天ぷら 宮のした,茨城県水戸市宮町2-3-1 ,-,029-303-5955
カフェ ダイナー ケイ（Cafe Diner Kei）,茨城県水戸市大工町1-3-2 かわかみビル 1F,-,080-3345-1532
おかざき（おかざき食堂）,茨城県水戸市平須町1-76 ,-,不明の為情報お待ちしております
トラットリア チェントパスタ（TRATTORIA CENT PASTA）,茨城県水戸市見川2-108-26 アーバンテラス一周館 2F,-,029-257-1126
モスバーガー グランステージ水戸店,茨城県水戸市酒門町3234-1 ,-,029-304-6056
担々麺 QUATRE EPICE（キャトル エピス）,茨城県水戸市松ヶ丘2-5-33 コズミック第一ビル 1F,-,-
カフェ よくなるよくなる（cafe 49²）,茨城県水戸市河和田2-1709-3 ,-,-
鳥半,茨城県水戸市本町1-4-5 ,-,-
パティスリー シュシュ（Patisserie ChouChou）,茨城県水戸市上水戸2-4-2 ,-,029-210-1338
ロッテリア ＭＥＧＡドン・キホーテ上水戸店,茨城県水戸市上水戸2-9-10 MEGAドン・キホーテ上水戸店,-,0120-070-612
俺の生きる道 水戸駅らー麺街道店（ORE NO IKIRU MICHI）,茨城県水戸市宮町1-7-31 水戸駅ビル エクセルみなみ 4F,-,-
ウオカネ（UOKANE）,茨城県水戸市酒門3322-1 ,-,不明の為情報お待ちしております
横浜家系ラーメン 武骨家 水戸エクセルみなみ店,茨城県水戸市宮町1-7-31 エクセルみなみ 4F,-,029-350-6588
しゃぶ菜 水戸内原店,茨城県水戸市中原町字西135 イオンモール水戸内原 1F,-,029-259-1170
扇規,茨城県水戸市天王町1-43 ,-,029-227-6338
柴龍,茨城県東茨城郡茨城町大字小堤976 ,-,-
ノヴィタ（NOVITA）,茨城県水戸市南町2-2-76 ,-,029-224-7166
旬菜和膳 よし川,茨城県水戸市千波町2078-1 水戸プラザホテル 1F,-,029-305-8184
アロゼ,茨城県水戸市吉沢町323-1 ,-,029-246-6508
カルビ丼とスン豆腐専門店 韓丼 水戸千波店,茨城県水戸市千波町1838-32 ,-,-
滝元（タキモト）,茨城県水戸市木葉下町403-4 ,-,029-350-3083
イイジマDELI-１ 本店,茨城県水戸市見川2-108-26 一周館ビル 1F,-,029-251-7797
みまつホテル,茨城県水戸市宮町2-4-26 ,-,029-224-3005
カフェ・トロワシャンブル,茨城県水戸市城南2-5-8 ,-,029-227-7487
ロペ,茨城県水戸市泉町2-41-24 ,-,029-221-9265
スコーン ドルフィン 水戸京成百貨店（SCONE DOLPHIN）,茨城県水戸市泉町1-6-1 水戸京成百貨店,-,-
東華,茨城県水戸市城南2-9-8 ,-,029-226-5464
食事処　天勝,茨城県水戸市白梅1丁目7-21 都市機構開発ビル1F,-,029-224-7661
麺's 吉川屋（ヨシカワヤ）,茨城県水戸市大工町1-6-16 ,-,-
匠家 50号バイパス店（たくみや）,茨城県水戸市笠原町1191-5 ,-,-
Mila Cafe,茨城県水戸市千波町2080-3 ,-,029-303-5232
レストラン マロン（レストランマロン）,茨城県水戸市五軒町3-1-18 ,-,029-231-1690
ベーカリーヤマキ（BAKERY YAMAKI）,茨城県水戸市谷田町346-3 ,-,-
吾妻鮨,茨城県水戸市浜田1-14-7 ,-,029-228-1144
大黒家,茨城県東茨城郡茨城町奥谷47-3 ,-,029-292-0070
御食事処 天定（御食事処 テンサダ）,茨城県水戸市宮町2-1-7 ,-,029-221-3204
二代目 漁すけ,茨城県水戸市河和田町4974-1 ,-,-
そば処 しなの,茨城県東茨城郡茨城町小鶴1967 ,-,029-292-6955
麺屋てっぺん,茨城県水戸市渡里町2727-2 ,-,不明の為情報お待ちしております
めん家,茨城県水戸市城南1-6-16 ,-,不明の為情報お待ちしております
シャトレーゼ 水戸店（Chateraise）,茨城県水戸市元吉田町1325-1 ,-,029-247-1660
ビアード・パパ イオンモール水戸内原店,茨城県水戸市中原町字西135 イオンモール水戸内原 1F,-,029-259-1148
四川厨房 美,茨城県水戸市酒門町3298-8 ,-,029-247-5805
中華料理 福楽,茨城県水戸市笠原町600-20 ,-,029-388-2611
菓舗もとや,茨城県水戸市東台2-3-16 ,-,029-221-2980
Curry & Bake（カリー アンド ベイク）,茨城県水戸市堀町2111-2 ,-,-
ぬりや,茨城県水戸市泉町3-5-9 ,-,029-221-3265
YAKINIKU TORANOYA,茨城県水戸市泉町2-1-45 ロックアップビル北側,-,029-350-2993
居酒屋寛助,茨城県水戸市宮町2-3-3 ,-,029-226-5781
麺家 ふじひろ,茨城県東茨城郡茨城町長岡3481-87 ,-,不明の為情報お待ちしております
からあげ専門店 寺田商店 水戸西原店,茨城県水戸市西原1-6-15 ,-,029-302-2210
和の料理 ふじ（わのりょうり ふじ）,茨城県水戸市元吉田町1563 ,-,029-246-0024
ひろうら,茨城県水戸市元山町1-2-65 ,-,029-221-4811
ケッズクラブ（K'S CLUB）,茨城県水戸市城南1-3-4 ,-,029-227-5017
ココス 水戸内原店（COCO'S）,茨城県水戸市中原町字東484-1 ,-,029-257-5622
フリッツァ（Frizza）,茨城県水戸市見川町2131-295 ,-,029-244-3800
こむぎ屋（こむぎや）,茨城県水戸市見川3-652-16 ,-,029-212-8889
都炉美煎本舗 見和店,茨城県水戸市見和1丁目311-3 ,-,029-254-7888
巨匠,茨城県水戸市栄町1-1-8 ,-,029-233-2904
ブーション,茨城県水戸市吉沼町1771-1 ,-,029-227-6777
魚沼食堂 エクセルみなみ店,茨城県水戸市宮町1-7-31 水戸駅ビル エクセルみなみ 6F,-,029-226-5532
麺 一直,茨城県水戸市見川町2267-3 ,-,-
びっくりドンキー 水戸５０号バイパス店,茨城県水戸市河和田町349-1 ,-,029-257-3700
みよし,茨城県水戸市見川町2131-514 ,-,029-241-9896
MOOD COFFEE&ESPRESSO（ムード コーヒー＆エスプレッソ）,茨城県水戸市南町2-4-58 常盤ビル 1F,-,-
FLO・プレステージュ 水戸京成店（フロプレステージュ）,茨城県水戸市泉町1-6-1 京成百貨店 B1F,-,029-232-9449
美歌,茨城県水戸市泉町3-5-3 ,-,029-225-4481
海鮮魚Bar ibis（アイビス）,茨城県水戸市城南1-6-4 城南マンション 1F,-,029-350-1229
金金醤 イオンモール水戸内原店,茨城県水戸市内原2-1 1Ｆレストラン街,-,029-259-1175
ルアンカーオ,茨城県水戸市中央1-3-3 山口ビル 1F,-,029-225-7651
新竹,茨城県水戸市城南1-8-37 ,-,029-226-2577
ぶたまる食堂 元吉田店,茨城県水戸市元吉田1610-2 1F,-,029-303-7813
御食事処 大樹苑,茨城県水戸市谷津町1203-1 ,-,029-255-4510
英国風パブ キャメル（BRITISH PUB CAMEL）,茨城県水戸市宮町2-5-4 ,-,不明の為情報お待ちしております
ニューデイズ 水戸19号店（NEWDAYS）,茨城県水戸市宮町1-1-1 水戸駅 7・8番線ホーム,-,029-302-5061
ホープ庵（HOPE AN）,茨城県水戸市笠原町1340 ,-,-
やきとり大吉 泉町店,茨城県水戸市泉町3-2-8 ,-,029-224-2810
ごま房’Ｓ（ゴマボウズ）,茨城県水戸市渡里町2736-10 ,-,-
モッチモ・パスタ&CAFE 水戸御茶園店,茨城県水戸市千波町376 ,-,029-353-8088
ファヴール,茨城県水戸市堀町1024-2 ,-,029-232-3577
かしわ鮨,茨城県水戸市見川2丁目344-8 ,-,029-255-4472
アイエヌキッチン（I-N kitchen）,茨城県水戸市上水戸3-6-28 マルシンテナント1F,-,029-227-5633
かにや（鮮魚・かに・貝の居酒屋　かにや）,茨城県水戸市宮町2-5-38 ,-,029-231-1820
ゴンチャ 水戸エクセル店（Gong cha）,茨城県水戸市宮町1-1-1 水戸駅ビルエクセルプラムストリート 2Ｆ,-,029-239-5811
一丁豆腐料理,茨城県水戸市泉町3-5-10 ,-,029-226-7780
そば処　玄喜（ゲンキ）,茨城県水戸市米沢町362-1 ,-,029-247-1977
焼肉トラジ 守谷SA下り店,茨城県守谷市野木崎桑下87-3 常磐自動車道 守谷サービスエリア パサール守谷,-,-
松月堂菓子店,茨城県東茨城郡茨城町大字奥谷102-5 ,-,029-292-0066
龍影,茨城県水戸市元吉田町1626 ,-,029-247-8788
ベーカリーグラース（GRACE）,茨城県水戸市赤塚1-1 ミオス 1F,-,029-246-6355
一蘭 水戸店,茨城県水戸市元吉田町1539-6 ,-,-
伊勢屋,茨城県水戸市笠原町950-19 ,-,-
お食事処ホロル,茨城県東茨城郡城里町下古内1829-3 ホロルの湯,-,-
酒彩こうき,茨城県水戸市城南1-6-4 ,-,029-297-2063
ガスト 茨城県庁前店,茨城県水戸市笠原町1562-1 ,-,029-305-3838
ベックス コーヒー ショップ 水戸店（BECK'S COFFEE  SHOP）,茨城県水戸市宮町1-1-1 JR水戸駅改札,-,-
魚拓,茨城県水戸市元吉田町1490-19 ,-,029-247-4410
アルコイリス（Arco-Iris）,茨城県水戸市泉町1丁目1-16 ,-,不明の為情報お待ちしております
麺処 本日晴天,茨城県水戸市城東1-1-26 ,-,-
おみやげや プラム水戸,茨城県水戸市宮町1-1-1 プラム水戸 2F,-,-
旭川らあめん　ひでまる,茨城県水戸市見和2-246-1 堤ビル1F,-,-
ゑびす（エビス）,茨城県水戸市笠原町1625-5 ,-,029-244-2072
山長,茨城県水戸市泉町2-2-2 ,-,029-225-3247
とんかつあおき,茨城県水戸市笠原町1409-2 ,-,029-243-2838
大香港厨房,茨城県水戸市宮町1-7-31 水戸駅ビル エクセルみなみ 6F,-,029-306-9519
il.（イルドット）,茨城県水戸市酒門町1008-1 ,-,029-303-6818
キッチン あじへい,茨城県水戸市泉町2-2-47 ,-,029-225-6657
cafe RIN（カフェリン/caféRIN）,茨城県水戸市泉町2-2-37 ,029-225-8487,-
飛勘水産 鮨 一華,茨城県水戸市泉町1-6-1 水戸京成百貨店 9F,-,029-303-8717
魚姫（ウオヒメ）,茨城県水戸市宮町2-3-3 ,-,029-239-5520
甘太郎,茨城県水戸市泉町1-6-1 京成百貨店 B1F,-,029-224-2665
パンヤ・クルート 米沢店,茨城県水戸市米沢町379-12 ,-,-
サクラガーデン,茨城県水戸市見川5-162-4 ,-,029-306-7166
好的酒飯 好（ハオテキシュハン ハオ）,茨城県水戸市南町3-2-36 ,-,029-302-5489
SACUCU（サクク）,茨城県水戸市五軒町2-1-51 メナセビル 2F C,-,070-8903-1304
ワカマツ,茨城県水戸市千波町1988-3 ,-,029-241-0018
麺や 友琦,茨城県水戸市城東5-4-33 ,-,-
らぁめん大山 水戸店,茨城県水戸市宮町1-7-31 水戸駅ビル エクセルみなみ 4F,-,-
スターバックスコーヒー 水戸エクセル5階店（STARBUCKS COFFEE）,茨城県水戸市宮町1-1-1 水戸エクセル 5F,-,-
よこた,茨城県水戸市桜川1-7-13 サンオリエント 1F,-,029-350-3066
SUNGLAM（サングラム）,茨城県水戸市元吉田町1560-1 ,-,-
ウエスタン牧場,茨城県水戸市泉町1-6-1 京成百貨店 9F,-,029-302-5141
肉の稲石,茨城県水戸市本町1丁目10-5 ,-,029-224-0222
定食の店 にこまつ,茨城県水戸市城南2-5-28 Arcホテル 2F,-,050-3550-5313
M-SPO TERRACE BLUE x BLUE（【旧店名】OPEN TERRACE ME-EAT）,茨城県水戸市南町3-6-8 ,-,029-302-0530
諏訪亭,茨城県水戸市内原町1448-3 ,-,-
あじ平 水戸駅前店（あじへい）,茨城県水戸市宮町1-3-25 ,-,-
ひろ寿,茨城県水戸市泉町2-3-5 ,-,029-291-6027
レストラン&me,茨城県水戸市三の丸1-4-73 水戸京成ホテル,-,-
カフェテリアひばり（県庁食堂）,茨城県水戸市笠原町978番6 茨城県庁２階,-,-
まつみ,茨城県水戸市河和田町206-2 ,-,不明の為情報お待ちしております
丸亀製麺 水戸店,茨城県水戸市姫子2-665-32 ,-,-
木の葉ずく（このはずく）,茨城県水戸市堀町1108-2 ,-,029-253-5344
ええもん8,茨城県水戸市千波町2467 ,-,029-243-6558
和Dining あもん（わだいにんぐ あもん）,茨城県水戸市泉町3-6-3 ,-,029-224-7957
はんぐりー,茨城県水戸市笠原町1235-16 ,-,090-3479-2252
極太めん　ひでまる 千波店,茨城県水戸市千波町2474 千波ショッピングプラザ内,-,-
ガスト　 水戸インター店（ガスト）,茨城県水戸市大塚町1557-1 ,-,029-257-1017
紅孔雀,茨城県水戸市石川2-4251-3 ,-,029-252-1911
ソーザイ 元吉田店（So-zai）,茨城県水戸市元吉田町273-6 ,-,029-247-7002
OHAGI3 水戸内原店（おはぎさん）,茨城県水戸市内原2-1 イオンモール水戸内原,-,029-259-1151
アイリッシュパブ・ケルズ（Irish Pub Kells）,茨城県水戸市桜川1-5-18 水戸駅南オフィスビル　１Ｆ,-,029-302-2231
梵's（ボンズ）,茨城県水戸市泉町2-1-39 ,-,029-297-5760
原田いちご園,茨城県水戸市小吹町2932 ,-,029-241-5356
city cafe and space,茨城県水戸市鯉淵町3285-12 ,-,029-388-2765
松屋 水戸バイパス店,茨城県水戸市元吉田町1435-7 ,-,080-5928-0952
カザマデンキ,茨城県東茨城郡茨城町小鶴79-1 ,-,029-292-0047
ビストリア カトレ（bistria quatre）,茨城県水戸市米沢町248-1 ,-,080-3557-9688
新緑園（しんりょくえん）,茨城県水戸市平須町1820-5 ,-,029-241-0529
中国料理　得月楼,茨城県水戸市双葉台5丁目798-1 ,-,029-291-5885
サーティワンアイスクリーム イオンモール水戸内原店,茨城県水戸市中原町西135 イオンモール水戸内原 1F,-,029-259-1188
鉄板焼 甚,茨城県水戸市千波町2078-1 水戸プラザホテル,-,029-305-8185
となりのしまだ　鱗,茨城県水戸市城南1-7-27 ,-,029-232-3777
スターバックス コーヒー 水戸赤塚店（STARBUCKS COFFEE）,茨城県水戸市姫子2-751-16 ,-,029-309-0177
TSベーカリー（ティーエスベーカリー）,茨城県水戸市元山町1-1-11 ,-,029-221-4523
かつ源,茨城県水戸市吉沢町38-3 ,-,029-247-7008
そば処 春木屋,茨城県水戸市千波町2770-13 ,-,029-243-2769
ニカイノアゴラ,茨城県水戸市城南1-3-27 小祝ビル A-2F,-,029-224-2235
ピッチャーゴロ,茨城県水戸市袴塚3-11-2 ,-,-
常陸手打蕎麦・うどん うち田,茨城県水戸市住吉町14-15 ,-,029-291-6989
京都利休の生わらび餅 水戸店,茨城県水戸市三の丸1-4-16 ,-,不明の為情報お待ちしております
東会芳（トウカイホウ）,茨城県水戸市住吉町10-17 ,-,029-246-0767
はなの夢 ルートイン水戸県庁前店,茨城県水戸市千波町1953-1 ,-,029-305-2287
にしむら,茨城県水戸市南町1-2-24 ,-,029-233-1766
酒鮮舗　もり蔵,茨城県水戸市泉町3-3-40 イロカワビル1階,-,029-224-6056
活龍 茨大前店（カツリュウ）,茨城県水戸市堀町1093-1 ,-,-
ハワイアンダイニングHAUOLI 水戸駅南店 （ハウオリ）,茨城県水戸市中央2-7-14 白田ビル,-,029-233-0006
コージーコーナー 水戸エクセルみなみ店,茨城県水戸市宮町1-7-31 水戸駅ビル エクセルみなみ 3F,-,029-224-0023
Saint-Louis（サンルイ【旧店名】Caramel. Make）,茨城県水戸市千波町2892-6 ,-,029-243-9111
磯路,茨城県水戸市東前町1324-1 ,-,029-269-4305
ドルフ,茨城県水戸市千波町199-5 ,-,029-241-3520
グランネージュ,茨城県水戸市河和田3-2297-11 ,-,029-353-6651
ポンパドウル 水戸店（POMPADOUR）,茨城県水戸市泉町1-6-1 水戸京成百貨店 B1F,-,029-300-4180
そばまさ,茨城県水戸市浜田1-2-45 ,-,029-231-7398
みらく,茨城県水戸市千波町2270-1 ,-,029-243-6061
つくる。,茨城県水戸市酒門町1014-1 ,-,029-239-5239
来々軒,茨城県水戸市緑町3-2-21 ,-,-
ヴァンサンカン,茨城県水戸市米沢町237-13 ,-,029-247-1429
麺工房　たつ蔵,茨城県水戸市笠原町976-1 ,-,-
回転すし まるくに 住吉店,茨城県水戸市住吉町48-8 ,-,029-353-8841
元山町ブルワリー,茨城県水戸市元山町1-3-22 ,-,-
三の丸ホテル,茨城県水戸市三の丸2-1-1 ,-,029-221-3011
中華そば 浜田屋 県庁店（チュウカソバ ハマダヤ）,茨城県水戸市笠原町600-30 ,-,-
呂山,茨城県水戸市白梅4-6-49 ,-,-
ビオ ハーヴェストレストラン 水戸本店（Bio Harvest）,茨城県水戸市城南1-8-15 ,-,029-246-6111
喜千（キセン）,茨城県水戸市上水戸4-3-15-1 ,-,029-251-7744
駿河屋（スルガヤ）,茨城県水戸市東台1-1-16 ,-,029-224-7205
チャペル,茨城県水戸市泉町3-1-35 ,-,029-221-9880
R Baker 水戸店（アール ベイカー）,茨城県水戸市千波町2467-3 ,-,-
正よし,茨城県水戸市木葉下町436-1 ,-,不明の為情報お待ちしております
水戸山口楼 本店（みとやまぐちろう）,茨城県水戸市大工町1-5-20 ,029-231-1231,050-5596-0779
Rock Burger（ロック バーガー）,茨城県水戸市千波町449-1 ,-,029-297-8989
スタミナラーメン じゅんちゃん,茨城県水戸市見和2-471-15 ,-,-
佳鱗亭（カリンテイ）,茨城県水戸市南町3-3-32 ,-,029-221-5489
梅の茶屋,茨城県水戸市小吹町2667-5 ,-,029-244-2355
株式会社　梅香園,茨城県水戸市見川町2-57-18 ,-,029-306-8001
レストラン　ガンジー,茨城県水戸市袴塚3-9-1 ,-,029-231-9318
水戸納豆 エクセルみなみ,茨城県水戸市宮町1-1-1 エクセルみなみ 3F,-,-
八福（ハチフク）,茨城県水戸市吉沢町356-2 ,-,029-248-8856
レストラン ママノエル,茨城県水戸市木葉下町高取453-20 ,-,029-309-7520
正の家 千波店（まさのや）,茨城県水戸市笠原町1360-9 ,-,029-241-9686
おんな焼き鳥 鶏センター,茨城県水戸市大工町1-3-2 かわかみビル 1F みと楽横丁内,-,080-4323-3030
五鐵 夢境庵（五鉄 ごてつ むきょうあん）,茨城県水戸市南町1-3-27 ,029-225-6073,050-5869-2489
中華そば 鈴乃家 鯉淵店,茨城県水戸市鯉渕町1316-1 ,-,不明の為情報お待ちしております
三四拉,茨城県水戸市袴塚3-9-16 ,-,080-7953-3460
Ottimo（オッティモ）,茨城県水戸市大工町1-5-16 MKⅥビル 1F,-,029-303-8520
