店名,住所,電話番号,予約・お問い合わせ
精華苑,福島県福島市大町4-15 チェンバおおまち Ｂ１Ｆ,024-522-8317,050-5868-1227
魚民 福島東口駅前店,福島県福島市栄町7-25 斉藤胃腸科ビル　２Ｆ,024-521-4288,050-5600-2569
居酒屋 喜楽（Izakaya KIRAKU）,福島県福島市置賜町4-1 バラビル 1F,024-573-9644,050-5457-1074
川俣シャモ炭火焼鳥 縁 （en）,福島県福島市万世町1-33 外川ビル 2F,024-563-5725,050-5589-5104
十兵衛,福島県福島市陣場町9-39 ,024-529-7767,050-5868-9116
つぼ八 福島駅前店,福島県福島市栄町7-33 錦ビル1F・B1F,024-525-8823,050-5594-8151
魚民 福島本内店,福島県福島市本内字北町裏7-3 大山商事本内店 1F,024-553-4288,050-5600-2932
Italian Kitchen VANSAN 福島鎌田店,福島県福島市鎌田字下釜8-2 ノヴェルマンション443 1F,024-563-1430,050-5600-9695
ふくしき,福島県福島市置賜町8-36 パレスビル 2F,024-572-5858,050-5456-8374
REGALO CAFE（レガーロカフェ）,福島県福島市本町1-2 MOTOMACHI TWIN HATOYA 1F,024-573-2505,050-5890-7091
個室居酒屋 藁焼き×日本酒処 龍馬 福島駅前店,福島県福島市栄町12‐29 グリーンタウン栄町 2F,024-597-7390,050-5600-5963
鳥人（TORINCHU）,福島県福島市置賜町4-12 FSB2 2F,024-563-1991,050-5589-5531
千年の宴 福島西口駅前店,福島県福島市三河南町1-15 リッチモンドホテル １Ｆ,024-535-6988,050-5869-3191
餃子のかっちゃん 福島栄町店,福島県福島市栄町6-4 南條ビル 2F,080-3362-7810,050-5456-3426
炭火焼肉 福わらひ,福島県福島市新町2-15 ,024-573-6667,050-5592-7349
焼肉ホルモンひろき,福島県福島市置賜町8-36 パレスビル 1F,024-503-0995,050-5890-9823
チャップ,福島県福島市置賜町5-34 ,-,024-522-3307
中華そば 金魚,福島県福島市矢野目古屋敷56-24 ,-,024-597-7797
マクドナルド 4号線南福島店（McDonalds）,福島県福島市黒岩字堂ノ後49-1 ,-,024-546-2098
モンジュー セントヒルズ店,福島県福島市荒井字横塚3-182 アンナガーデン内,-,024-593-0461
おがた,福島県福島市飯坂町字小滝14 ,-,024-542-5958
日高,福島県福島市五月町8-42 ,-,-
もつ焼きと円盤餃子もつ治（もつ焼きと円盤餃子もつ治）,福島県福島市置賜町5-19 ,-,024-523-5420
ハニー・ビー 南矢野目店（honey bee）,福島県福島市南矢野目字中屋敷50-3 ,-,024-593-0666
鳥安（とりやす）,福島県福島市陣場町7-10 ,-,024-522-9897
CoCo壱番屋 南福島店（ココイチバンヤ）,福島県福島市黒岩田部屋22-1 ,-,024-539-7380
焼肉 誠,福島県福島市置賜町2-12 立ち花館 1F,-,024-523-3733
ラ・ボッカ・デッラ・ベリタ（La Bocca della verita）,福島県福島市本町2-8 リードパセオビル３階,-,024-521-5571
ステーキ宮 福島店,福島県福島市鳥谷野字南光原30-1 ,-,-
cafe120,福島県福島市本町1-20 Lamp120 2F,-,024-563-5631
デミアン,福島県福島市八島田字上台畑12 ,-,-
福島柏屋 エスパル店,福島県福島市栄町1-1 エスパル福島店 1F,-,-
エンラク ラーメン,福島県福島市置賜町4-26 ,-,-
モスバーガー 福島矢野目店,福島県福島市北矢野目字原田58-13 ,-,024-555-6422
とんかつ かつ丸 福島西バイパス店,福島県福島市南沢又字清水端100 ,-,024-563-6810
中華料理 特味,福島県福島市瀬上町薬師前18-22 ,-,-
たこ寅（たことら）,福島県福島市新町1-2 ,-,024-522-3626
御宿かわせみ（おんやど かわせみ）,福島県福島市飯坂町字小川端2-14 御宿かわせみ,-,024-543-1111
タベルナ イル・ピアット,福島県福島市大町2-30 ,-,024-521-1666
種子屋,福島県福島市笹谷字佐場野古屋12番地 ,-,024-557-8343
吾妻屋,福島県福島市町庭坂字高湯33 ,-,024-591-1121
平野屋旅館,福島県福島市飯坂町字十綱町17 ,-,024-542-3227
タリーズコーヒー &TEAエスパル福島店（TULLY'S COFFEE）,福島県福島市栄町1-1 エスパル福島 2F,-,-
シャトレーゼ 福島南店,福島県福島市鳥谷野字宮畑81-1 ,-,024-545-8023
らーめん成川,福島県福島市成川西谷地36-4 ,-,-
パン・洋菓子・喫茶 オジマ,福島県福島市大町8-17 ,-,-
食堂しづ香,福島県福島市荒井古内3-1 ,-,024-593-3740
ハッピーハッピーカレー（HAPPY HAPPY CURRY）,福島県福島市北矢野目字小原田西5-9 ,-,024-552-5540
まぜそば 二代目 白山,福島県福島市小倉寺竹ノ内6-1 クレアコート1 1F,-,不明の為情報お待ちしております
たけだパン,福島県福島市山下町1-2 ,-,-
うまか亭 魚心,福島県福島市南矢野目字中屋敷65-3 ,-,024-556-1515
ミスタードーナツ 福島南バイパスショップ,福島県福島市鳥谷野字岩田53-1 ,-,024-546-1500
喜多八（キタハチ）,福島県福島市天神町14-22 ,-,024-534-4486
手打ちそば・雪むろ,福島県福島市笹谷三本木23-3 ,-,024-557-0533
そば処丸松 エスパル福島店,福島県福島市栄町1-1 エスパル福島店,-,-
幸楽苑 競馬場前店,福島県福島市入江町26-1 ,-,-
くぬぎ,福島県福島市上野寺字稲荷16 ,-,-
おにぎり いとえ,福島県福島市仲間町1-19 1F,-,-
もみじ庵 福島駅前店,福島県福島市栄町7-1 駅前清水ビル 1F,-,024-563-6851
CoCo壱番屋 福島信夫通店（ココイチバンヤ）,福島県福島市森合町14-4 ,-,-
麺飯酒家 サイトウキッチン,福島県福島市渡利字大久保79-8 ,-,-
うかれ太鼓（うかれだいこ）,福島県福島市陣場町8-33 プラスアルファビル　２Ｆ,-,024-523-2506
中華さくら,福島県福島市南矢野目字高田19-1 ,-,024-553-3932
しんぱち食堂  福島店,福島県福島市松山町69-2 ,-,不明の為情報お待ちしております
ラパンドール（Patisserie Lapin d'or）,福島県福島市笹谷稲場25-11 ,-,024-559-3220
プリン工房はちまん,福島県福島市森合中谷地9-31 ,-,024-557-0555
光月堂パン店（こうげつどう）,福島県福島市豊田町4-1 ,-,024-522-0320
らぁめん たけや,福島県福島市早稲町5-3 ,-,-
柏屋 泉店（福島柏屋）,福島県福島市泉字清水田24-19 ,-,024-555-0588
びっくりドンキー 八木田橋店,福島県福島市八木田字中島9-1-9 ,-,024-544-2279
かつや 南福島店,福島県福島市黒岩字田部屋22-1 ,-,024-572-3836
そば蔵 旬楽里（そばくらしゅらり）,福島県福島市北矢野目字原田東1-1 ＪＡ新ふくしま農産物直売所隣,-,-
菓匠 三全 福島エスパル店,福島県福島市栄町1-1 エスパル福島店,-,-
Cow Burgers（カウバーガーズ）,福島県福島市森合字道端2-32 ,-,070-8902-6863
suishoku（スイショク）,福島県福島市万世町5-3 万世町共同ビル 3F,-,090-1064-4963
三万石 エスパル福島店,福島県福島市栄町1-1 エスパル福島店 1F,-,-
彩,福島県福島市荒井字台20-1 ,-,024-593-3700
しのぶ食堂,福島県福島市北中川原21-3 ,-,不明の為情報お待ちしております
中国料理上海　 大町店,福島県福島市大町2-8 ,-,024-521-8883
まるた食堂（マルタショクドウ）,福島県福島市花園町7-27 ,-,-
十割 そば会 福島鳥谷野店,福島県福島市鳥谷野宮畑78-1 ,-,-
空cafe（ソラカフェ）,福島県福島市土湯温泉町茂田1 ,-,-
炭火焼肉オムテソン,福島県福島市置賜町5-15 永井屋ビル 1F,-,024-522-7702
福島松川パーキングエリア 上り,福島県福島市松川町字下新田73 ,-,-
めんや 薫寿（KOTOBUKI）,福島県福島市野田町4‐11‐11 大竹第二ビル101,-,-
ガッツリラーメン いち豚 福島上町本店（【旧店名】がっつりラーメン 豚いち）,福島県福島市上町5-6 ,-,-
横浜大唐,福島県福島市南矢野目字西荒田50-17 福島サティ １Ｆ,-,-
角打ちビストロ KURAHIRO（蔵ひろ）,福島県福島市新町8-41 ,-,024-573-4247
のだまち都寿司,福島県福島市野田町6丁目2-2 ,-,024-535-5225
四季茶房八夢,福島県福島市荒井字中島92 ,-,090-7930-3762
ヴィ・ド・フランス 福島店（VIE DE FRANCE）,福島県福島市栄町1-1 エスパル福島店 1F,-,-
ニューデイズミニ 福島21号,福島県福島市栄町1-1 福島駅,-,-
ら・さんたランド（㈱ら・さんたランド）,福島県福島市本内南下釜2-6 ,-,024-525-2690
cadeau（カド）,福島県福島市置賜町8-8 ハセナカ・ミッセ 2F,-,090-7524-3469
絹の里,福島県福島市松川町下川崎西原25-2 ,-,024-567-5520
うな萬,福島県福島市新町3-22 ,-,024-522-4239
十割そば会 福島西口本店,福島県福島市野田町2-131-6 ,-,-
川又食肉店,福島県福島市飯坂町字湯野25 ,-,024-542-4251
かっぱ寿司 福島鎌田店,福島県福島市鎌田字樋口3-1 ,-,-
駄愚栖（ダックス）,福島県福島市万世町5-38 第８佐勝ビル　２Ｆ,-,024-523-5508
山岡家 福島矢野目店（やまおかや）,福島県福島市南矢野目字鵯目25-2 ,-,-
吉川屋,福島県福島市飯坂町湯野字新湯6番地 ,-,024-542-2226
和風味な店 玉や,福島県福島市笹谷字中谷地14-13 ,-,024-558-2922
赤井 福島競馬場店,福島県福島市松浪町9-23 福島競馬場 3F,-,-
吉野家 ４号線黒岩店,福島県福島市黒岩榎平58-1 ,-,024-544-2056
ハーブ キッチン Rosmarino（ハーブキッチン ローズマリーノ）,福島県福島市飯坂町字梍町41-9 ,-,090-1934-4086
アトリエ カフェアンドレストラン（Atelier cafe＆restaurant）,福島県福島市南矢野目高田東15-12 ,-,024-503-0842
中華そば一歩,福島県福島市仲間町1-19 アクシス仲間町 1F西,-,-
ふた夜の月,福島県福島市置賜町4-13 置賜第２ビル　２F,-,024-522-3211
FRUIT FACTORY yukiusagi（フルーツ ファクトリー ユキウサギ）,福島県福島市大笹生字月崎1-1 ,-,-
えちごや おもせ,福島県福島市黒岩字素利町2 ,-,024-572-7419
田舎屋,福島県伊達郡国見町大字藤田字五反田1-24 ,-,024-585-5185
マクドナルド イオン福島店,福島県福島市南矢野目字西荒田50-17 ,-,024-555-2389
ベリージェイエスドーラー（Berry.J S.Doller）,福島県福島市山居70-4 ,-,024-535-8223
なかつね洋菓子店（シュー・プレジール・ナカツネ）,福島県福島市仲間町3-34 ,-,024-522-7740
大志軒 黒岩店,福島県福島市黒岩字中沖43-2 ,-,-
マクドナルド ４号線福島入江町店（McDonalds）,福島県福島市入江町15-1 ,-,024-535-3731
エスポアール,福島県福島市松川町平舘19-2 ,-,024-567-3234
UFO物産館（ユーフォーブッサンカン）,福島県福島市飯野町青木字小手神森1-299 ,-,-
メキシカンコメドール グリコ（Mexican Comedor gurico）,福島県福島市置賜町8-39 ,-,024-573-4754
BISTRO SUZUKI（ビストロ スズキ）,福島県福島市新町3-20 第8寿ビル1F,-,024-521-2135
花づくし,福島県福島市万世町1-32 ,-,024-522-8294
とんかつ・しい名,福島県福島市北沢又川原1-8 ,-,024-558-5010
呑処 一盃,福島県福島市栄町12-9 あづま会館ビル1F,-,070-4391-9148
ミナモカフェ（MINAMO CAFE）,福島県福島市万世町5-1 万世町ビル 1F,-,024-503-9657
もち吉 福島矢野目店（モチキチ）,福島県福島市南矢野目字谷地67-9 ,-,024-555-0601
日本料理 多可橋（たかはし）,福島県福島市宮下町17-20 コート・ピアリッジ2F,-,024-534-8222
菜々家 福島太平寺店（ナナヤ）,福島県福島市太平寺字垳屋敷23-1 ,-,-
辛麺屋 輪,福島県福島市大町2-11 ,-,-
コーヒーハウス ケニヤ（KENYA）,福島県福島市本内南下釜4-6 ,-,024-534-6937
創作うどん はち兵衛,福島県福島市黒岩字中島6-1 ,-,-
もりや食堂,福島県福島市岡部上条30 ,-,-
レストラン 楓,福島県福島市太田町13番53号 ホテル福島グリーンパレス１階,-,024-533-1171
ヴォートル（Votre）,福島県福島市大森字島ノ内69-11 ,-,024-539-6608
はまや食堂,福島県福島市大森鶴巻62-6 ,-,-
よしなり,福島県福島市置賜町8-3 アオイビル1F,-,-
大衆鮨酒場 あおい,福島県福島市置賜町1-29 佐平ビル 1F,-,024-597-8882
Q.庵+（キュウアンプラス）,福島県福島市荒井北3-9-9 ,-,024-573-0098
ヨーロピアンスープキッチンZUPPA（ズッパ）,福島県福島市新町1-26 ,-,024-521-3881
スルタン 福島店,福島県福島市御山字稲荷田83-1 ,-,024-535-4100
王芳（オウホウ）,福島県福島市新町7-12 ,-,024-536-8283
福島牛ステーキと肉汁ハンバーグ 文や（FUMIYA）,福島県福島市置賜町8-8 パセナカMisse 2F,-,024-572-7648
ピザスタ（PizzaSta）,福島県伊達郡桑折町大字下郡字下郡前5-2 ,-,024-572-3217
納屋カフェ 椿（ナヤカフェツ バキ）,福島県福島市荒井字八幡内41 ,-,024-593-3388
きなこcafe（キナコカフェ）,福島県福島市曽根田町4-22 ,-,024-533-8558
なかむら家（なかむらや）,福島県福島市笹木野字北中谷地21-1 ,-,-
清水亭,福島県福島市笹谷字上成出5 ,-,024-558-9387
めし屋はないち,福島県福島市二子塚道北40 ,-,024-591-1422
炭火焼き 久兵衛 本店（キュウベイ）,福島県福島市栄町12-3 シルクホテル1F,-,024-522-8145
モアカフェ 福島店（MOAcafe）,福島県福島市鳥谷野字岩田23 東京インテリア家具福島店,-,024-502-1111
福々和本舗（ふくふくわほんぽ）,福島県福島市松浪町4-18 ,-,024-531-2929
里の坊,福島県福島市仁井田字石塚37-1 ,-,024-545-2263
バー フルカワ（BAR FURUKAWA）,福島県福島市上町3-4 コマ福島ビル 1F,-,024-521-3788
自家製中華そば すずらん,福島県福島市瀬上町字行人堂1-3 オフィスオバラ 1F,-,-
マクドナルド いずみコープ店,福島県福島市森合字清水7 ,-,024-555-2320
ちゃんこ 若葉山,福島県福島市方木田字稲荷塚36-2 ,-,024-546-2337
大和庵,福島県福島市岡部新山1-1 ,-,-
菓子処 桃里庵（とうりあん）,福島県福島市下野寺字薬師堂後4 ,-,024-535-3311
餃子とタンメンの店 大三元,福島県福島市鎌田字御仮家2-3 ,-,-
勝二郎,福島県福島市栄町12-27 ,-,不明の為情報お待ちしております
麺家 くさび 福島店,福島県福島市栄町11-25 AXCビル B1F,-,-
纏 福島店（マトイ）,福島県福島市栄町12-10 ひかりビル 1F,-,-
デニーズ 福島西口店,福島県福島市野田町2丁目131 ,-,不明の為情報お待ちしております
かっぱ寿司 福島黒岩店,福島県福島市黒岩字堂ノ後64-1 ,-,-
オステリア デッレ ジョイエ（Osteria delle Gioie）,福島県福島市鳥谷野字二ツ石12-3 ,-,024-529-6656
からあげ 伊達屋 笹谷店,福島県福島市笹谷字東中條14-12 ,-,024-557-9390
ミルク リトル ガーデン ルーム（milk little garden room）,福島県福島市御山字仲ノ町103-8 ,-,-
ながおかお惣菜店,福島県福島市町庭坂狐林3-5 ,-,-
芳水,福島県福島市置賜町4-10 船山ビル 1F,-,024-524-3678
garden cafe M（ガーデンカフェ エム）,福島県福島市栄町11-25 AXC 2F,-,024-522-7544
創作和食ダイニング ふくすけ,福島県福島市中町2-6 ホテルサンルート福島1F,-,024-521-5210
ビバフレンド,福島県福島市置賜町4‐11 ,-,-
コメダ珈琲店 福島南中央店,福島県福島市南中央1-19-5 ,-,024-563-1698
中町喜多八,福島県福島市中町9-16 ,-,024-522-8642
餃子 串処 でんでん,福島県福島市飯坂町字若葉町19 澤田ビル B1F,-,024-573-2762
こんにゃく工房 金蒟館（きんこんかん）,福島県福島市土湯温泉町字上ノ町11 ,-,024-595-2044
地酒の森 エスパル福島店,福島県福島市栄町1-1 エスパル福島店 1F,-,-
麺屋 銀次郎,福島県福島市笹谷字谷地南30-1 ,-,-
ラセーヌ（【旧店名】コーヒーハウス アリス）,福島県福島市太田町13-73 ザ・セレクトン福島,-,024-531-1111
道の駅 ふくしま,福島県福島市大笹生字月崎1-1 ,-,-
焼肉・円盤餃子　ひたち（【旧店名】焼肉居酒屋　ひたち）,福島県福島市飯坂町鯖湖町7 ,-,024-542-3505
澤田屋 湯町支店,福島県福島市飯坂町字湯町17-2 ,-,024-542-1551
パティスリー アリュメット（Patisserie Allumette）,福島県伊達市保原町上保原細田入10-1 ,-,-
GOOD ONE BAGEL（グッドワンベーグル）,福島県福島市上町2-2 文化堂ビル 2F,-,不明の為情報お待ちしております
valo（バロ）,福島県福島市仲間町1-9 ,-,024-521-0114
大政食堂（オオマサショクドウ）,福島県福島市栄町12-24 ,-,-
新宿さぼてん 福島駅ビル店,福島県福島市栄町1-1 ,-,-
香港楼,福島県福島市栄町12-27 ,-,024-528-0348
ケーキ家 Piggy（ピギー）,福島県福島市笹谷字稲場28-12 ,-,024-563-6343
ダンケシェーン,福島県福島市栄町7-14 ,-,-
福島方木田食堂（まいどおおきに食堂）,福島県福島市方木田字南島5-1 ,-,024-539-5661
茶屋かもしか庵,福島県福島市飯坂中野字堰坂28 中野不動尊内,-,-
餃子 山女,福島県福島市早稲町5-23 ,-,024-523-1772
幸楽苑 南沢又店,福島県福島市南沢又字中琵琶渕74 ,-,-
HYPER Gaja 福島方木田店（ハイパーガヤ）,福島県福島市方木田字樋口20-1 ,-,024-544-4129
福島松川パーキングエリア（下り）,福島県福島市松川町字上谷地75-1 ,-,-
パティスリー サワダ S-PAL福島店（Patisserie Sawada【旧店名】澤田屋）,福島県福島市栄町1-1 エスパル福島店 1F,-,-
酒楽 大娯,福島県福島市新町2-29 金源ビル 1F,-,024-502-8918
Fat　Bob's（ファット・ボブ）,福島県福島市新町2-29 金源ビル２F,-,024-521-6030
陽風水（ひふみ）,福島県福島市大町2-18 石屋小路ビル　１Ｆ,-,024-522-1455
トラットリア ラ・エガオ（trattoria La・Egao）,福島県福島市永井川字松木下9-1 ,-,024-544-1001
新中国料理　福香亭（フクカテイ）,福島県福島市北矢野目字成田小屋 20-1 ,-,024-529-6121
はま寿司 福島矢野目店,福島県福島市南矢野目字中谷地30-5 ,-,024-555-1175
ラ・フーガ,福島県福島市南矢野目字新田1-12 ,-,024-553-3888
くし焼ＫＯＮＮＯ（コンノ）,福島県福島市陣場町8-8 ,-,024-522-0066
ラーメン ぬま屋,福島県福島市太田町38-22 ,-,-
カワベリー　カフェ（Kawaberry cafe）,福島県福島市岡部上条60-1 ,-,-
やきとり 江口,福島県福島市置賜町4-11 武田ビル 1F,-,024-597-7774
天水,福島県福島市陣場町7-30 ,-,-
マクドナルド 福島駅西口ショッピングセンター店,福島県福島市栄町1-1 ,-,024-528-2239
中華そば 伊藤商店 福島吉倉店,福島県福島市吉倉八幡6-4 ,-,024-597-8013
松月堂 本店,福島県福島市さくら3-1-18 ,-,-
自然の恵ダイニング　壱番や,福島県福島市置賜町4-3 司ビル1F,-,024-526-0115
炭焼き 成瀬,福島県福島市置賜町8-36 パレスビル 1F,-,024-502-8009
森ふじ,福島県福島市置賜町4-13 ,-,024-521-2136
伊達屋（だてや）,福島県福島市南沢又字下番匠田22 ,-,-
庵ぐら 福島駅前店（アングラ）,福島県福島市栄町6-1 エスタビル B１F,-,024-522-1626
中華料理 龍鳳園,福島県福島市笹谷片目清水31-6 ,-,024-556-0732
ラーメン 豚ヤマ豚ジ 南福島店,福島県福島市伏拝字畑田4-2 ,-,-
浄土平レストハウス,福島県福島市土湯温泉町鷲倉山地内 1F,-,-
タイ屋台 SAGAT,福島県福島市置賜町8-6 ふくしま屋台村 こらんしょ横丁,-,070-5275-0076
パンケーキカフェ キャンディドゥ 大町店（CANDY-DO）,福島県福島市大町9-14 ,-,024-573-4320
リバー ロック フォー（RIVER ROCK 4）,福島県福島市渡利岩下22-1 ,-,024-563-4317
Curry and Spice dishes 笑夢（カレー アンド スパイス ディッシーズ 笑夢）,福島県福島市森合西養山1 ,-,050-8888-1947
味工房 MAXふくしま店,福島県福島市曽根田町1-18 ダイユーエイトMAX福島店 1F,-,024-536-0668
花小町,福島県福島市大町9-8 ,-,不明の為情報お待ちしております
幸楽苑 吾妻PA店,福島県福島市上野寺字和喜25番地2 東北自動車道 吾妻PA(下り),-,-
シャトレーゼ 福島西店,福島県福島市南沢又字中琵琶渕76 ,-,024-558-2157
AZUMA36cafe（アヅマサンロクカフェ）,福島県福島市荒井蟹沢21-1 ,-,024-572-6705
鳥政,福島県福島市新町1-17 ,-,024-522-5554
福島ワイン酒場,福島県福島市置賜町8-15 ピア21ビル 7F,-,024-523-5225
小舟の茶屋くりや（くりや）,福島県福島市渡利字小舟62-6 ,-,-
つつみ食堂,福島県福島市南矢野目鼓原17-1 ,-,024-553-7224
丸亀製麺 福島西店,福島県福島市方木田字水口35-2 ,-,024-546-1709
ロッテリア 福島エスパル店,福島県福島市栄町1-1 エスパル福島 1F,-,-
割ぽう山晴,福島県福島市荒町3-9 ,-,024-521-0728
寿司・居酒屋 源,福島県福島市飯坂町十綱町34 ,-,024-542-4647
しおや,福島県福島市上町2-14 ,-,024-521-0678
ぼんてん漁港 福島駅前店,福島県福島市栄町12-1 2F,-,024-522-6808
大町おかめや,福島県福島市大町9-16 ,-,024-503-9435
そば酒房香り家（そばしゅぼう かおりや）,福島県福島市新町2-29 金源ビル　２Ｆ,-,024-521-1011
ちゃりちゃり,福島県福島市瀬上町字一ノ坪3-6 ,-,024-552-1287
かっちゃん,福島県福島市南中央1丁目76-1 ,-,024-534-1666
味喜多,福島県福島市小倉寺字堂宮敷1-9 ,-,024-522-4636
レパコガーデン,福島県福島市下鳥渡字八幡塚2-3 ,-,024-545-6844
すし処 辰巳 駅前店（すしところ たつみ）,福島県福島市栄町6-6 ユニックスビル　１Ｆ,-,024-522-2800
石林 エスパル福島店（シーリン）,福島県福島市栄町1-1 エスパル福島店 1F,-,-
ゆず庵 南福島店,福島県福島市黒岩字中島7-3 ,-,050-3134-4789
サリバン 浜田店,福島県福島市浜田町9-16 ,-,-
おこぜ,福島県福島市大町1-7 ,-,024-523-2875
らーめん HOME（ホーム）,福島県福島市入江町12-6 ,-,-
サンエトワール 福島駅店（SAINT　ETOILE）,福島県福島市栄町1-1 パワーシティピボット １F,-,024-528-7455
丸信ラーメン 駅前店（まるしんらーめん）,福島県福島市栄町12-1 ,-,-
中華料理龍園,福島県福島市南沢又字舘ノ内136 ,-,024-558-1565
焼肉アンドン,福島県福島市置賜町2-21 ,-,024-528-1955
とんかつ カレー 豚大名（ブタダイミョウ）,福島県福島市上町5-6 上町テラス 1F,-,024-521-6290
西友（セイユウ）,福島県福島市在庭坂字渡辺3-8 ,-,-
餃子酒家 照井（テルイ）,福島県福島市南矢野目西荒田22-18 ,-,-
煮豚亭 砂馬 置賜分店（ニブタテイ ザバ）,福島県福島市置賜町4-12 ,-,-
焼肉なべさん,福島県福島市森合前田17-11 ,-,024-558-4110
古民家カフェ imoca（イモカ）,福島県福島市大波字上屋敷前30 ,-,024-573-5508
中国料理上海,福島県福島市置賜町4-11 ,-,024-522-7811
パティスリーサワダ（Patisserie Sawada）,福島県福島市飯坂町字立町8 ,-,-
向山製作所 福島西店,福島県福島市八木田字並柳116-1 ,-,024-563-6216
カレー キッチン エディ（Curry kitchen Eddie）,福島県福島市五月町8-10 ,-,024-563-5517
ぱいなっぷるはうす （家）,福島県福島市栄町11-25 ニュー福ビル２Ｆ,-,024-523-3239
ラーメン いいね,福島県福島市置賜町8-6 ふくしま屋台村こらんしょ横丁内,-,-
わたなべ精肉店 道の駅ふくしま店,福島県福島市大笹生字月崎1-1 ,-,024-572-4588
ピグミー,福島県福島市飯坂町平野小金塚88-1 ,-,024-542-3813
バールアヴェニール（BarAvenir）,福島県福島市置賜町5-10 第2清水ビル 3F,-,024-523-0520
珍来,福島県福島市西中央3-1 ,-,-
ホルモン大豊 福島店,福島県福島市栄町12-28 ,-,024-522-7002
海鮮居酒屋 鮮（セン）,福島県福島市置賜町8-7 遊食館ホリエビル 1F,-,024-523-1293
安達屋旅館（アダチヤリョカン）,福島県福島市町庭坂字高湯21 ,-,024-591-1155
グリルジャマイカ（Grill Jamaica）,福島県福島市大町1-20 第三寿ビル 1F,-,024-521-8177
信夫山文庫（シノブヤマブンコ）,福島県福島市大明神6 ,-,024-534-2558
M's Cafe（エムズカフェ）,福島県福島市方木田字樋口26-15 ,-,024-573-7305
利福 医王寺店,福島県福島市飯坂町平野檀ノ南10-1 ,-,024-542-5766
どう楽（ドウラク）,福島県福島市飯坂町平野字西屋敷14-1 ,-,-
魚べい 福島黒岩店,福島県福島市黒岩字中沖42-2 ,-,-
ら～めん石狩,福島県福島市大町9-30 ,-,024-521-8123
ウマスケ,福島県福島市置賜町4-24 ミヤコビル B1F,-,024-522-0366
自家製麺 まつお,福島県福島市北矢野目原田66-9 ,-,-
そばひろ,福島県福島市飯坂町字湯沢20-1 ,-,024-563-6248
菓匠 清泉堂 本店,福島県福島市南沢又字柳清水19-16 ,-,024-557-1758
支那そばポッポ（シナソバポッポ）,福島県福島市陣場町8-3 ,-,-
味処みずほ,福島県福島市土船中谷地48 ,-,024-593-2335
すき家 4号福島黒岩店,福島県福島市黒岩堂之後55-1 ,-,-
串揚げ Dining たかひろ（クシアゲ ダイニング タカヒロ）,福島県福島市栄町12-9 B1F,-,024-521-8230
粋蕎庵 八幡（いっきょうあん はちまん）,福島県福島市南矢野目道下30-11 ,-,024-555-0807
松月庵そば処,福島県福島市栄町1-1 パワーシティピボット１F,-,-
ブルービーンズ珈琲 置賜店,福島県福島市置賜町8-30 カスタムビル　２Ｆ,-,024-522-8867
CAFE おおとも,福島県福島市在庭坂字遠原13-4 ,-,024-591-5957
ほたる,福島県福島市西中央2-39 ,-,024-533-1247
サカモト コーヒー（SAKAMOTO COFFEE）,福島県福島市五月町1-12 メゾン高徳　1階,-,-
スターバックスコーヒー 福島八木田店（STARBUCKS COFFEE）,福島県福島市八木田並柳117-1 ,-,024-572-5787
牛角 福島鎌田店,福島県福島市鎌田字下釜11-2 ,-,024-552-5029
阿武隈うどん 正伍郎,福島県福島市本内字中井40 ,-,024-554-0088
