店名,住所,電話番号,予約・お問い合わせ
鉄板焼 下野（てっぱんやき しもつけ）,栃木県宇都宮市本町5-12 ,028-643-2148,050-5570-6914
それゆけ鶏ヤロー 東武宇都宮店,栃木県宇都宮市池上町2-1 プラチナビル 1F,-,不明の為情報お待ちしております
旨唐揚げと居酒メシ ミライザカ 宇都宮駅西口店,栃木県宇都宮市駅前通り1-4-6 西口ビル 2Ｆ,028-600-3460,050-5872-2329
しゃぶしゃぶすき焼どん亭 宇都宮鶴田店,栃木県宇都宮市鶴田町1348-1 ,-,050-1809-0877
全席個室居酒屋 忍家 宇都宮駅東口店,栃木県宇都宮市東宿郷1-5-11 ,028-633-8102,050-5600-3214
炉端とおでん 呼炉凪来 宇都宮店,栃木県宇都宮市江野町8-12 とらや第二ビル 2F,028-680-6892,050-5596-2049
寧々家 宇都宮駅東店,栃木県宇都宮市宿郷3-4-18 ,028-637-3815,050-5600-9515
酒菜の隠れ家 月あかり 宇都宮西口店,栃木県宇都宮市駅前通り1-5-6 白木屋ビル 2F,028-643-0555,050-5593-5653
肉肉しいチーズ屋 肉バル KAWARAYA 宇都宮店（カワラヤ）,栃木県宇都宮市池上町3-11 6F,028-614-0111,050-5596-1800
しゃぶしゃぶ温野菜 宇都宮インターパーク店,栃木県宇都宮市インターパーク5-2-1 ,028-688-3831,050-5596-0714
串カツ田中 東武宇都宮店,栃木県宇都宮市江野町6-7 東武駅前OIビル,028-612-7388,050-5596-4733
鳥ちょっ!（チョウチョッ）,栃木県宇都宮市宮園町1-10 ,028-612-2283,050-5595-6016
酒守 勘兵衛（サカモリ カンベエ）,栃木県宇都宮市駅前通り3-1-5 つちやビル B1F,028-612-8228,050-5456-6413
365 GYOZA BAR 大通り池上町店（サンロクゴ ギョウザ バー）,栃木県宇都宮市池上町1-1 ,028-638-6750,050-5456-5851
葵屋 宇都宮東口店,栃木県宇都宮市東宿郷2-6-3 ,080-6366-9357,050-5593-8162
串焼き かめや 池上町本店,栃木県宇都宮市池上町3-3 ,028-639-9674,050-5595-8429
365 GYOZA BAR（サンロクゴ 餃子バー）,栃木県宇都宮市駅前通り2-1-5 USHビル 1F,028-680-5523,050-5595-4650
びふてき洋食存じやす（【旧店名】ステーキ＆ワイン 存じやす）,栃木県宇都宮市中央5-9-2 ,028-636-8701,050-5456-6065
バー アンダルシア（BAR Andalucía）,栃木県宇都宮市中央5-1-2 ,090-9836-6284,050-5594-8176
やきとりの扇屋 宇都宮宮の内店,栃木県宇都宮市宮の内4-189-7 ,028-688-3122,050-5593-2933
牛角 宇都宮御幸町店,栃木県宇都宮市御幸町277-1 ,028-615-7299,050-5596-1046
牛角 宇都宮鶴田店,栃木県宇都宮市鶴田町3411-3 ,028-651-0829,050-5594-6988
牛角 上戸祭店,栃木県宇都宮市上戸祭町519-2 ,-,未開通
カプリチョーザ 宇都宮インターパークショッピングビレッジ店,栃木県宇都宮市インターパーク4-1-3 インターパークショッピングビレッジ,028-657-6622,050-5595-8431
遼順茶楼 駅東口店（リョウジュンチャロウ）,栃木県宇都宮市東宿郷2-10-12 ,028-638-8869,050-5595-7484
博多うどん なごみや・十割そば なごみ庵,栃木県宇都宮市下川俣町412-1 ,028-612-4753,050-5595-8437
串焼き かめや 宇都宮駅前店,栃木県宇都宮市駅前通り3-4-13 森下ビル 2F,028-612-3355,050-5595-8435
やきとりの扇屋 宇都宮簗瀬店,栃木県宇都宮市簗瀬町字川原1924-1 ,028-610-7301,050-5600-3363
しゃぶしゃぶ温野菜 宇都宮泉が丘店,栃木県宇都宮市泉が丘5-8-7 ,028-680-5629,050-5596-1042
串カツ田中 宇都宮東口店,栃木県宇都宮市宿郷1-13-1 ,028-689-9388,050-5596-4734
うまい鮨勘 宇都宮ベルモール支店（うまいすしかん）,栃木県宇都宮市陽東6丁目2-1 ベルモール　西館２Ｆ,028-613-5477,050-5593-6645
宮崎日南 幻の地鶏焼 じとっこ 宇都宮店,栃木県宇都宮市駅前通り2-1-1 晃東ビル１F,028-633-5955,050-5456-6976
焼肉 からし家,栃木県宇都宮市池上町2-10 アイ白鳩ビル 1F,028-633-4488,050-5595-2748
ビストロ キャトルズ,栃木県宇都宮市駅前通り1-5-2 ホテルサンルート宇都宮 1F,028-680-7526,050-5456-4054
Alice Cafe & Tea,栃木県宇都宮市泉が丘3-30-11 2F,028-678-9327,050-5890-9829
や台ずし 東武宇都宮駅前町,栃木県宇都宮市江野町4-7 ,028-633-6128,050-5456-6472
奴寿司　華月,栃木県宇都宮市戸祭町3031-1 ,028-908-6530,050-5868-1236
和の中（わのなか）,栃木県宇都宮市駒生町1296-33 ,028-624-7886,050-5868-0270
海蔵 JR駅東口店,栃木県宇都宮市東宿郷2-6-3 ,028-610-1213,050-5596-4759
海蔵 JR駅西口店（うみぞう）,栃木県宇都宮市大通り4-1-12 ,028-627-0141,050-5596-4758
焼肉キッチンスタジアム 10（テン）,栃木県宇都宮市宿郷2-10-9 タイムアップ21　１Ｆ,028-635-6051,050-5868-0273
とんきっき 本店（豚嘻嘻）,栃木県宇都宮市馬場通り4-2-3 ,028-627-2772,-
焼肉 辛元 HANARE,栃木県宇都宮市今泉町177-4 ,028-612-2989,050-5595-6017
インドレストラン 15 リバーサイド店,栃木県宇都宮市今泉3-13-1 ,028-689-8544,050-5890-7049
目利きの銀次 ＪＲ宇都宮西口駅前店,栃木県宇都宮市駅前通り1-5-6 白木屋ビルディング B1F,028-621-6388,050-5589-3869
魚民 宇都宮東口駅前店,栃木県宇都宮市東宿郷2-4-1 ホテルマイステイズ宇都宮 1F,028-633-9488,050-5600-2660
ネオ大衆居酒屋ロータス,栃木県宇都宮市大通り4-1-22 ,028-678-4680,050-5595-1329
ichimaru iihi,栃木県宇都宮市陽東7-8-15 ,028-661-6746,050-5592-1476
牛タン×馬肉専門店 うま囲 宇都宮池上オリオン通り店,栃木県宇都宮市池上町3-6 ,028-634-2041,050-5456-4700
鮨 一凛,栃木県宇都宮市曲師町5-3 多喜屋ビル 1F,070-4110-2076,050-5593-6324
すしざんまい 宇都宮駅店,栃木県宇都宮市川向町1-23 JR東日本ホテルメッツ宇都宮 3F,028-600-3017,050-5593-9044
山内農場 宇都宮東口駅前店,栃木県宇都宮市東宿郷1-4-14 ダイワロイネットホテル宇都宮 1F,028-638-5388,050-5869-3652
セルフ焼き鳥 好き勝手,栃木県宇都宮市曲師町5-3 榎本ビル 1F,028-666-4506,050-5594-4731
白木屋 JR宇都宮西口駅前店,栃木県宇都宮市駅前通1-5-2 ホテルサンルート宇都宮　２Ｆ,028-627-9288,050-5600-2903
なんじゃ家（なんじゃや）,栃木県宇都宮市駅前通り3-4-2 ,028-636-8570,050-5595-1323
大谷餃子店 宇都宮駅西口店（おおやぎょうざてん）,栃木県宇都宮市駅前通り3-1-1 薄井ビル B1F,028-689-9410,050-5570-2751
フォーシンタスキッチン（phoシンタスキッチン）,栃木県宇都宮市東宿郷3-2-5 ,-,050-1808-6888
ぼった焼き 恵比寿 宇都宮店,栃木県宇都宮市中央本町1-4 マルヨシビル 1F,028-636-5757,050-5595-7447
TRAMONTO（トラモント）,栃木県宇都宮市富士見が丘2-13-14 ,028-678-6350,050-5592-7361
宇都宮 甲羅本店,栃木県宇都宮市宿郷5-1-1 ,028-636-5755,050-5456-0672
ジンギスカン専門店 じん助 西口店,栃木県宇都宮市塙田3-1-6 ヤマトビル 1F,028-688-8929,050-5595-7419
鉄板焼ステーキ世里花,栃木県宇都宮市中央本町1-3 マルヨシビル　３Ｆ,028-636-8773,050-5592-9267
海乃宮,栃木県宇都宮市高砂町23-5 明治屋ハイツ 101,028-666-8089,050-5596-2045
牡蠣のたね,栃木県宇都宮市東宿郷2-17-10 東口屋台村,-,不明の為情報お待ちしております
とんかつ みくりや,栃木県宇都宮市ゆいの杜4-1-59 ,028-612-3925,050-5595-7515
焼肉酒場 炎家（ほのか）,栃木県宇都宮市宿郷1-4-3 ,028-637-8929,050-5590-1204
和食と天ぷら 結い（ユイ）,栃木県宇都宮市曲師町4-1 三笠ビル 3F,090-3579-0480,050-5593-6333
焼肉ゆとり,栃木県宇都宮市東宿郷1-6-6 2F,028-633-2919,050-5456-0674
串屋ゆとり,栃木県宇都宮市東宿郷1-6-6 2F,028-633-2919,050-5594-4844
鳥正,栃木県宇都宮市東宿郷1-3-9 アーサビル,028-633-1733,050-5872-5392
大谷PA 下り ショッピングコーナー,栃木県宇都宮市駒生町3021-5 東北自動車道 大谷PA 下り,-,028-652-2132
メガセンタートライアル 宇都宮店（TRIAL）,栃木県宇都宮市睦町5-5 ,-,-
あぶり吟,栃木県宇都宮市東宿郷2-17-10 東口屋台村,-,非公開
やきとり家 竜鳳 総本店（やきとりや りゅうほう）,栃木県宇都宮市下荒針町3589-25 ,-,028-612-6109
Jersey Mou Mou（ジャージー モウ モウ）,栃木県宇都宮市川向町1-23 宇都宮駅ビルパセオ とちぎグランマルシェ,-,-
やまと鮨,栃木県宇都宮市中今泉2-1-9 ,-,028-634-3547
なんしん亭（ナンシンテイ）,栃木県宇都宮市元今泉4-15-1 １Ｆ,-,028-632-8865
マザーロード（MotherRoad）,栃木県宇都宮市中今泉5-2-25 ,-,028-689-8700
長尾（ナガオ）,栃木県宇都宮市陽東7-16-8 ,-,-
デリス,栃木県宇都宮市下栗町2282 ,-,028-656-5721
鮨遊膳 みのり,栃木県宇都宮市東宿郷3-13-6 吉田マンション 1F,-,050-3477-6850
Cafe 好日 ごはんとおやつ（コウジツ）,栃木県宇都宮市北一の沢町13-17 ,-,028-306-0222
ステーキ宮 簗瀬店,栃木県宇都宮市東簗瀬1-36-5 ,-,-
黄金とんかつ 博多もつ鍋 一福来,栃木県宇都宮市宮園町5-4 東武百貨店宇都宮店 8F,-,028-636-2211
焼きそば　さいとう,栃木県宇都宮市竹下町379 ,-,-
いきなりステーキ 宇都宮竹林店,栃木県宇都宮市竹林町549-1 ,-,-
もうもう亭 宇都宮店,栃木県宇都宮市鶴田町1528-1 ,-,028-689-9029
マツガミネコーヒービルヂング 102東店（matsugamine COFFEE BUILDING【旧店名】越戸珈琲）,栃木県宇都宮市越戸3-15-27 越戸ショッピングセンター内,-,028-601-7496
常本寿司,栃木県宇都宮市大通り3丁目5-15 ,-,028-634-5550
ろばた割烹 とう兵衛（【旧店名】ろばた屋とう兵衛）,栃木県宇都宮市中央5-1-14 ,-,028-632-1126
ヤクルトサービスセンター 御本丸 カフェ＆ギャラリー,栃木県宇都宮市本丸町1-43 ,-,050-8892-8986
桃泉楼（トウセンロウ）,栃木県宇都宮市中岡本町2073-9 ,-,028-671-0878
オリオン餃子 宇都宮東宿郷店,栃木県宇都宮市宿郷3-16-7 ,-,028-601-7768
日本酒スタンドバー タケヒロ,栃木県宇都宮市伝馬町2-22 ,-,-
JR東日本ホテルメッツ 宇都宮（JR-EAST HOTEL METS）,栃木県宇都宮市川向町1-23 ,-,028-600-3300
レイクランドカントリークラブレストラン,栃木県宇都宮市福岡町1086 ,-,028-652-4411
ステーキハウス醍醐,栃木県宇都宮市宮の内1-173-9 ,-,028-601-7705
万年いなり亀広（カメコウ）,栃木県宇都宮市西川田町1015-5 ,-,-
ふくべ,栃木県宇都宮市池上町4-21 ,-,-
タリーズコーヒー 宇都宮インターパークビレッジ店,栃木県宇都宮市インターパーク4-1-3 インターパークショッピングビレッジ,-,-
カルパッチョ,栃木県宇都宮市上戸祭4-7-14 ,-,028-625-8160
やきそば安藤,栃木県宇都宮市江野町8-12 ,-,-
ドラゴン軒,栃木県宇都宮市東宿郷2-4-4 ,-,028-678-5908
丸萬寿司,栃木県宇都宮市二番町2-21 ,-,028-633-1988
安兵衛,栃木県下野市石橋295 ,-,0285-53-0119
ビストロ パラディ,栃木県宇都宮市塙田2-3-25 東光ビル　１Ｆ,-,028-625-6554
デニッシュバー 宇都宮店,栃木県宇都宮市川向町1-23 宇都宮駅ビルパセオ 1F,-,-
ぱちぱち,栃木県宇都宮市昭和1-1-24 ,-,028-627-8870
ココス 宇都宮大曽店（COCO'S）,栃木県宇都宮市大曽2-3-1 ,-,028-650-1457
京極,栃木県宇都宮市上戸祭町94-15 ,-,-
心麺（しんめん）,栃木県宇都宮市砂田町318-1 ,-,-
テンダーハウス（TENDER HOUSE）,栃木県宇都宮市平出町1652 ,-,028-663-5533
あおぞら館,栃木県宇都宮市新里町丙254 道の駅うつのみや ろまんちっく村,-,028-665-8800
Vineria（ヴィネリア）,栃木県宇都宮市今泉1-1-4 古泉ビル 1F,-,028-627-5730
タムラ食堂,栃木県宇都宮市海道町189-4 ,-,-
酔うちゃん 宇都宮店（【旧店名】和牛しゃぶしゃぶ 肉寿司食べ飲み放題 完全個室 炭焼き番長）,栃木県宇都宮市江野町7-14 東谷ビル 2F,-,028-678-2447
MEGAドン・キホーテ ラパーク宇都宮店,栃木県宇都宮市馬場通り2-3-12 ,-,028-632-3810
神戸クック・ワールドビュッフェ カルマーレ宇都宮店,栃木県宇都宮市簗瀬1865-1 ,-,028-678-5566
かしわだいにんぐ,栃木県宇都宮市鶴田2-6-22 ,-,028-616-2921
楽味（ラクミ）,栃木県宇都宮市曲師町4-2 ,-,028-612-7966
ブロンコ（BRONCO）,栃木県宇都宮市大通り2-1-4 ,-,028-635-9162
セブンハンドレッドクラブレストラン,栃木県さくら市早乙女2370 ,-,028-686-0700
蕎麦切り 彩蕎庵,栃木県宇都宮市宮園町5-4 東武宇都宮百貨店 8F,-,-
めんめん 来らっせ店,栃木県宇都宮市馬場通り2-3-12 MEGAドン・キホーテ ラパーク宇都宮店 B1F,-,028-639-0833
鉢とれんげ,栃木県宇都宮市曲師町5-2 ,-,-
もりや,栃木県宇都宮市東今泉2丁目5-6 ,-,028-662-8557
バラッカ（BARACCA）,栃木県宇都宮市元今泉7-16-15 ,-,028-664-1366
和風イタリアン酒房 和仁,栃木県宇都宮市千波町17-27 ,-,028-612-4997
HARE tokidoki MUGI（ハレトキドキムギ）,栃木県宇都宮市西川田町1004-23 ,-,-
おもち茶屋,栃木県宇都宮市道場宿町1241 ,-,028-670-5453
願寿亭（がんじゅてい）,栃木県宇都宮市陽東4-10-18 ,-,028-663-1753
YANOラーメンショップ（ヤノラーメンショップ）,栃木県宇都宮市平出町3852-6 ,-,028-663-3408
ステーキ宮 ベルモール店,栃木県宇都宮市陽東6-2-1 ベルモール 1F,-,-
吉四,栃木県宇都宮市簗瀬3-23-7 ,-,-
コナズ珈琲 宇都宮店,栃木県宇都宮市西川田7-4-40 ,-,不明の為情報お待ちしております
大王チーズ10円パン 宇都宮店,栃木県宇都宮市 馬場通り4-2 ,-,-
桃畑Shinka.（モモハタシンカ）,栃木県河内郡上三川町上郷53-3 ,-,028-537-9135
トラットリア DE 日光里（トラットリア デ ニコリ）,栃木県宇都宮市大和2-12-55 ,-,028-645-5372
ダイワロイネットホテル 宇都宮（Daiwa Roynet Hotel）,栃木県宇都宮市東宿郷1-4-1 1F,-,028-610-0455
花みずき,栃木県宇都宮市下岡本町4310 ,-,028-673-8316
高橋農園 釜川店（髙橋農園）,栃木県宇都宮市江野町11-6 ムギクラビル 2F,-,-
やきそば千家（せんか）,栃木県宇都宮市緑1-13-14 ,-,028-658-8766
割烹 たかしま,栃木県宇都宮市泉町2-7 ,-,028-622-9099
ぐるとんっ！,栃木県宇都宮市江野町10-15 ,-,028-612-2717
麺道 花の杜,栃木県宇都宮市峰1-13-17 ,-,-
中華彩食やまと,栃木県宇都宮市緑1-3-3 ,-,028-645-8010
喜久粋,栃木県宇都宮市菊水町3-20 ,-,028-635-0802
クッチーナ オムレット（Cucina Omelette）,栃木県宇都宮市江曽島3-1103 103,-,028-678-4138
一軒め酒場 東武宇都宮店,栃木県宇都宮市江野町5-11 ,-,028-636-9029
乙女屋 泉が丘店（Virgo Baum & Chocolat）,栃木県宇都宮市越戸1-1-4 ,-,028-662-7089
珈琲館 ＦＫＤインターパーク店,栃木県宇都宮市インターパーク6-1-1 FKDインターパーク店 2F,-,028-657-6119
幸楽苑　 西川田店,栃木県宇都宮市西川田町41-7 ,-,-
すし華亭 長岡店（すしはなてい）,栃木県宇都宮市長岡町494-1 ,-,-
香龍,栃木県宇都宮市戸祭2-4-8 ,-,-
海山亭いっちょう 戸祭店,栃木県宇都宮市東戸祭1-2-30 ,-,050-1726-1678
日光ぷりん亭 大谷店,栃木県宇都宮市大谷町1263-2 ベルテラシェ大谷,-,-
はっぽうや,栃木県宇都宮市上戸祭町696-7 ,-,028-621-0220
作左ェ門,栃木県宇都宮市平松本町1112-20 ,-,028-678-5556
ラケル 宇都宮ベルモール店（RAKERU）,栃木県宇都宮市陽東6-2-1 ベルモール 1F,-,028-689-7308
香味亭（コウミテイ）,栃木県宇都宮市上大曽町492-1 ホテル東日本宇都宮 10F,-,028-643-5580
一風堂 ウツノミヤテラス店,栃木県宇都宮市宮みらい1-1 ウツノミヤテラス 3F,-,-
魚幸,栃木県真岡市飯貝501 ,-,0285-82-2728
魚べい 宇都宮インターパーク店,栃木県宇都宮市インターパーク3-4-7 ,-,028-655-1271
宮まる 陽東店,栃木県宇都宮市陽東1-7-20 ,-,028-612-3678
まんざし弁天,栃木県宇都宮市西川田本町2-1-1 ,-,028-616-8588
ヨーグルト専門店 モーニング FKDインターパーク店,栃木県宇都宮市インターパーク6-1-1 FKDインターパーク店 1F,-,028-657-0270
創作中華 自宅レストラン 木陰のトカゲ,栃木県宇都宮市清原台3-25-5 ,-,028-305-1255
すし 稲佳（スシ イナカ）,栃木県宇都宮市岩曽町1364-5 ,-,028-688-7487
らーめんと餃子 かんな,栃木県宇都宮市本町9-25 ,-,-
辛麺屋 満丸堂,栃木県宇都宮市馬場通り2-3-4 1F,-,-
どさん子あいあいラーメン,栃木県宇都宮市材木町4-1 ,-,-
ラピス JR東日本ホテルメッツ宇都宮店（LAPIS）,栃木県宇都宮市川向町1-23 JR東日本ホテルメッツ宇都宮 3F,-,028-678-9588
炭火焼和めし処 しんぱち食堂 宇都宮店,栃木県宇都宮市上戸祭町336-7 ,-,-
らー麺藤原家,栃木県河内郡上三川町大字上三川3195-1 ,-,0285-56-5345
サイゼリヤ 宇都宮元今泉店,栃木県宇都宮市元今泉6-14-15 ,-,028-663-6373
スターバックスコーヒー 宇都宮インターパークステージ店（STARBUCKS COFFEE）,栃木県宇都宮市インターパーク4-2-3 インターパークステージ,-,-
こぐち商店,栃木県河内郡上三川町上蒲生2201 ,-,0285-56-4924
スターバックス・コーヒー FKD宇都宮インターパーク店,栃木県宇都宮市中島町939 FKDショッピングモール宇都宮インターパーク内,-,028-657-6121
チャイナキッチン 胡宮（チャイナキッチン こきゅう）,栃木県宇都宮市元今泉2-27-5 ,-,028-639-1680
サントゥール,栃木県宇都宮市泉が丘2-1-16-102 ,-,028-660-8556
鳥ちょっ! 宇都宮駅前東口店,栃木県宇都宮市東宿郷2-14-3 ,-,028-611-3397
スイーツショップ クリオネ パセオ店（Sweets Shop Clione）,栃木県宇都宮市川向町1番23号 宇都宮駅ビルPASEO 2F,-,028-627-8589
ナリサダ（Narisada）,栃木県宇都宮市宮園町8-2 松島ビル 1F,-,028-634-7899
ケーキのお店 ジョリー,栃木県塩谷郡高根沢町宝石台3-10-3 サンモールＹＡＮＡＧＩ　１Ｆ,-,028-675-2759
たまる食堂,栃木県宇都宮市鶴田町1457-2 宇都宮天然温泉ゆらら内 1F,-,028-647-4126
季節料理 しのはら,栃木県宇都宮市宝木本町1258-10 ,-,028-665-8400
太郎茶屋 鎌倉 宇都宮店,栃木県宇都宮市東谷町484-1 ,-,-
Cafe 彩（sai）,栃木県宇都宮市海道町810-2 ,-,不明の為情報お待ちしております
四季料理 はな坊（シキリョウリハナボウ）,栃木県宇都宮市今泉2-10-13 ,-,028-624-6409
えん,栃木県宇都宮市双葉1-13-61 ,-,028-659-7331
若山食堂,栃木県宇都宮市鶴田町3032-1 ,-,-
フリーフライト,栃木県宇都宮市東宿郷4-4-6 ,-,028-633-8264
伊澤商店,栃木県宇都宮市西刑部町1716 ,-,-
焼鳥 うぶと（【旧店名】炭火キッチン うぶと）,栃木県宇都宮市中央3-3-3 ,-,028-612-6577
鳴門,栃木県宇都宮市道場宿1048-1 ,-,-
中華食堂　喜来家（キクヤ）,栃木県宇都宮市江曽島3-1102 ,-,-
おひつごはん四六時中 宇都宮ベルモール店,栃木県宇都宮市陽東6-2-1 宇都宮ベルモール 2F,-,080-7279-8118
蔵（くら）,栃木県宇都宮市泉町7-13 ,-,028-625-6709
手打ち切麺 一桜（イチオウ）,栃木県宇都宮市一ノ沢町252-2 ,-,-
日光味噌ラーメン いろは商店 平出店,栃木県宇都宮市下平出町1439-2 ,-,-
割烹 中村（なかむら）,栃木県宇都宮市中央本町1-12 ,-,028-634-3337
天下一品 末広店,栃木県宇都宮市末広町2-3 ,-,-
焼肉きんぐ 簗瀬店,栃木県宇都宮市簗瀬町1775-1 ,-,028-614-6929
チャオ,栃木県宇都宮市下岡本町4289 ,-,028-671-0039
富久吉,栃木県宇都宮市江曽島町1046-1 ,-,028-645-1220
虎次郎,栃木県宇都宮市鶴田町231-6 ,-,028-623-1811
ミラベール,栃木県宇都宮市陽南4-5-22 ,-,028-645-7080
ベジタブルベース キメラ,栃木県宇都宮市岩曽町1377-48 コトブキビル 1F,-,028-660-2770
プレミアムカルビ 中戸祭店,栃木県宇都宮市中戸祭町828-18 ,-,028-600-1129
炭人の台所 ばりきょう（【旧店名】炭人の台所 ばりちょう）,栃木県宇都宮市池上町4-11 ,-,028-635-8848
とりきち,栃木県宇都宮市塙田3-5-1 ,-,028-643-8555
串之家,栃木県宇都宮市曲師町6-2 ,-,028-612-5489
ベトナムダイニング ジャディン 2号店（GIA DINH）,栃木県宇都宮市駅前通り1-5-13 坂本ビル 2F,-,不明の為情報お待ちしております
羽黒寿司（はぐろ）,栃木県宇都宮市上田町1056 ,-,028-674-3365
ぶつをのうどん,栃木県宇都宮市松が峰2-9-3 ,-,028-639-0477
INDIGO85（インディゴヴァンガレン）,栃木県宇都宮市江野町1-15 2F,-,028-651-0085
銀座ライオン ビヤガーデン 東武宇都宮店,栃木県宇都宮市宮園町5-4 ,-,050-3623-5801
餃子といえば芭莉龍,栃木県宇都宮市川向町1-23 宇都宮駅ビルパセオ 1F,-,-
下野農園 宇都宮パセオ店（シモツケノウエン）,栃木県宇都宮市川向町1-23 パセオ 1F,-,028-627-8446
喜多方ラーメン とし食堂,栃木県宇都宮市インターパーク6-1-1 FKDインターパーク 1F,-,-
海鮮どんさん亭 関堀店,栃木県宇都宮市関堀町89-4 ,-,028-680-5020
日本料理 みつわ（【旧店名】創作和料理 みつわ）,栃木県宇都宮市西2-6-13 ,-,028-632-0707
バリトン（Bariton）,栃木県宇都宮市宮町2-22 アロービル 1F,-,028-666-7366
NEW 上海（ニュー シャンハイ【旧店名】上海食府）,栃木県宇都宮市宿郷3-15-3 ,-,028-638-7771
どっこいしょ,栃木県宇都宮市駅前通り3-1-8 ,-,-
フィールド,栃木県宇都宮市西川田町71-5 ,-,028-645-5380
環坂（KANSAKA カンサカ）,栃木県宇都宮市長岡町160-4 ,-,028-600-1819
ペペ,栃木県宇都宮市東簗瀬1-39-9 ,-,-
鉄板焼 ツキノウサギ（TSUKINOUSAGI）,栃木県宇都宮市鶴田2-14-6 ,-,028-647-4129
手打そば 仲屋,栃木県宇都宮市鶴田町1992 ,-,028-648-3828
豚熟 熟成豚肉サムギョプサル専門店（とんじゅく）,栃木県宇都宮市東宿郷2-17-10 屋台村,-,028-348-1513
ゆるりや,栃木県宇都宮市中里町225 ,-,-
コメダ珈琲店 宇都宮下戸祭店,栃木県宇都宮市下戸祭1-6-1 ,-,-
明日香 宇都宮店（あすか）,栃木県宇都宮市仲町3-12 ,-,028-643-1917
栄久食品,栃木県宇都宮市末広2-11-9 ,-,028-655-2087
リッチモンドホテル 宇都宮駅前（Richmond Hotel）,栃木県宇都宮市駅前通り3-5-12 ,-,028-610-8822
ROCKSIDE MARKET（【旧店名】大谷ミュージアム）,栃木県宇都宮市大谷町909 2F,-,028-688-8604
イキイキ・ギョーザ 本館,栃木県宇都宮市宿郷1-12-12 ,-,028-634-6448
虎の門 総合グラウンド店,栃木県宇都宮市西川田6-5-24 ,-,028-684-2828
宮崎地鶏 日向家 宇都宮店,栃木県宇都宮市駅前通り1-5-13 坂本店舗ビル　２Ｆ南側,-,028-624-1558
パーラー&喫茶 BC JR宇都宮駅前店（【旧店名】ブラジルコーヒー商会）,栃木県宇都宮市駅前通り1-5-6 ,-,028-622-3708
宇都宮みんみん 宮みらい店,栃木県宇都宮市宮みらい1-1 ウツノミヤテラス 2F,-,-
しゃぶ菜 ベルモール宇都宮,栃木県宇都宮市陽東6-2-1 ベルモール 1F,-,028-613-5676
フレンチフード マレ（french food マレ）,栃木県下野市下古山733 ,-,0285-52-0073
ちどりあし,栃木県宇都宮市駅前通り1-1-4 ,-,028-680-6497
ココス 宇都宮今泉店,栃木県宇都宮市元今泉1-6-1 ,-,028-688-0355
やよい軒 宇都宮テクノポリス店,栃木県宇都宮市野高谷町798 ,-,-
宇都宮商店 石井店,栃木県宇都宮市陽東8-22-15 ,-,-
キッチン スリーピース93（KITCHEN THREE PIECE93）,栃木県宇都宮市二荒町5-2 SAKAIビル 1F,-,028-616-8547
うえ乃家,栃木県河内郡上三川町上三川4388-5 ,-,-
麺 中中（なかなか）,栃木県宇都宮市吉野1-4-17 ＡＯＫＩビル　１Ｆ,-,-
福炒家,栃木県宇都宮市東宿郷2-1-7 ,-,028-610-0777
ラーショ マルミャー 宇都宮店,栃木県宇都宮市東簗瀬1-5-6 ,-,-
